case	batch	precision	baseline_solve_per_sys_ms	candidate_solve_per_sys_ms	speedup	baseline_factor_per_sys_ms	candidate_factor_per_sys_ms	baseline_relres	candidate_relres
case6468rte	1	tf32	0.267452	0.188624	1.4179107642717788	0.301176	0.301055	4.43552e-05	5.49691e-05
case6468rte	64	tf32	0.0122162	0.00866658	1.4095756342178807	0.0189677	0.0189614	5.10869e-05	5.84127e-05
case6468rte	256	tf32	0.0090086	0.0057135	1.5767217992473965	0.0159304	0.0159166	5.71766e-05	5.99127e-05
case8387pegase	1	tf32	0.265548	0.187833	1.4137451885451437	0.30919	0.310012	1.85149e-05	2.18889e-05
case8387pegase	64	tf32	0.0156846	0.0102624	1.5283559401309637	0.0256515	0.0256676	1.92741e-05	2.31435e-05
case8387pegase	256	tf32	0.0123341	0.00732634	1.6835282009843935	0.022217	0.0222159	2.38141e-05	2.31214e-05
case_ACTIVSg25k	1	tf32	0.5325	0.379353	1.403705783267827	0.595037	0.595849	0.000209794	0.000192587
case_ACTIVSg25k	64	tf32	0.0387302	0.0260935	1.4842853584225957	0.0851173	0.0846035	0.000225913	0.000199616
case_ACTIVSg25k	256	tf32	0.0336699	0.0218476	1.5411257987147333	0.0826311	0.0825831	0.00022949	0.000200004
case_SyntheticUSA	1	tf32	1.04457	0.715443	1.4600324554157353	1.88598	1.8884	0.0100944	0.00690798
case_SyntheticUSA	64	tf32	0.135092	0.0800694	1.6871863658276445	0.405931	0.405793	0.0208886	0.0208831
case_SyntheticUSA	256	tf32	0.127863	0.074671	1.7123515153138433	0.404672	0.404422	0.0211485	0.0213237
