case	solver	precision	B	setup_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case1197	custom	fp16_ptx	1	3.47906	0.069148	0.077473	0.000171371	2392	14344
case1197	custom	fp16_ptx	4	3.5747	0.0183463	0.0203352	0.000190674	2392	14344
case1197	custom	fp16_ptx	32	3.5228	0.00368431	0.00392478	0.000198755	2392	14344
case1197	custom	fp16_ptx	64	3.49934	0.00282663	0.00300886	0.000198156	2392	14344
case1197	custom	fp16_ptx	256	3.72954	0.0021662	0.00213723	0.000211333	2392	14344
case1197	custom	tc	1	3.53371	0.069408	0.077353	0.000179093	2392	14344
case1197	custom	tc	4	3.61383	0.0184717	0.020325	0.000180604	2392	14344
case1197	custom	tc	32	3.54615	0.00370781	0.0039285	0.000195635	2392	14344
case1197	custom	tc	64	3.51357	0.00283039	0.00301042	0.000212054	2392	14344
case1197	custom	tc	256	3.72864	0.00215559	0.00213716	0.000205045	2392	14344
case_ACTIVSg2000	custom	fp16_ptx	1	7.84548	0.348004	0.196713	0.002793	3607	26345
case_ACTIVSg2000	custom	fp16_ptx	4	7.84478	0.092283	0.0519185	0.002794	3607	26345
case_ACTIVSg2000	custom	fp16_ptx	32	7.88913	0.0172366	0.0108084	0.00279479	3607	26345
case_ACTIVSg2000	custom	fp16_ptx	64	7.85642	0.0124765	0.00719173	0.00279489	3607	26345
case_ACTIVSg2000	custom	fp16_ptx	256	8.11141	0.00963802	0.00471618	0.0027954	3607	26345
case_ACTIVSg2000	custom	tc	1	7.78512	0.348735	0.196814	0.0144718	3607	26345
case_ACTIVSg2000	custom	tc	4	7.83267	0.092391	0.051901	0.0144747	3607	26345
case_ACTIVSg2000	custom	tc	32	7.88742	0.0173008	0.0108203	0.0144752	3607	26345
case_ACTIVSg2000	custom	tc	64	7.84313	0.0124792	0.00720208	0.0144752	3607	26345
case_ACTIVSg2000	custom	tc	256	8.07646	0.00964675	0.00471157	0.014475	3607	26345
case3012wp	custom	fp16_ptx	1	8.7971	0.288514	0.180705	0.000195449	5725	36263
case3012wp	custom	fp16_ptx	4	8.84427	0.0761935	0.0440915	0.000282905	5725	36263
case3012wp	custom	fp16_ptx	32	8.3823	0.014886	0.0107233	0.000449737	5725	36263
case3012wp	custom	fp16_ptx	64	9.04197	0.0105041	0.00803847	0.00041744	5725	36263
case3012wp	custom	fp16_ptx	256	9.02592	0.00776123	0.00609639	0.00111727	5725	36263
case3012wp	custom	tc	1	8.96306	0.29172	0.158072	0.000180998	5725	36263
case3012wp	custom	tc	4	8.52018	0.0827455	0.0473753	0.010345	5725	36263
case3012wp	custom	tc	32	9.02012	0.0153578	0.0109262	0.000246094	5725	36263
case3012wp	custom	tc	64	8.62577	0.0106807	0.00803941	0.000366416	5725	36263
case3012wp	custom	tc	256	8.98637	0.00756012	0.00604928	0.0249262	5725	36263
case6468rte	custom	fp16_ptx	1	15.8465	0.436257	0.217683	0.000392879	12643	87845
case6468rte	custom	fp16_ptx	4	15.8144	0.109668	0.0672042	0.000522834	12643	87845
case6468rte	custom	fp16_ptx	32	16.5946	0.0247908	0.0185659	0.000750815	12643	87845
case6468rte	custom	fp16_ptx	64	16.9585	0.0205082	0.0157285	0.000493132	12643	87845
case6468rte	custom	fp16_ptx	256	17.3604	0.0170496	0.0125926	0.000442068	12643	87845
case6468rte	custom	tc	1	16.0776	0.454551	0.23768	0.00228574	12643	87845
case6468rte	custom	tc	4	15.598	0.114266	0.0682312	0.00251651	12643	87845
case6468rte	custom	tc	32	16.1345	0.0283487	0.0196504	0.00196343	12643	87845
case6468rte	custom	tc	64	16.966	0.0205759	0.0153741	0.00210498	12643	87845
case6468rte	custom	tc	256	16.0275	0.0168872	0.0131905	0.00156447	12643	87845
case8387pegase	custom	fp16_ptx	1	20.0063	0.413225	0.246256	0.00754984	14908	110572
case8387pegase	custom	fp16_ptx	4	19.0247	0.116193	0.0830463	0.00725443	14908	110572
case8387pegase	custom	fp16_ptx	32	19.3467	0.0331908	0.0256753	0.00520122	14908	110572
case8387pegase	custom	fp16_ptx	64	19.4039	0.026411	0.0216482	0.0219312	14908	110572
case8387pegase	custom	fp16_ptx	256	20.0592	0.0231804	0.0187102	0.00463819	14908	110572
case8387pegase	custom	tc	1	19.9957	0.473957	0.245304	0.0226147	14908	110572
case8387pegase	custom	tc	4	19.1209	0.125975	0.0877725	0.0493121	14908	110572
case8387pegase	custom	tc	32	19.9682	0.0318646	0.0255614	0.0372698	14908	110572
case8387pegase	custom	tc	64	20.3393	0.028261	0.0248302	0.0577004	14908	110572
case8387pegase	custom	tc	256	20.4802	0.0232157	0.0188109	0.0292256	14908	110572
case_ACTIVSg25k	custom	fp16_ptx	1	53.9632	0.779593	0.526865	0.0114119	47246	318672
case_ACTIVSg25k	custom	fp16_ptx	4	55.3864	0.236803	0.157579	0.00874429	47246	318672
case_ACTIVSg25k	custom	fp16_ptx	32	54.8838	0.113061	0.0650397	0.0352036	47246	318672
case_ACTIVSg25k	custom	fp16_ptx	64	54.2275	0.103103	0.0572568	0.0173497	47246	318672
case_ACTIVSg25k	custom	fp16_ptx	256	55.1289	0.0964395	0.0500619	0.0159272	47246	318672
case_ACTIVSg25k	custom	tc	1	54.1692	0.786816	0.52431	0.03802	47246	318672
case_ACTIVSg25k	custom	tc	4	54.2383	0.241863	0.162879	0.0416165	47246	318672
case_ACTIVSg25k	custom	tc	32	54.7798	0.117551	0.0668484	0.0430429	47246	318672
case_ACTIVSg25k	custom	tc	64	55.8427	0.104413	0.0569376	0.0680948	47246	318672
case_ACTIVSg25k	custom	tc	256	55.2295	0.102463	0.0538052	0.0450417	47246	318672
case_SyntheticUSA	custom	fp16_ptx	1	171.04	2.14489	0.948064	0.0656424	156255	1052085
case_SyntheticUSA	custom	fp16_ptx	4	176.615	0.821255	0.385148	1.37051	156255	1052085
case_SyntheticUSA	custom	fp16_ptx	32	170.093	0.439535	0.217697	0	156255	1052085
case_SyntheticUSA	custom	fp16_ptx	64	174.019	0.428346	0.195546	0.103207	156255	1052085
case_SyntheticUSA	custom	fp16_ptx	256	170.651	0.434801	0.189071	0.0858995	156255	1052085
case_SyntheticUSA	custom	tc	1	174.463	2.13892	0.970036	0.0520538	156255	1052085
case_SyntheticUSA	custom	tc	4	173.866	0.812098	0.396371	0.0510556	156255	1052085
case_SyntheticUSA	custom	tc	32	173.938	0.456268	0.201197	0.0510716	156255	1052085
case_SyntheticUSA	custom	tc	64	172.355	0.437149	0.187925	0.0515514	156255	1052085
case_SyntheticUSA	custom	tc	256	165.853	0.466368	0.189059	0.0480939	156255	1052085
