case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case1197	cuDSS_ubatch_mtauto	fp32	1	17.4722	0.103302	0.086982	7.82672e-05	2392	14344
case1197	custom	fp32	1	3.18965	0.069279	0.077444	0.000161197	2392	14344
case1197	custom	fp16	1	3.26337	0.069931	0.077735	0.000180433	2392	14344
case1197	custom	tf32	1	3.35934	0.069539	0.077484	0.000170169	2392	14344
case1197	cuDSS_ubatch_mtauto	fp32	4	25.6311	0.0438393	0.0310102	8.2437e-05	2392	14344
case1197	custom	fp32	4	3.20851	0.0183868	0.0203555	0.000181418	2392	14344
case1197	custom	fp16	4	3.25582	0.0184145	0.0203503	0.000178928	2392	14344
case1197	custom	tf32	4	3.22533	0.018269	0.020368	0.000171982	2392	14344
case1197	cuDSS_ubatch_mtauto	fp32	32	17.545	0.0271002	0.0176573	8.24859e-05	2392	14344
case1197	custom	fp32	32	3.21081	0.00374822	0.00392481	0.000199653	2392	14344
case1197	custom	fp16	32	3.23623	0.00367809	0.00392356	0.000210094	2392	14344
case1197	custom	tf32	32	3.23967	0.00371284	0.00395769	0.000191873	2392	14344
case1197	cuDSS_ubatch_mtauto	fp32	64	17.763	0.0270119	0.0176615	8.30717e-05	2392	14344
case1197	custom	fp32	64	3.22982	0.00284233	0.00301828	0.000199665	2392	14344
case1197	custom	fp16	64	3.21014	0.00282981	0.00300827	0.000208395	2392	14344
case1197	custom	tf32	64	3.26584	0.00283028	0.00301453	0.000197312	2392	14344
case1197	cuDSS_ubatch_mtauto	fp32	256	17.3125	0.0263265	0.0172643	8.73702e-05	2392	14344
case1197	custom	fp32	256	3.38688	0.00216043	0.00213742	0.000212335	2392	14344
case1197	custom	fp16	256	3.25819	0.00215796	0.00213805	0.000202647	2392	14344
case1197	custom	tf32	256	3.22056	0.00215476	0.00213758	0.000222907	2392	14344
case_ACTIVSg2000	cuDSS_ubatch_mtauto	fp32	1	95.0373	0.345213	0.16594	1.40337e-05	3607	26345
case_ACTIVSg2000	custom	fp32	1	7.38834	0.274221	0.196526	1.28667e-05	3607	26345
case_ACTIVSg2000	custom	fp16	1	7.35592	0.354832	0.196677	0.00279259	3607	26345
case_ACTIVSg2000	custom	tf32	1	7.39685	0.348961	0.196998	0.0144727	3607	26345
case_ACTIVSg2000	cuDSS_ubatch_mtauto	fp32	4	19.0762	0.136181	0.0635385	1.4742e-05	3607	26345
case_ACTIVSg2000	custom	fp32	4	7.31831	0.0740655	0.0519193	1.41275e-05	3607	26345
case_ACTIVSg2000	custom	fp16	4	7.41728	0.094108	0.0522975	0.00279404	3607	26345
case_ACTIVSg2000	custom	tf32	4	7.4119	0.092873	0.0522375	0.0144742	3607	26345
case_ACTIVSg2000	cuDSS_ubatch_mtauto	fp32	32	19.1196	0.0821218	0.0425202	1.47252e-05	3607	26345
case_ACTIVSg2000	custom	fp32	32	7.42288	0.0157162	0.0108299	1.35761e-05	3607	26345
case_ACTIVSg2000	custom	fp16	32	7.37965	0.0176563	0.0108245	0.00279436	3607	26345
case_ACTIVSg2000	custom	tf32	32	7.41153	0.0173345	0.0108296	0.0144747	3607	26345
case_ACTIVSg2000	cuDSS_ubatch_mtauto	fp32	64	19.0356	0.078019	0.0406497	1.49305e-05	3607	26345
case_ACTIVSg2000	custom	fp32	64	7.37172	0.0118585	0.00719983	1.4154e-05	3607	26345
case_ACTIVSg2000	custom	fp16	64	7.37134	0.0132907	0.00720202	0.00279463	3607	26345
case_ACTIVSg2000	custom	tf32	64	7.36826	0.0124753	0.00720498	0.0144749	3607	26345
case_ACTIVSg2000	cuDSS_ubatch_mtauto	fp32	256	20.5886	0.0750175	0.0394525	1.61183e-05	3607	26345
case_ACTIVSg2000	custom	fp32	256	7.34331	0.00966689	0.00471476	1.41743e-05	3607	26345
case_ACTIVSg2000	custom	fp16	256	7.38176	0.0106223	0.00471477	0.00279526	3607	26345
case_ACTIVSg2000	custom	tf32	256	7.55013	0.00965612	0.00472283	0.0144752	3607	26345
case3012wp	cuDSS_ubatch_mtauto	fp32	1	27.6446	0.252932	0.147285	0.00018587	5725	36263
case3012wp	custom	fp32	1	8.81986	0.233355	0.188751	0.000192894	5725	36263
case3012wp	custom	fp16	1	8.68846	0.299899	0.179675	0.000405004	5725	36263
case3012wp	custom	tf32	1	8.99715	0.299678	0.16079	0.000184086	5725	36263
case3012wp	cuDSS_ubatch_mtauto	fp32	4	20.0755	0.108134	0.0543737	0.00018229	5725	36263
case3012wp	custom	fp32	4	9.00551	0.060618	0.0448687	0.000207043	5725	36263
case3012wp	custom	fp16	4	8.93539	0.0777625	0.0449865	0.00033016	5725	36263
case3012wp	custom	tf32	4	8.63005	0.0738125	0.0432633	0.0012406	5725	36263
case3012wp	cuDSS_ubatch_mtauto	fp32	32	20.0215	0.0715249	0.0320015	0.000214756	5725	36263
case3012wp	custom	fp32	32	8.81884	0.0138361	0.0109892	0.000241157	5725	36263
case3012wp	custom	fp16	32	8.84154	0.0146351	0.010436	0.0002249	5725	36263
case3012wp	custom	tf32	32	8.83968	0.0138483	0.0104686	0.00713187	5725	36263
