case	n	B	precision	cap	factor_per_sys_ms	solve_per_sys_ms	relres
case1197	2392	1	fp32	8	0.067497	0.09043	0.000183546
case1197	2392	1	fp32	16	0.07971	0.098284	0.000183901
case1197	2392	1	fp32	24	0.07969	0.098495	0.000163824
case1197	2392	1	fp32	32	0.07972	0.098445	0.000179209
case1197	2392	1	tf32	8	0.067287	0.09063	0.000189314
case1197	2392	1	tf32	16	0.07968	0.098606	0.000186834
case1197	2392	1	tf32	24	0.079649	0.098505	0.000177086
case1197	2392	1	tf32	32	0.07982	0.098355	0.000173487
case1197	2392	4	fp32	8	0.017052	0.0229407	0.000167284
case1197	2392	4	fp32	16	0.020163	0.0248417	0.000183172
case1197	2392	4	fp32	24	0.0203155	0.024982	0.00018748
case1197	2392	4	fp32	32	0.020133	0.0248592	0.000190485
case1197	2392	4	tf32	8	0.0170495	0.022878	0.00019503
case1197	2392	4	tf32	16	0.020163	0.0248767	0.000181164
case1197	2392	4	tf32	24	0.020143	0.0248167	0.000206134
case1197	2392	4	tf32	32	0.0202155	0.0248667	0.000196143
case1197	2392	16	fp32	8	0.00518038	0.00623112	0.000199772
case1197	2392	16	fp32	16	0.005784	0.00683975	0.000191056
case1197	2392	16	fp32	24	0.005794	0.00685412	0.000202197
case1197	2392	16	fp32	32	0.00579656	0.00685856	0.000198151
case1197	2392	16	tf32	8	0.00517912	0.006243	0.000194553
case1197	2392	16	tf32	16	0.00578275	0.00684663	0.000190748
case1197	2392	16	tf32	24	0.00578212	0.00684031	0.000200201
case1197	2392	16	tf32	32	0.005779	0.00684225	0.000190123
case1197	2392	64	fp32	8	0.00275095	0.00294538	0.000207181
case1197	2392	64	fp32	16	0.00266705	0.00281983	0.000205625
case1197	2392	64	fp32	24	0.00266752	0.00281216	0.000203585
case1197	2392	64	fp32	32	0.00266266	0.0028275	0.000208173
case1197	2392	64	tf32	8	0.00275111	0.0029435	0.000201422
case1197	2392	64	tf32	16	0.00266377	0.00282266	0.000211558
case1197	2392	64	tf32	24	0.00266955	0.00282155	0.00020186
case1197	2392	64	tf32	32	0.00266908	0.0028203	0.000196055
case1197	2392	256	fp32	8	0.0016209	0.00146099	0.000202648
case1197	2392	256	fp32	16	0.0015944	0.0014114	0.000206001
case1197	2392	256	fp32	24	0.00159366	0.00141164	0.000204731
case1197	2392	256	fp32	32	0.00159159	0.00140737	0.0002097
case1197	2392	256	tf32	8	0.00162129	0.00145973	0.000210299
case1197	2392	256	tf32	16	0.00159389	0.0014098	0.000210311
case1197	2392	256	tf32	24	0.00158951	0.00141031	0.000214266
case1197	2392	256	tf32	32	0.00159315	0.00140847	0.000205029
case3012wp	5725	1	fp32	8	0.208683	0.157366	0.000178262
case3012wp	5725	1	fp32	16	0.208873	0.157666	0.000181579
case3012wp	5725	1	fp32	24	0.224312	0.166462	0.000186714
case3012wp	5725	1	fp32	32	0.240792	0.173607	0.000195289
case3012wp	5725	1	tf32	8	0.208953	0.157887	0.000214099
case3012wp	5725	1	tf32	16	0.208772	0.158187	0.000203144
case3012wp	5725	1	tf32	24	0.224472	0.166293	0.000192292
case3012wp	5725	1	tf32	32	0.241103	0.173637	0.000197693
case3012wp	5725	4	fp32	8	0.055031	0.0411647	0.000200452
case3012wp	5725	4	fp32	16	0.0549533	0.041062	0.000213137
case3012wp	5725	4	fp32	24	0.0586078	0.0437522	0.000202164
case3012wp	5725	4	fp32	32	0.063865	0.0447968	0.000210969
case3012wp	5725	4	tf32	8	0.0551813	0.0411772	0.000205191
case3012wp	5725	4	tf32	16	0.0550107	0.041195	0.000204519
case3012wp	5725	4	tf32	24	0.0585425	0.0436345	0.00021811
case3012wp	5725	4	tf32	32	0.0638377	0.0447315	0.00020458
case3012wp	5725	16	fp32	8	0.0186683	0.0148648	0.000208429
case3012wp	5725	16	fp32	16	0.0187396	0.0148636	0.000216849
case3012wp	5725	16	fp32	24	0.0191354	0.0155962	0.000211547
case3012wp	5725	16	fp32	32	0.0201247	0.0159906	0.000216502
case3012wp	5725	16	tf32	8	0.018697	0.0148699	0.000227019
case3012wp	5725	16	tf32	16	0.0186683	0.0148398	0.000211169
case3012wp	5725	16	tf32	24	0.0192074	0.0157671	0.000226091
case3012wp	5725	16	tf32	32	0.0204441	0.0164534	0.000218675
case3012wp	5725	64	fp32	8	0.00855811	0.00570761	0.000229092
case3012wp	5725	64	fp32	16	0.00856564	0.00571167	0.000222268
case3012wp	5725	64	fp32	24	0.00890439	0.00618194	0.000230651
case3012wp	5725	64	fp32	32	0.00920167	0.00634366	0.000224345
case3012wp	5725	64	tf32	8	0.00846637	0.00570884	0.000226032
case3012wp	5725	64	tf32	16	0.00842459	0.00571606	0.000224421
case3012wp	5725	64	tf32	24	0.00888311	0.00617489	0.000224813
case3012wp	5725	64	tf32	32	0.00906517	0.00634303	0.000251442
case3012wp	5725	256	fp32	8	0.00613892	0.00384242	0.000224688
case3012wp	5725	256	fp32	16	0.00612456	0.00383236	0.000230997
case3012wp	5725	256	fp32	24	0.00612663	0.00382375	0.000234052
case3012wp	5725	256	fp32	32	0.00633867	0.00384328	0.00022218
case3012wp	5725	256	tf32	8	0.00609462	0.00383991	0.000238066
case3012wp	5725	256	tf32	16	0.00609145	0.0038405	0.000233115
case3012wp	5725	256	tf32	24	0.00608034	0.00382422	0.000236887
case3012wp	5725	256	tf32	32	0.00621175	0.0038497	0.000247234
case8387pegase	14908	1	fp32	8	0.328277	0.265469	2.43101e-05
case8387pegase	14908	1	fp32	16	0.332044	0.236224	2.09028e-05
case8387pegase	14908	1	fp32	24	0.371558	0.247826	2.7362e-05
case8387pegase	14908	1	fp32	32	0.386887	0.252545	1.85238e-05
case8387pegase	14908	1	tf32	8	0.327967	0.265179	2.45507e-05
case8387pegase	14908	1	tf32	16	0.331824	0.236245	2.09675e-05
case8387pegase	14908	1	tf32	24	0.37217	0.247595	2.65909e-05
case8387pegase	14908	1	tf32	32	0.386787	0.252635	1.90729e-05
case8387pegase	14908	4	fp32	8	0.100542	0.086941	2.47526e-05
case8387pegase	14908	4	fp32	16	0.101957	0.0823423	2.13817e-05
case8387pegase	14908	4	fp32	24	0.112063	0.087958	2.69258e-05
case8387pegase	14908	4	fp32	32	0.112797	0.0854982	1.90214e-05
case8387pegase	14908	4	tf32	8	0.100326	0.0870112	2.49921e-05
case8387pegase	14908	4	tf32	16	0.101972	0.0821195	2.11023e-05
case8387pegase	14908	4	tf32	24	0.111845	0.0878103	2.67815e-05
case8387pegase	14908	4	tf32	32	0.112727	0.0854682	1.89568e-05
case8387pegase	14908	16	fp32	8	0.0398524	0.0288054	2.49892e-05
case8387pegase	14908	16	fp32	16	0.0411593	0.0284141	2.16373e-05
case8387pegase	14908	16	fp32	24	0.0432037	0.0299713	2.71684e-05
case8387pegase	14908	16	fp32	32	0.0440071	0.0286827	1.90344e-05
case8387pegase	14908	16	tf32	8	0.0400246	0.0288574	2.48029e-05
case8387pegase	14908	16	tf32	16	0.0411148	0.0285963	2.66065e-05
case8387pegase	14908	16	tf32	24	0.0433797	0.0300277	2.72095e-05
case8387pegase	14908	16	tf32	32	0.0440065	0.0286764	1.91641e-05
case8387pegase	14908	64	fp32	8	0.0249802	0.0156906	2.5045e-05
case8387pegase	14908	64	fp32	16	0.0248165	0.0156851	2.63831e-05
case8387pegase	14908	64	fp32	24	0.0258797	0.0159681	2.73558e-05
case8387pegase	14908	64	fp32	32	0.0253981	0.0150843	1.91717e-05
case8387pegase	14908	64	tf32	8	0.0243422	0.015687	1.91376e-05
case8387pegase	14908	64	tf32	16	0.0241952	0.0156895	2.82565e-05
case8387pegase	14908	64	tf32	24	0.0249569	0.0159602	3.73091e-05
case8387pegase	14908	64	tf32	32	0.0245759	0.0150845	2.0538e-05
case8387pegase	14908	256	fp32	8	0.0215637	0.0123275	2.50103e-05
case8387pegase	14908	256	fp32	16	0.0216329	0.0126478	2.6737e-05
case8387pegase	14908	256	fp32	24	0.0220133	0.0126989	2.73525e-05
case8387pegase	14908	256	fp32	32	0.0214565	0.011918	1.92159e-05
case8387pegase	14908	256	tf32	8	0.0213134	0.0123281	2.38532e-05
case8387pegase	14908	256	tf32	16	0.0212108	0.0126467	2.8387e-05
case8387pegase	14908	256	tf32	24	0.0214386	0.0126982	3.73832e-05
case8387pegase	14908	256	tf32	32	0.0207438	0.0119073	2.07158e-05
case_ACTIVSg25k	47246	1	fp32	8	0.758225	0.57987	0.000154924
case_ACTIVSg25k	47246	1	fp32	16	0.786027	0.532962	0.000128938
