case	n	B	base	policy	pct
8387	14908	1	0.330762	0.308941	+6.6
8387	14908	4	0.100875	0.0963688	+4.5
8387	14908	16	0.0400666	0.0400709	-0.0
8387	14908	64	0.0243852	0.024397	-0.0
8387	14908	256	0.0213117	0.0213234	-0.1
9241	17036	1	0.38877	0.369685	+4.9
9241	17036	4	0.116965	0.111818	+4.4
9241	17036	16	0.0452895	0.0452557	+0.1
9241	17036	64	0.0267102	0.0267246	-0.1
9241	17036	256	0.0235642	0.0235821	-0.1
10k	18544	1	0.349978	0.316945	+9.4
10k	18544	4	0.10646	0.0974355	+8.5
10k	18544	16	0.0452407	0.0452381	+0.0
10k	18544	64	0.0312	0.0312206	-0.1
10k	18544	256	0.028564	0.028572	-0.0
13659	23225	1	0.402497	0.369855	+8.1
13659	23225	4	0.123512	0.118337	+4.2
13659	23225	16	0.0545338	0.0545288	+0.0
13659	23225	64	0.0377539	0.0377258	+0.1
13659	23225	256	0.0343116	0.0343049	+0.0
25k	47246	1	0.742926	0.635304	+14.5
25k	47246	4	0.227265	0.204069	+10.2
25k	47246	16	0.1168	0.116771	+0.0
25k	47246	64	0.0931723	0.093129	+0.0
25k	47246	256	0.0886831	0.0886538	+0.0
70k	134104	1	2.71374	2.6543	+2.2
70k	134104	4	0.895022	0.871285	+2.7
70k	134104	16	0.525739	0.525933	-0.0
70k	134104	64	0.441417	0.441171	+0.1
70k	134104	256	0.431945	0.43194	+0.0
USA	156255	1	2.71455	2.64982	+2.4
USA	156255	4	0.930158	0.928868	+0.1
USA	156255	16	0.567745	0.567584	+0.0
USA	156255	64	0.504873	0.504862	+0.0
USA	156255	256	0.50164	0.501719	-0.0
