case	n	B	config	factor_per_sys_ms	relres
case8387pegase	14908	1	base	0.329678	2.48362e-05
case8387pegase	14908	1	t64	0.513061	1.87765e-05
case8387pegase	14908	1	t128	0.360676	1.85821e-05
case8387pegase	14908	1	t256	0.319468	1.89301e-05
case8387pegase	14908	1	t512	0.314288	1.82772e-05
case8387pegase	14908	4	base	0.100789	2.4847e-05
case8387pegase	14908	4	t64	0.14256	1.90557e-05
case8387pegase	14908	4	t128	0.107188	1.88954e-05
case8387pegase	14908	4	t256	0.100902	1.91826e-05
case8387pegase	14908	4	t512	0.105923	1.84927e-05
case8387pegase	14908	16	base	0.0399892	2.49355e-05
case8387pegase	14908	16	t64	0.0484438	1.89775e-05
case8387pegase	14908	16	t128	0.0417044	1.89622e-05
case8387pegase	14908	16	t256	0.0446586	1.90849e-05
case8387pegase	14908	16	t512	0.0563041	1.91061e-05
case8387pegase	14908	64	base	0.0244196	1.92468e-05
case8387pegase	14908	64	t64	0.0265497	1.91466e-05
case8387pegase	14908	64	t128	0.0250114	2.35039e-05
case8387pegase	14908	64	t256	0.0276314	1.9244e-05
case8387pegase	14908	64	t512	0.0346796	1.92122e-05
case8387pegase	14908	256	base	0.0213111	1.92533e-05
case8387pegase	14908	256	t64	0.0220071	2.36041e-05
case8387pegase	14908	256	t128	0.0219331	2.36956e-05
case8387pegase	14908	256	t256	0.0238183	2.36952e-05
case8387pegase	14908	256	t512	0.0282538	1.92738e-05
case9241pegase	17036	1	base	0.389759	2.84762e-06
case9241pegase	17036	1	t64	0.520525	2.71736e-06
case9241pegase	17036	1	t128	0.396162	2.69223e-06
case9241pegase	17036	1	t256	0.375723	2.71822e-06
case9241pegase	17036	1	t512	0.372297	2.7499e-06
case9241pegase	17036	4	base	0.117059	2.82203e-06
case9241pegase	17036	4	t64	0.146346	2.71651e-06
case9241pegase	17036	4	t128	0.118011	2.81413e-06
case9241pegase	17036	4	t256	0.115411	2.87828e-06
case9241pegase	17036	4	t512	0.119121	2.8361e-06
case9241pegase	17036	16	base	0.0452428	2.85181e-06
case9241pegase	17036	16	t64	0.0505521	2.82939e-06
case9241pegase	17036	16	t128	0.0454833	2.8066e-06
case9241pegase	17036	16	t256	0.0478972	2.83702e-06
case9241pegase	17036	16	t512	0.0571627	2.87118e-06
case9241pegase	17036	64	base	0.0266972	2.85041e-06
case9241pegase	17036	64	t64	0.0283304	2.87306e-06
case9241pegase	17036	64	t128	0.0274934	2.8724e-06
case9241pegase	17036	64	t256	0.0301915	2.8391e-06
case9241pegase	17036	64	t512	0.0360998	2.82818e-06
case9241pegase	17036	256	base	0.0235718	2.90168e-06
case9241pegase	17036	256	t64	0.0242603	2.93904e-06
case9241pegase	17036	256	t128	0.02416	2.87446e-06
case9241pegase	17036	256	t256	0.0261475	2.87586e-06
case9241pegase	17036	256	t512	0.030754	2.9889e-06
case_ACTIVSg10k	18544	1	base	0.349955	0.000243504
case_ACTIVSg10k	18544	1	t64	0.556051	0.000533757
case_ACTIVSg10k	18544	1	t128	0.39531	0.000241526
case_ACTIVSg10k	18544	1	t256	0.33135	0.000245401
case_ACTIVSg10k	18544	1	t512	0.317385	0.00024341
case_ACTIVSg10k	18544	4	base	0.107038	0.0002468
case_ACTIVSg10k	18544	4	t64	0.152884	0.000535714
case_ACTIVSg10k	18544	4	t128	0.114237	0.000535422
case_ACTIVSg10k	18544	4	t256	0.10015	0.000536079
case_ACTIVSg10k	18544	4	t512	0.101673	0.000246638
case_ACTIVSg10k	18544	16	base	0.0451414	0.000248268
case_ACTIVSg10k	18544	16	t64	0.0547174	0.000535185
case_ACTIVSg10k	18544	16	t128	0.0463192	0.000537463
case_ACTIVSg10k	18544	16	t256	0.0465778	0.000536648
case_ACTIVSg10k	18544	16	t512	0.0554068	0.000533679
case_ACTIVSg10k	18544	64	base	0.0312432	0.000536676
case_ACTIVSg10k	18544	64	t64	0.0336162	0.00053776
case_ACTIVSg10k	18544	64	t128	0.0321857	0.000536115
case_ACTIVSg10k	18544	64	t256	0.0350819	0.000538777
case_ACTIVSg10k	18544	64	t512	0.0436207	0.000535661
