case	n	B	precision	cap	factor_per_sys_ms	solve_per_sys_ms	relres
case1197	2392	1	fp32	auto	0.071785	0.086994	0.000192468
case1197	2392	1	fp32	8	0.071945	0.087475	0.000191747
case1197	2392	1	fp32	16	0.071806	0.086844	0.00015112
case1197	2392	1	fp32	24	0.071985	0.087244	0.000204395
case1197	2392	1	fp32	32	0.071995	0.087264	0.000162801
case1197	2392	1	tf32	auto	0.072006	0.087204	0.000179616
case1197	2392	1	tf32	8	0.072045	0.087615	0.000170975
case1197	2392	1	tf32	16	0.071865	0.086823	0.000180289
case1197	2392	1	tf32	24	0.072096	0.087034	0.000189727
case1197	2392	1	tf32	32	0.072125	0.087375	0.000181148
case1197	2392	4	fp32	auto	0.0191862	0.0223445	0.000203935
case1197	2392	4	fp32	8	0.019016	0.022149	0.000187838
case1197	2392	4	fp32	16	0.0190183	0.022159	0.000183702
case1197	2392	4	fp32	24	0.0190335	0.022149	0.000191364
case1197	2392	4	fp32	32	0.0190307	0.0221117	0.000192261
case1197	2392	4	tf32	auto	0.0190557	0.0221418	0.000201205
case1197	2392	4	tf32	8	0.0190508	0.0222092	0.00017847
case1197	2392	4	tf32	16	0.0190083	0.022164	0.000195752
case1197	2392	4	tf32	24	0.0190633	0.0221842	0.000183241
case1197	2392	4	tf32	32	0.0190757	0.0221842	0.000177279
case1197	2392	16	fp32	auto	0.00575644	0.00623481	0.000196004
case1197	2392	16	fp32	8	0.00570381	0.00622169	0.000197159
case1197	2392	16	fp32	16	0.00571825	0.00622988	0.000198805
case1197	2392	16	fp32	24	0.00574519	0.00622794	0.00020358
case1197	2392	16	fp32	32	0.00573325	0.00623112	0.000192343
case1197	2392	16	tf32	auto	0.00570513	0.00621794	0.000196943
case1197	2392	16	tf32	8	0.00572206	0.0062355	0.000194625
case1197	2392	16	tf32	16	0.00573512	0.00622988	0.000192437
case1197	2392	16	tf32	24	0.0057195	0.00622425	0.000200733
case1197	2392	16	tf32	32	0.00571325	0.00621981	0.000200451
case1197	2392	64	fp32	auto	0.00286211	0.00281545	0.000207978
case1197	2392	64	fp32	8	0.00286852	0.00282484	0.000202512
case1197	2392	64	fp32	16	0.002874	0.00284144	0.000207576
case1197	2392	64	fp32	24	0.00287369	0.00280888	0.000213308
case1197	2392	64	fp32	32	0.00287041	0.00282141	0.000202101
case1197	2392	64	tf32	auto	0.00285898	0.00283722	0.000194253
case1197	2392	64	tf32	8	0.00285881	0.00282422	0.000198384
case1197	2392	64	tf32	16	0.0028618	0.00282344	0.000196779
case1197	2392	64	tf32	24	0.00286744	0.00281436	0.000202134
case1197	2392	64	tf32	32	0.00285991	0.00281953	0.000210192
case1197	2392	256	fp32	auto	0.00151927	0.0012376	0.000210494
case1197	2392	256	fp32	8	0.00152083	0.0012376	0.000202564
case1197	2392	256	fp32	16	0.00152044	0.00123705	0.000207442
case1197	2392	256	fp32	24	0.00152059	0.00123811	0.000207881
case1197	2392	256	fp32	32	0.0015193	0.00123635	0.000209476
case1197	2392	256	tf32	auto	0.00152232	0.00123705	0.000223685
case1197	2392	256	tf32	8	0.00151864	0.00123729	0.000214938
case1197	2392	256	tf32	16	0.00151966	0.00123611	0.000210334
case1197	2392	256	tf32	24	0.00151719	0.00123686	0.000208225
case1197	2392	256	tf32	32	0.00151864	0.00123745	0.000206915
case3012wp	5725	1	fp32	auto	0.179217	0.161123	0.000197479
case3012wp	5725	1	fp32	8	0.256482	0.202601	0.000216695
case3012wp	5725	1	fp32	16	0.210686	0.176082	0.000246026
case3012wp	5725	1	fp32	24	0.215505	0.174398	0.000190497
case3012wp	5725	1	fp32	32	0.238659	0.192131	0.00016695
case3012wp	5725	1	tf32	auto	0.258807	0.212319	0.000218458
case3012wp	5725	1	tf32	8	0.237737	0.194937	0.000184129
case3012wp	5725	1	tf32	16	0.221637	0.193524	0.000204557
case3012wp	5725	1	tf32	24	0.218921	0.182072	0.000189312
case3012wp	5725	1	tf32	32	0.20198	0.169228	0.000198535
case3012wp	5725	4	fp32	auto	0.0646915	0.0520953	0.000185897
case3012wp	5725	4	fp32	8	0.0590663	0.0474193	0.000200375
case3012wp	5725	4	fp32	16	0.06773	0.0531223	0.000210141
case3012wp	5725	4	fp32	24	0.0532253	0.0428755	0.000232165
case3012wp	5725	4	fp32	32	0.0563835	0.0454805	0.000175297
case3012wp	5725	4	tf32	auto	0.057959	0.0478675	0.000208023
case3012wp	5725	4	tf32	8	0.0568345	0.0471085	0.000233071
case3012wp	5725	4	tf32	16	0.055339	0.0421995	0.000245539
case3012wp	5725	4	tf32	24	0.0524312	0.0434718	0.000206895
case3012wp	5725	4	tf32	32	0.058202	0.0466828	0.000186407
case3012wp	5725	16	fp32	auto	0.0197027	0.0161115	0.000204165
case3012wp	5725	16	fp32	8	0.0175386	0.0145755	0.000232067
case3012wp	5725	16	fp32	16	0.0182706	0.0164754	0.000232819
