case	n	B	precision	factor_per_sys_ms	solve_per_sys_ms	relres
case1197	2392	64	fp32	0.00285412	0.00280655	0.000212911
case1197	2392	64	tf32	0.00286666	0.00282094	0.000201247
case1197	2392	256	fp32	0.00152177	0.00124273	0.000208973
case1197	2392	256	tf32	0.00151907	0.00123772	0.000211433
case3012wp	5725	64	fp32	0.00928936	0.00647139	0.000247986
case3012wp	5725	64	tf32	0.00881659	0.00616223	0.000198439
case3012wp	5725	256	fp32	0.00630038	0.00401451	0.000236569
case3012wp	5725	256	tf32	0.00622492	0.00388035	0.000244937
case8387pegase	14908	64	fp32	0.0244177	0.0153193	2.14282e-05
case8387pegase	14908	64	tf32	0.0230115	0.01471	3.23085e-05
case8387pegase	14908	256	fp32	0.0206491	0.011401	1.78168e-05
case8387pegase	14908	256	tf32	0.02073	0.0116336	3.73307e-05
case_ACTIVSg25k	47246	64	fp32	0.103769	0.0416395	0.000154595
case_ACTIVSg25k	47246	64	tf32	0.101645	0.0431558	0.000218774
case_ACTIVSg25k	47246	256	fp32	0.0980983	0.0344401	0.000231293
case_ACTIVSg25k	47246	256	tf32	0.0917432	0.0347011	0.000180136
case_SyntheticUSA	156255	64	fp32	0.514737	0.154064	0.00189266
case_SyntheticUSA	156255	64	tf32	0.440464	0.130318	0.00123579
case_SyntheticUSA	156255	256	fp32	0.48687	0.121372	0.00113902
case_SyntheticUSA	156255	256	tf32	0.523174	0.123535	0.00147701
