case	n	B	cap	build	factor_per_sys_ms	relres
case8387pegase	14908	1	8	base	0.328477	2.46415e-05
case8387pegase	14908	1	8	tf32fuse	0.330352	2.45158e-05
case8387pegase	14908	256	8	base	0.0213219	2.38968e-05
case8387pegase	14908	256	8	tf32fuse	0.021315	1.92193e-05
case_ACTIVSg25k	47246	1	16	base	0.723331	0.000125842
case_ACTIVSg25k	47246	1	16	tf32fuse	0.726306	0.000162
case_ACTIVSg25k	47246	256	16	base	0.0836889	0.000168749
case_ACTIVSg25k	47246	256	16	tf32fuse	0.0836355	0.000170493
case_SyntheticUSA	156255	1	16	base	2.16568	0.00841965
case_SyntheticUSA	156255	1	16	tf32fuse	1.99117	0.00733543
case_SyntheticUSA	156255	256	16	base	0.411717	0.0206
case_SyntheticUSA	156255	256	16	tf32fuse	0.429276	0.0206501
