case	n	nnz	fp32_factor_ms	fp16_factor_ms	tf32_factor_ms	fp16_over_fp32	tf32_over_fp32
case1197	2392	14344	0.069279	0.069931	0.069539	1.01	1.00
case_ACTIVSg2000	3607	26345	0.274221	0.354832	0.348961	1.29	1.27
case3012wp	5725	36263	0.233355	0.299899	0.299678	1.29	1.28
case6468rte	12643	87845	0.273600	0.450811	0.427126	1.65	1.56
case8387pegase	14908	110572	0.352687	0.444068	0.418029	1.26	1.19
case9241pegase	17036	129412	0.384797	0.479815	0.431234	1.25	1.12
case_ACTIVSg10k	18544	125174	0.370160	0.459427	0.430623	1.24	1.16
case13659pegase	23225	174703	0.396369	0.490023	0.481769	1.24	1.22
case_ACTIVSg25k	47246	318672	0.813036	0.816202	0.808227	1.00	0.99
case_ACTIVSg70k	134104	900558	2.795770	2.072840	2.161060	0.74	0.77
case_SyntheticUSA	156255	1052085	2.621740	2.165690	2.489820	0.83	0.95
