case	precision	actual_to_dispatch	fronts	front_pct
case_ACTIVSg2000	fp32	small->mid	105	5.94
case_ACTIVSg2000	fp16	small->mid	105	5.94
case_ACTIVSg2000	tf32	small->mid	105	5.94
case_ACTIVSg2000	tf32_wmma	small->mid	105	5.94
case3012wp	fp32	small->mid	65	2.34
case3012wp	fp16	small->mid	65	2.34
case3012wp	tf32	small->mid	65	2.34
case3012wp	tf32_wmma	small->mid	65	2.34
case6468rte	fp32	small->mid	304	5.16
case6468rte	fp16	small->mid	304	5.16
case6468rte	tf32	small->mid	304	5.16
case6468rte	tf32_wmma	small->mid	304	5.16
case8387pegase	fp32	small->mid	1752	23.65
case8387pegase	fp16	small->mid	1752	23.65
case8387pegase	tf32	small->mid	1752	23.65
case8387pegase	tf32_wmma	small->mid	1752	23.65
case9241pegase	fp32	small->mid	1883	23.26
case9241pegase	fp16	small->mid	1883	23.26
case9241pegase	tf32	small->mid	1883	23.26
case9241pegase	tf32_wmma	small->mid	1883	23.26
case_ACTIVSg10k	fp32	small->mid	285	3.14
case_ACTIVSg10k	fp16	small->mid	285	3.14
case_ACTIVSg10k	tf32	small->mid	285	3.14
case_ACTIVSg10k	tf32_wmma	small->mid	285	3.14
case13659pegase	fp32	small->mid	1889	15.24
case13659pegase	fp16	small->mid	1889	15.24
case13659pegase	tf32	small->mid	1889	15.24
case13659pegase	tf32_wmma	small->mid	1889	15.24
case_ACTIVSg25k	fp32	mid->big	24	0.11
case_ACTIVSg25k	fp32	small->big	2	0.01
case_ACTIVSg25k	fp32	small->mid	2494	10.98
case_ACTIVSg25k	fp16	mid->big	24	0.11
case_ACTIVSg25k	fp16	small->big	2	0.01
case_ACTIVSg25k	fp16	small->mid	2494	10.98
case_ACTIVSg25k	tf32	mid->big	24	0.11
case_ACTIVSg25k	tf32	small->big	2	0.01
case_ACTIVSg25k	tf32	small->mid	2494	10.98
case_ACTIVSg25k	tf32_wmma	mid->big	24	0.11
case_ACTIVSg25k	tf32_wmma	small->big	2	0.01
case_ACTIVSg25k	tf32_wmma	small->mid	2494	10.98
case_ACTIVSg70k	fp32	mid->big	76	0.12
case_ACTIVSg70k	fp32	small->mid	3878	6.10
case_ACTIVSg70k	fp16	mid->big	76	0.12
case_ACTIVSg70k	fp16	small->mid	3878	6.10
case_ACTIVSg70k	tf32	mid->big	76	0.12
case_ACTIVSg70k	tf32	small->mid	3878	6.10
case_ACTIVSg70k	tf32_wmma	mid->big	76	0.12
case_ACTIVSg70k	tf32_wmma	small->mid	3878	6.10
case_SyntheticUSA	fp32	mid->big	148	0.20
case_SyntheticUSA	fp32	small->big	8	0.01
case_SyntheticUSA	fp32	small->mid	4644	6.26
case_SyntheticUSA	fp16	mid->big	148	0.20
case_SyntheticUSA	fp16	small->big	8	0.01
case_SyntheticUSA	fp16	small->mid	4644	6.26
case_SyntheticUSA	tf32	mid->big	148	0.20
case_SyntheticUSA	tf32	small->big	8	0.01
case_SyntheticUSA	tf32	small->mid	4644	6.26
case_SyntheticUSA	tf32_wmma	mid->big	148	0.20
case_SyntheticUSA	tf32_wmma	small->big	8	0.01
case_SyntheticUSA	tf32_wmma	small->mid	4644	6.26
