case	fronts	levels	small_count	mid_count	big_count	small_pct	mid_pct	big_pct	small_flop_pct	mid_flop_pct	big_flop_pct	pure_small_levels	mixed_levels	phase3_fronts_fsz_gt_48	mid_fsz_33_48_no_trailing
case1197	1166	11	1166	0	0	100.00	0.00	0.00	100.00	0.00	0.00	11	0	0	0
case_ACTIVSg2000	1767	24	1701	66	0	96.26	3.74	0.00	19.58	80.42	0.00	8	10	29	37
case3012wp	2773	21	2759	14	0	99.50	0.50	0.00	68.80	31.20	0.00	11	8	0	14
case6468rte	5895	24	5847	48	0	99.19	0.81	0.00	50.85	49.15	0.00	8	9	9	39
case8387pegase	7408	28	7353	55	0	99.26	0.74	0.00	48.29	51.71	0.00	6	16	19	36
case9241pegase	8094	24	8018	76	0	99.06	0.94	0.00	43.05	56.95	0.00	6	13	19	57
case_ACTIVSg10k	9079	25	8947	132	0	98.55	1.45	0.00	27.16	72.84	0.00	7	10	40	92
case13659pegase	12392	25	12277	115	0	99.07	0.93	0.00	35.02	64.98	0.00	6	16	34	81
case_ACTIVSg25k	22717	36	22344	371	2	98.36	1.63	0.01	13.57	83.46	2.97	6	11	200	173
case_ACTIVSg70k	63546	42	62736	748	62	98.73	1.18	0.10	7.37	47.16	45.47	6	21	468	342
case_SyntheticUSA	74129	41	73171	901	57	98.71	1.22	0.08	8.83	52.69	38.48	6	23	542	416
