q,p,fsz,nc,uc,level
0,4340,5,2,3,0
1,4341,4,2,2,0
2,4342,3,1,2,0
3,4343,3,1,2,0
4,4344,3,1,2,0
5,4345,8,2,6,0
6,4346,6,2,4,0
7,4347,6,2,4,0
8,4348,6,2,4,0
9,4349,6,2,4,0
10,4350,6,2,4,0
11,4351,6,2,4,0
12,4352,6,2,4,0
13,4353,6,2,4,0
14,4354,6,2,4,0
15,4355,6,2,4,0
16,4356,6,2,4,0
17,4357,6,2,4,0
18,4358,6,2,4,0
19,4359,6,2,4,0
20,4360,6,2,4,0
21,4361,6,2,4,0
22,4362,6,2,4,0
23,4363,6,2,4,0
24,4364,6,2,4,0
25,4365,6,2,4,0
26,4366,5,2,3,0
27,4367,5,2,3,0
28,4368,5,2,3,0
29,4369,5,2,3,0
30,4370,5,2,3,0
31,4371,4,1,3,0
32,4372,4,1,3,0
33,4397,7,2,5,0
34,4398,6,2,4,0
35,4399,6,2,4,0
36,4413,6,2,4,0
37,4414,4,2,2,0
38,4415,11,2,9,0
39,4416,6,2,4,0
40,4417,6,2,4,0
41,4418,6,2,4,0
42,4419,6,2,4,0
43,4420,6,2,4,0
44,4421,6,2,4,0
45,4422,6,2,4,0
46,4423,6,2,4,0
47,4424,6,2,4,0
48,4425,6,2,4,0
49,4426,6,2,4,0
50,4427,6,2,4,0
51,4428,6,2,4,0
52,4429,6,2,4,0
53,4430,6,2,4,0
54,4431,7,2,5,0
55,4432,6,2,4,0
56,4433,6,2,4,0
57,4434,5,1,4,0
58,4435,6,2,4,0
59,4462,5,2,3,0
60,4463,5,2,3,0
61,4464,6,4,2,0
62,4465,6,2,4,0
63,4466,6,2,4,0
64,4467,5,2,3,0
65,4468,4,2,2,0
66,4469,4,1,3,0
67,4470,3,1,2,0
68,4471,3,1,2,0
69,4472,6,2,4,0
70,4473,6,2,4,0
71,4474,8,2,6,0
72,4475,6,2,4,0
73,4476,6,2,4,0
74,4477,6,2,4,0
75,4478,6,2,4,0
76,4479,6,2,4,0
77,4480,6,2,4,0
78,4481,6,2,4,0
79,4482,6,2,4,0
80,4483,6,2,4,0
81,4484,6,2,4,0
82,4485,6,2,4,0
83,4486,6,2,4,0
84,4487,6,2,4,0
85,4488,6,2,4,0
86,4489,6,2,4,0
87,4490,6,2,4,0
88,4491,6,2,4,0
89,4492,6,2,4,0
90,4493,6,2,4,0
91,4494,6,2,4,0
92,4495,6,2,4,0
93,4496,6,2,4,0
94,4497,6,2,4,0
95,4498,6,2,4,0
96,4499,6,2,4,0
97,4500,6,2,4,0
98,4501,5,2,3,0
99,4502,5,1,4,0
100,4503,5,1,4,0
101,4504,6,2,4,0
102,4505,6,2,4,0
103,4506,5,2,3,0
104,4507,6,2,4,0
105,4508,5,2,3,0
106,4509,5,2,3,0
107,4510,5,2,3,0
108,4511,5,2,3,0
109,4512,4,1,3,0
110,4571,5,2,3,0
111,4572,8,2,6,0
112,4573,5,4,1,0
113,4574,4,2,2,0
114,4575,3,2,1,0
115,4576,6,2,4,0
116,4577,6,2,4,0
117,4578,6,2,4,0
118,4579,6,2,4,0
