q,p,fsz,nc,uc,level
0,0,4,2,2,0
1,1,6,2,4,0
2,2,6,2,4,0
3,3,4,2,2,0
4,4,4,2,2,0
5,5,4,2,2,0
6,6,4,2,2,0
7,7,4,2,2,0
8,8,4,2,2,0
9,9,4,2,2,0
10,10,4,2,2,0
11,11,4,2,2,0
12,12,4,2,2,0
13,13,4,2,2,0
14,14,4,2,2,0
15,15,4,2,2,0
16,16,4,2,2,0
17,17,4,2,2,0
18,18,3,1,2,0
19,19,3,1,2,0
20,20,3,1,2,0
21,21,3,1,2,0
22,22,3,1,2,0
23,23,3,2,1,0
24,24,3,1,2,0
25,25,8,2,6,0
26,26,8,2,6,0
27,27,6,2,4,0
28,28,6,2,4,0
29,29,6,2,4,0
30,30,6,2,4,0
31,31,6,2,4,0
32,32,6,2,4,0
33,33,6,2,4,0
34,34,6,2,4,0
35,35,6,2,4,0
36,36,4,2,2,0
37,59,8,2,6,0
38,66,4,2,2,0
39,67,4,2,2,0
40,68,4,2,2,0
41,69,8,2,6,0
42,70,4,2,2,0
43,71,4,2,2,0
44,72,4,2,2,0
45,73,4,2,2,0
46,74,4,2,2,0
47,75,4,2,2,0
48,76,4,2,2,0
49,77,4,2,2,0
50,78,4,2,2,0
51,79,4,2,2,0
52,80,4,2,2,0
53,81,3,1,2,0
54,82,8,2,6,0
55,83,8,2,6,0
56,84,6,2,4,0
57,85,6,2,4,0
58,86,6,2,4,0
59,87,6,2,4,0
60,88,4,2,2,0
61,89,4,2,2,0
62,90,4,2,2,0
63,91,4,2,2,0
64,112,6,2,4,0
65,113,6,2,4,0
66,114,4,2,2,0
67,115,4,2,2,0
68,116,4,2,2,0
69,117,4,2,2,0
70,118,6,2,4,0
71,119,6,2,4,0
72,120,6,2,4,0
73,121,4,2,2,0
74,122,4,2,2,0
75,123,4,2,2,0
76,124,4,2,2,0
77,125,4,2,2,0
78,126,4,2,2,0
79,127,4,2,2,0
80,128,4,2,2,0
81,129,4,2,2,0
82,130,4,2,2,0
83,131,4,2,2,0
84,132,4,2,2,0
85,133,4,2,2,0
86,134,3,1,2,0
87,135,3,1,2,0
88,136,3,1,2,0
89,137,8,2,6,0
90,138,8,2,6,0
91,139,8,2,6,0
92,140,6,2,4,0
93,141,6,2,4,0
94,142,6,2,4,0
95,143,4,2,2,0
96,144,4,2,2,0
97,145,4,2,2,0
98,168,6,2,4,0
99,169,4,2,2,0
100,170,4,2,2,0
101,171,6,2,4,0
102,172,6,2,4,0
103,173,4,2,2,0
104,174,4,2,2,0
105,175,4,2,2,0
106,176,4,2,2,0
107,177,4,2,2,0
108,178,4,2,2,0
109,179,4,2,2,0
110,180,4,2,2,0
111,181,4,2,2,0
112,182,4,2,2,0
113,183,4,2,2,0
114,184,4,2,2,0
115,185,3,1,2,0
116,186,3,1,2,0
117,187,3,1,2,0
118,188,8,2,6,0
119,189,8,2,6,0
120,190,6,2,4,0
121,191,6,2,4,0
122,192,6,2,4,0
123,193,6,2,4,0
124,194,6,2,4,0
