case	metric	count	min	p50	p75	p90	max
case1197	fsz	0	0	0.0	0.0	0.0	0
case1197	nc	0	0	0.0	0.0	0.0	0
case1197	uc	0	0	0.0	0.0	0.0	0
case_ACTIVSg2000	fsz	66	33	47.5	56.5	67.0	83
case_ACTIVSg2000	nc	66	2	8.0	8.0	8.0	8
case_ACTIVSg2000	uc	66	25	40.0	48.5	59.0	75
case3012wp	fsz	14	33	35.0	36.8	41.1	43
case3012wp	nc	14	6	8.0	8.0	8.0	8
case3012wp	uc	14	26	28.0	29.0	33.1	35
case6468rte	fsz	48	33	41.0	45.2	51.6	59
case6468rte	nc	48	2	8.0	8.0	8.0	8
case6468rte	uc	48	25	34.0	38.2	43.6	51
case8387pegase	fsz	55	33	41.0	55.0	66.0	74
case8387pegase	nc	55	1	8.0	8.0	8.0	8
case8387pegase	uc	55	25	35.0	47.0	58.6	66
case9241pegase	fsz	76	33	40.5	47.5	55.0	73
case9241pegase	nc	76	1	12.0	12.0	12.0	12
case9241pegase	uc	76	21	31.0	38.2	46.5	61
case_ACTIVSg10k	fsz	132	33	43.5	51.0	58.8	79
case_ACTIVSg10k	nc	132	1	12.0	12.0	12.0	12
case_ACTIVSg10k	uc	132	21	33.0	40.0	49.0	67
case13659pegase	fsz	115	33	40.0	50.0	61.2	84
case13659pegase	nc	115	2	12.0	12.0	12.0	12
case13659pegase	uc	115	21	32.0	39.5	49.2	72
case_ACTIVSg25k	fsz	371	33	50.0	68.0	87.0	125
case_ACTIVSg25k	nc	371	1	12.0	12.0	12.0	12
case_ACTIVSg25k	uc	371	21	40.0	57.0	75.0	113
case_ACTIVSg70k	fsz	748	33	51.0	71.0	90.3	128
case_ACTIVSg70k	nc	748	1	14.0	20.0	20.0	20
case_ACTIVSg70k	uc	748	16	38.0	54.2	71.0	113
case_SyntheticUSA	fsz	901	33	51.0	70.0	92.0	128
case_SyntheticUSA	nc	901	1	14.0	20.0	20.0	20
case_SyntheticUSA	uc	901	14	38.0	53.0	75.0	122
