case	model	scope	fronts	phase3_fronts	tc_scalar_gate_fronts	real_mflop	padded_mflop	padded_over_real	output_tiles	mma_count	stage_elems_m	explicit_convert_elems_m	csc_mb
case1197	fp16_wmma	all	1166	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	fp16_wmma	mid	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_wmma	all	1166	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_wmma	mid	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_ptx	all	1166	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_ptx	mid	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case1197	tf32_ptx	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case_ACTIVSg2000	fp16_wmma	all	1767	29	0	1.259	3.260	2.59	398	398	0.054	0.054	0.815
case_ACTIVSg2000	fp16_wmma	mid	66	29	0	1.259	3.260	2.59	398	398	0.054	0.054	0.815
case_ACTIVSg2000	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case_ACTIVSg2000	tf32_wmma	all	1767	29	0	1.259	1.630	1.29	398	398	0.027	0.027	0.815
case_ACTIVSg2000	tf32_wmma	mid	66	29	0	1.259	1.630	1.29	398	398	0.027	0.027	0.815
case_ACTIVSg2000	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case_ACTIVSg2000	tf32_ptx	all	1767	29	0	1.259	1.630	1.29	398	398	0.027	0.000	0.000
case_ACTIVSg2000	tf32_ptx	mid	66	29	0	1.259	1.630	1.29	398	398	0.027	0.000	0.000
case_ACTIVSg2000	tf32_ptx	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	fp16_wmma	all	2773	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	fp16_wmma	mid	14	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_wmma	all	2773	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_wmma	mid	14	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_ptx	all	2773	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_ptx	mid	14	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case3012wp	tf32_ptx	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case6468rte	fp16_wmma	all	5895	9	0	0.301	0.836	2.77	102	102	0.015	0.015	0.209
case6468rte	fp16_wmma	mid	48	9	0	0.301	0.836	2.77	102	102	0.015	0.015	0.209
case6468rte	fp16_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case6468rte	tf32_wmma	all	5895	9	0	0.301	0.418	1.39	102	102	0.008	0.008	0.209
case6468rte	tf32_wmma	mid	48	9	0	0.301	0.418	1.39	102	102	0.008	0.008	0.209
case6468rte	tf32_wmma	big	0	0	0	0.000	0.000	0.00	0	0	0.000	0.000	0.000
case6468rte	tf32_ptx	all	5895	9	0	0.301	0.418	1.39	102	102	0.008	0.000	0.000
