config	case	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres
cudss-fp64	3xxx	1	75.2204	0.384021	0.217257	3.32177e-13
cudss-fp32	3xxx	1	107.323	0.260098	0.154921	0.000174521
custom-fp64	3xxx	1	14.1082	0.283332	0.207169	3.36926e-13
custom-fp32	3xxx	1	22.9945	0.209012	0.125205	0.000224005
custom-tf32	3xxx	1	13.9653	0.185798	0.123411	0.000217963
cudss-fp64	3xxx	4	125.449	0.170179	0.0802605	3.47416e-13
cudss-fp32	3xxx	4	116.597	0.109355	0.05607	0.000180528
custom-fp64	3xxx	4	26.9899	0.0801955	0.065077	1
custom-fp32	3xxx	4	13.9228	0.049275	0.0386048	1
custom-tf32	3xxx	4	15.4112	0.0492775	0.0384395	1
cudss-fp64	3xxx	16	116.387	0.122572	0.0513764	3.49168e-13
cudss-fp32	3xxx	16	144.957	0.077228	0.0354002	0.000181924
custom-fp64	3xxx	16	13.9205	0.0287584	0.0225942	3.55109e-13
custom-fp32	3xxx	16	13.8525	0.0169825	0.0130845	0.000241664
custom-tf32	3xxx	16	13.8835	0.0168916	0.013119	0.000239258
cudss-fp64	3xxx	64	141.841	0.109907	0.0442215	3.45723e-13
cudss-fp32	3xxx	64	120.281	0.0685326	0.0306587	0.000199484
custom-fp64	3xxx	64	16.4	0.0150182	0.00853381	3.70811e-13
custom-fp32	3xxx	64	14.0452	0.00819116	0.00447761	0.000254007
custom-tf32	3xxx	64	13.8544	0.00825439	0.00446744	0.00024603
cudss-fp64	3xxx	256	135.909	0.10667	0.0424779	3.7016e-13
cudss-fp32	3xxx	256	82.7423	0.0662217	0.0294783	0.000193949
custom-fp64	3xxx	256	14.1083	0.0120279	0.00581407	3.74949e-13
custom-fp32	3xxx	256	14.1808	0.00609612	0.00263127	0.0002555
custom-tf32	3xxx	256	13.992	0.00644408	0.00263114	0.000258421
cudss-fp64	6xxx	1	115.705	0.535504	0.287069	1.00173e-13
cudss-fp32	6xxx	1	107.003	0.344687	0.195466	4.61791e-05
custom-fp64	6xxx	1	44.9272	0.541585	0.32524	9.27591e-14
custom-fp32	6xxx	1	45.9351	0.307797	0.189154	4.78421e-05
custom-tf32	6xxx	1	52.152	0.300754	0.189175	4.75028e-05
cudss-fp64	6xxx	4	114.773	0.280972	0.1238	9.83281e-14
cudss-fp32	6xxx	4	149.212	0.174177	0.0796542	4.80603e-05
custom-fp64	6xxx	4	45.4304	0.157926	0.124702	1
custom-fp32	6xxx	4	52.9458	0.0892322	0.0775327	1
custom-tf32	6xxx	4	42.9503	0.0883058	0.0778257	1
cudss-fp64	6xxx	16	152.959	0.218388	0.0873037	1.05942e-13
cudss-fp32	6xxx	16	91.8611	0.136237	0.0595667	4.95981e-05
custom-fp64	6xxx	16	47.1907	0.0593877	0.0379963	1.15806e-13
custom-fp32	6xxx	16	43.931	0.0318579	0.022506	5.9423e-05
custom-tf32	6xxx	16	47.3457	0.0327784	0.0224859	5.08815e-05
cudss-fp64	6xxx	64	93.9738	0.201892	0.0782962	1.11875e-13
cudss-fp32	6xxx	64	84.7173	0.125537	0.0539609	5.17651e-05
custom-fp64	6xxx	64	42.8836	0.0359499	0.0175074	1.1863e-13
custom-fp32	6xxx	64	43.4974	0.0180218	0.00861992	5.63142e-05
custom-tf32	6xxx	64	44.6251	0.0188029	0.00862869	5.6179e-05
cudss-fp64	6xxx	256	153.299	0.197779	0.0760527	1.11562e-13
cudss-fp32	6xxx	256	92.3308	0.122692	0.052378	5.19801e-05
custom-fp64	6xxx	256	44.523	0.0321203	0.012922	1.21647e-13
custom-fp32	6xxx	256	46.8297	0.0149637	0.0057192	5.72126e-05
custom-tf32	6xxx	256	48.2082	0.0159707	0.0057122	5.89079e-05
cudss-fp64	8xxx	1	117.874	0.869942	0.354525	3.87074e-14
cudss-fp32	8xxx	1	95.7463	0.545673	0.238067	1.24944e-05
custom-fp64	8xxx	1	51.8325	0.553258	0.333646	3.53359e-14
custom-fp32	8xxx	1	51.6635	0.310914	0.188143	2.39606e-05
custom-tf32	8xxx	1	51.9432	0.3089	0.188994	2.20532e-05
cudss-fp64	8xxx	4	138.741	0.398535	0.150021	4.16817e-14
cudss-fp32	8xxx	4	124.439	0.248734	0.0995792	1.74462e-05
custom-fp64	8xxx	4	53.2216	0.166056	0.127021	1
custom-fp32	8xxx	4	51.8532	0.0965235	0.0810947	1
custom-tf32	8xxx	4	50.4235	0.0969467	0.0810722	1
cudss-fp64	8xxx	16	93.3622	0.282726	0.0996876	5.53362e-14
cudss-fp32	8xxx	16	90.6838	0.176965	0.0701403	1.84343e-05
custom-fp64	8xxx	16	53.8182	0.0710263	0.0423206	3.69809e-14
custom-fp32	8xxx	16	52.4259	0.0381115	0.0238942	2.67628e-05
custom-tf32	8xxx	16	52.5546	0.0410126	0.0238879	2.29068e-05
cudss-fp64	8xxx	64	120.952	0.253007	0.0876327	5.77063e-14
cudss-fp32	8xxx	64	113.801	0.157737	0.0623505	1.90414e-05
custom-fp64	8xxx	64	52.3464	0.0491639	0.0210219	3.74878e-14
custom-fp32	8xxx	64	62.165	0.0241545	0.0102653	2.68107e-05
custom-tf32	8xxx	64	52.9367	0.0256157	0.0102758	2.31474e-05
cudss-fp64	8xxx	256	144.504	0.245544	0.0845524	5.77228e-14
cudss-fp32	8xxx	256	94.8216	0.152869	0.0601872	1.93874e-05
custom-fp64	8xxx	256	52.4214	0.0454562	0.016517	4.07653e-14
