config	case	init_ms	solve_ms	iters	mismatch	factorize_ms	tri_solve_ms	ibus_ms	jacobian_ms	mismatch_op_ms	upload_ms	download_ms
cudss-fp64	case3012wp	43.239260000000002	2.366682	4	9.8140919073949928e-12	1.287	0.709	0.048	0.047	0.029	0.089	0.037
custom-fp64	case3012wp	13.193574	2.3798170000000001	4	8.5300691974612015e-12	1.217	0.751	0.048	0.047	0.028	0.084	0.038
cudss-mixed	case3012wp	43.388159999999999	1.789944	4	1.274275476803588e-11	0.905	0.504	0.047	0.036	0.029	0.088	0.037
custom-mixed-fp32	case3012wp	13.992570000000001	1.733117	4	4.6817660859233001e-11	0.833	0.502	0.048	0.037	0.029	0.09	0.038
custom-mixed-tf32	case3012wp	13.314391000000001	1.6773119999999999	4	8.3289888677918873e-11	0.82	0.502	0.048	0.036	0.028	0.085	0.037
cudss-fp64	case6468rte	73.522079000000005	3.0152549999999998	4	1.287214779210899e-11	1.671	0.849	0.057	0.062	0.031	0.183	0.046
custom-fp64	case6468rte	49.309922	3.4236140000000002	4	6.7828620167934797e-12	1.787	1.045	0.057	0.064	0.03	0.135	0.047
cudss-mixed	case6468rte	73.846928000000005	2.4022790000000001	4	9.7980399268734814e-12	1.112	0.577	0.054	0.04	0.03	0.183	0.045
custom-mixed-fp32	case6468rte	44.436272000000002	2.3221769999999999	4	1.03058487144638e-11	1.238	0.684	0.054	0.04	0.03	0.134	0.048
custom-mixed-tf32	case6468rte	46.077485000000003	2.3469639999999998	4	1.0595557962156828e-11	1.237	0.683	0.054	0.04	0.03	0.142	0.047
cudss-fp64	case8387pegase	97.290530000000004	5.64438	4	1.340660915616354e-11	2.708	1.095	0.084	0.064	0.032	0.187	0.052
custom-fp64	case8387pegase	53.448608999999998	3.8548770000000001	4	1.2473577726268559e-11	2.098	1.144	0.085	0.066	0.032	0.179	0.051
cudss-mixed	case8387pegase	92.955263000000002	3.114992	4	7.7865003333954519e-10	1.746	0.736	0.083	0.043	0.031	0.251	0.051
custom-mixed-fp32	case8387pegase	66.691419999999994	4.2758010000000004	4	5.628000288027124e-10	1.459	0.744	0.083	0.044	0.032	0.188	0.051
custom-mixed-tf32	case8387pegase	58.310681000000002	2.6816049999999998	4	6.7563288297378676e-10	1.39	0.733	0.082	0.043	0.031	0.164	0.05
cudss-fp64	case_ACTIVSg25k	220.22658200000001	10.478973999999999	5	9.1077398150825535e-11	6.857	2.681	0.097	0.148	0.047	0.423	0.092
custom-fp64	case_ACTIVSg25k	283.21403299999997	19.040191	5	9.1075914106425359e-11	7.553	3.079	0.097	0.149	0.047	0.42	0.093
cudss-mixed	case_ACTIVSg25k	219.36378199999999	6.6694620000000002	5	5.9271951377813744e-09	4.135	1.631	0.096	0.067	0.047	0.395	0.09
custom-mixed-fp32	case_ACTIVSg25k	183.737089	5.9454669999999998	5	1.9302476920334439e-09	3.319	1.751	0.096	0.068	0.046	0.385	0.093
custom-mixed-tf32	case_ACTIVSg25k	182.80442199999999	5.4583380000000004	5	3.6593483677934975e-09	2.826	1.747	0.096	0.068	0.046	0.386	0.091
cudss-fp64	case_SyntheticUSA	785.20921999999996	39.944307000000002	7	7.2224578505601215e-11	27.79	8.888	0.228	0.536	0.088	1.51	0.515
custom-fp64	case_SyntheticUSA	619.37150399999996	61.288738000000002	7	7.2099265659350304e-11	50.2	8.142	0.229	0.539	0.09	1.363	0.365
cudss-mixed	case_SyntheticUSA	793.87257299999999	25.182547	7	1.4601615781488751e-09	16.53	5.801	0.226	0.236	0.092	1.384	0.534
custom-mixed-fp32	case_SyntheticUSA	646.99713999999994	23.513738	8	4.481159035556522e-11	15.8	5.306	0.254	0.274	0.1	1.167	0.233
custom-mixed-tf32	case_SyntheticUSA	634.59935099999996	20.581810999999998	8	9.4191413440225724e-11	12.84	5.309	0.256	0.276	0.101	1.161	0.233
cudss-fp64	case13659pegase	127.115647	8.8673800000000007	6	2.2892528994613319e-09	5.688	2.282	0.128	0.134	0.05	0.262	0.063
custom-fp64	case13659pegase	94.026088000000001	7.5299069999999997	6	2.2891800549212041e-09	4.169	2.549	0.127	0.137	0.05	0.254	0.065
cudss-mixed	case13659pegase	130.20975000000001	6.9590350000000001	7	9.8741225655219493e-10	4.167	1.721	0.149	0.093	0.059	0.335	0.064
custom-mixed-fp32	case13659pegase	96.338871999999995	5.5707269999999998	7	8.6386904660923358e-10	2.882	1.458	0.148	0.096	0.06	0.263	0.065
custom-mixed-tf32	case13659pegase	93.897135000000006	5.1364299999999998	7	1.2575460117680848e-09	2.757	1.453	0.148	0.095	0.06	0.26	0.065
