config	case	B	solve_total_us	fac_us	sol_us	ibus_us	jac_us	upload_us	download_us	iters
cudss-fp64	case3012wp	1	2249.43	1187.29	699.143	46.7143	45.8571	92.4286	34.1429	4
cudss-fp64	case3012wp	16	9763.86	6134.57	2510.43	125.143	162.286	366.714	270.857	4
cudss-fp64	case3012wp	64	34175.7	22082.6	8635.71	229	543.143	740.286	1606.43	4
cudss-fp64	case3012wp	256	128171	85753.9	33160.1	796.429	2078.29	2643.57	2783.29	4
custom-fp64	case3012wp	1	1978	970	641.143	47.7143	46	94.5714	35	4
custom-fp64	case3012wp	16	3534.43	1513.43	1229.14	91.2857	162.143	210.143	137.429	4
custom-fp64	case3012wp	64	7582.14	3092.14	1968.86	229.286	543.286	696.286	716.857	4
custom-fp64	case3012wp	256	23158.7	9628	4723.14	794.714	2078.57	2377.86	2617.86	4
cudss-mixed	case3012wp	1	1763.86	811.857	573.286	47.2857	35.4286	97.4286	34.7143	4
cudss-mixed	case3012wp	16	6808	3840.71	1947.14	90	62.5714	370.857	275.429	4
cudss-mixed	case3012wp	64	21913.6	13714.3	6003	216.714	157.571	773	679.143	4
cudss-mixed	case3012wp	256	85254.7	54526.4	23099	746.429	521	2597.14	2748.71	4
custom-mixed-fp32	case3012wp	1	1396.29	649.286	393	47	35.5714	93.2857	33.8571	4
custom-mixed-fp32	case3012wp	16	2351.86	916.571	738.857	88.4286	62.1429	214.429	140.571	4
custom-mixed-fp32	case3012wp	64	4896.86	1664.86	1007.57	216.714	158.429	778.571	732.429	4
custom-mixed-fp32	case3012wp	256	14011	4607.71	2081.71	745.714	520.286	2475.71	2652.43	4
custom-mixed-tf32	case3012wp	1	1417.43	652.429	394.714	47.1429	36.8571	96.8571	36	4
custom-mixed-tf32	case3012wp	16	2406.29	930.714	742.429	89.8571	65.4286	223	145.714	4
custom-mixed-tf32	case3012wp	64	5032.57	1677.86	1000	222.571	165.714	783.857	813.286	4
custom-mixed-tf32	case3012wp	256	15956.3	4900.14	2178.57	770.286	563.429	3207.71	3162.71	4
cudss-fp64	case6468rte	1	2906.14	1610.14	843	55.7143	60.7143	146.143	43	4
cudss-fp64	case6468rte	16	15356.7	9702.29	4028.71	170.857	330.429	503	388.286	4
cudss-fp64	case6468rte	64	55396.3	35641.3	14450.1	550.143	1181.14	1567.14	1414.14	4
cudss-fp64	case6468rte	256	215095	139481	55956.1	2027.29	4626.43	5534.71	5572.57	4
custom-fp64	case6468rte	1	2804.57	1426.86	906.857	56.2857	62.1429	152	43.5714	4
custom-fp64	case6468rte	16	6134.71	2652	1862.43	170.571	330.571	499	387.429	4
custom-fp64	case6468rte	64	14910.6	6651.71	3159.71	550.286	1181.71	1400.14	1385.29	4
custom-fp64	case6468rte	256	53014.6	23988.4	9440.71	2029.71	4625.71	5535	5520.71	4
cudss-mixed	case6468rte	1	2056.86	1023.43	573.857	53.7143	39.4286	152.143	44.1429	4
cudss-mixed	case6468rte	16	12002	6985.57	3112.86	163.429	119.286	944	412.571	4
cudss-mixed	case6468rte	64	36468.7	22373	9909.71	521.571	364.571	1381.86	1287.14	4
cudss-mixed	case6468rte	256	142813	87512.1	38435.4	1912.57	1355.14	5895	5680.71	4
custom-mixed-fp32	case6468rte	1	1820.29	851.286	533.429	53	38.1429	150.571	43	4
custom-mixed-fp32	case6468rte	16	3906.86	1525.71	989.714	164	117.571	499.857	380.714	4
custom-mixed-fp32	case6468rte	64	10003.1	3237.29	1792.57	705.857	364.714	1495.43	1837.29	4
custom-mixed-fp32	case6468rte	256	33222.3	11081.7	4255	2118.43	1579	6770.29	5526.57	4
custom-mixed-tf32	case6468rte	1	1839.14	839.143	551.143	54.2857	37.8571	156.857	43.4286	4
custom-mixed-tf32	case6468rte	16	3788.29	1387.71	991.143	163.857	118.714	505.857	389.429	4
custom-mixed-tf32	case6468rte	64	9212.43	3295.43	1571.43	522.429	364	1382.57	1439.86	4
custom-mixed-tf32	case6468rte	256	32201.4	11381.6	4199.29	1917.86	1354.29	5757.43	5682.43	4
cudss-fp64	case8387pegase	1	4238	2613	1085.29	83.2857	63.5714	192.571	48.5714	4
cudss-fp64	case8387pegase	16	20552.6	13578.3	4810.43	327.429	474.857	624.571	472.429	4
cudss-fp64	case8387pegase	64	73259.1	48846.3	17042.4	1029.29	1751.43	2002	1872.86	4
cudss-fp64	case8387pegase	256	298732	188670	65326.6	3841.71	7018	6460.71	22706.3	4
custom-fp64	case8387pegase	1	3185.71	1655.86	991	84.1429	63.8571	191	47.4286	4
custom-fp64	case8387pegase	16	7742.57	3397.86	2060.29	327.857	474.143	635.571	563.857	4
custom-fp64	case8387pegase	64	20915.6	9453.29	4055.43	1028.57	1751.43	1899.14	2015.43	4
custom-fp64	case8387pegase	256	92020.7	34955.1	13438	3834.14	6936.43	6661	21682.1	4
cudss-mixed	case8387pegase	1	2900.57	1647.57	725.143	79.4286	40.8571	194.143	47.1429	4
cudss-mixed	case8387pegase	16	13745.3	8490.86	3384.43	318.571	165.429	639.143	454	4
cudss-mixed	case8387pegase	64	49507.4	30576.3	12099.4	991.714	556.143	2002.86	2404	4
cudss-mixed	case8387pegase	256	202751	117613	46757.4	3689	2135.86	6370.86	21501	4
custom-mixed-fp32	case8387pegase	1	2070.86	969	590.143	78.8571	41.2857	192.857	47.1429	4
custom-mixed-fp32	case8387pegase	16	5132.29	1816	1365.57	320.429	167.429	638.429	542	4
custom-mixed-fp32	case8387pegase	64	12896.7	4544.86	1966.57	989.714	804.571	1900.14	1999.43	4
custom-mixed-fp32	case8387pegase	256	58735.4	15903.4	5631.86	3685.86	2125	6402.29	20710.4	4
custom-mixed-tf32	case8387pegase	1	2062.71	964.143	592.143	79.4286	41.8571	187.429	46.8571	4
custom-mixed-tf32	case8387pegase	16	5073.14	1934.86	1144.14	322	166.286	611	615.429	4
custom-mixed-tf32	case8387pegase	64	12710.1	4837.43	1968.57	1020.43	555.143	1816.86	1825.86	4
custom-mixed-tf32	case8387pegase	256	60315.7	16691.7	5627.29	3688.86	2124.57	6670.71	21170.3	4
cudss-fp64	case_ACTIVSg25k	1	10365.1	6733.57	2670.43	95.1429	145	417	88	5
cudss-fp64	case_ACTIVSg25k	16	82072.6	58775.6	17811.3	536.857	1490	1619.71	1179.71	5
cudss-fp64	case_ACTIVSg25k	64	312639	225769	66734	1952.71	5811.29	5356.29	4778.71	5
cudss-fp64	case_ACTIVSg25k	256	1.27894e+06	892010	262211	7581	23141.9	19788.6	59997.1	5
custom-fp64	case_ACTIVSg25k	1	10878.3	7082.14	2846.29	95.2857	146.714	385	88.2857	5
custom-fp64	case_ACTIVSg25k	16	29908.9	18352.3	5674.43	658.429	1534.43	1704.14	1217.29	5
custom-fp64	case_ACTIVSg25k	64	98494.1	62570.6	14540.9	1969.57	5853.43	5516	5799.14	5
custom-fp64	case_ACTIVSg25k	256	421038	241437	52590.4	7882.86	23479	19252.9	62378.1	5
cudss-mixed	case_ACTIVSg25k	1	6553.14	4000.43	1632.14	95.1429	64.2857	430.714	87.8571	5
cudss-mixed	case_ACTIVSg25k	16	50044.6	33493.1	11950.6	517	534.714	1613.86	1231	5
cudss-mixed	case_ACTIVSg25k	64	212373	141871	50428.7	2902.29	2198.29	5960.29	6081.43	5
cudss-mixed	case_ACTIVSg25k	256	928653	597621	209547	8898.71	11894.1	18373.3	65809.9	5
custom-mixed-fp32	case_ACTIVSg25k	1	5222.14	2873.29	1541	93.8571	66.1429	339.286	87.1429	5
custom-mixed-fp32	case_ACTIVSg25k	16	14875.9	7225.86	2943.71	511.571	539	1451.57	1505.14	5
custom-mixed-fp32	case_ACTIVSg25k	64	51990	25200.3	7392.57	2206	1993	6140.86	6511.86	5
custom-mixed-fp32	case_ACTIVSg25k	256	239285	99527.6	23002	7361.43	8337.29	22110.3	63456.3	5
custom-mixed-tf32	case_ACTIVSg25k	1	4685.71	2376.43	1507	92.8571	66	343.571	85.4286	5
custom-mixed-tf32	case_ACTIVSg25k	16	14556.7	6919	2949.29	510.714	573.857	1535	1366.86	5
