config	case	B	iters	solve_total_us	factorize_us	tri_solve_us	ibus_us	jacobian_us	mismatch_us	mnorm_us	prepare_rhs_us	voltage_update_us	upload_us	download_us
cudss-fp64	case3012wp	1	4	2253.33	1190.47	701.867	47.2	45.7333	32.6667	65.7333	0	35.1333	86.0667	34.1333
cudss-fp64	case3012wp	16	4	9740.67	6138.13	2513.8	92.2667	162.067	45.1333	82.2	0	53.9333	366.8	270.933
cudss-fp64	case3012wp	64	4	35421.5	22103.3	9679	229.133	544.733	77.4667	96.1333	0	1212	792.067	658
cudss-fp64	case3012wp	256	4	127954	85751.1	33255.1	795.8	2078.87	261.133	146.8	0	408	2764.4	2421.53
custom-fp64	case3012wp	1	4	1966.53	969.733	640.8	47.1333	45.5333	28.9333	64.6667	0	34.5333	87.0667	33.6667
custom-fp64	case3012wp	16	4	3558.47	1519	1228.8	91.1333	161.933	44.9333	77.7333	0	54.6667	217	148.667
custom-fp64	case3012wp	64	4	7505.33	3112	1960.87	229.067	543.667	79.8	89.6667	0	120.533	703.133	638
custom-fp64	case3012wp	256	4	22811.9	9657.6	4714.47	803.133	2078.13	261.067	139	0	402.467	2397.33	2287.67
cudss-mixed	case3012wp	1	4	1680.6	811.533	501.933	46.1333	35.9333	28.2	65.6	18.0667	35.2	87.4667	33.7333
cudss-mixed	case3012wp	16	4	6568.67	3838.93	1734.8	90.4667	62.2667	44.5333	79.8667	21	53.2	364	263.333
cudss-mixed	case3012wp	64	4	22256.3	13866.9	6182.87	216.133	158.067	77.3333	91.8667	33.9333	120.467	844.933	630.6
cudss-mixed	case3012wp	256	4	83415.9	53070.2	23089.4	745.867	521.933	263	146.267	82.2	392.267	2617.47	2413.13
custom-mixed-fp32	case3012wp	1	4	1384.87	647.667	393.2	47.1333	35.1333	28.2667	64.6	0	34.4667	86.8667	33.4
custom-mixed-fp32	case3012wp	16	4	2354	922.067	739.133	88.4667	61.5333	44.6	76.8	0	53.9333	212.333	141
custom-mixed-fp32	case3012wp	64	4	4735.2	1621.73	992	313.067	158.467	77.4667	88.1333	0	116.933	705.933	632.6
custom-mixed-fp32	case3012wp	256	4	14165.5	4608.4	2179.6	787.4	520.533	262.6	138.467	0	892.8	2389.8	2314.93
custom-mixed-tf32	case3012wp	1	4	1386.73	647.933	392.867	47.3333	35.8	28.3333	66.2667	0	34.6667	86.5333	33.1333
custom-mixed-tf32	case3012wp	16	4	2350.33	921.533	740.333	88.6	61.5333	44.3333	77.2	0	53.9333	212.267	136.067
custom-mixed-tf32	case3012wp	64	4	4687.47	1666.73	993	219.333	158.533	77.5333	87.6667	0	116.6	702.333	636.467
custom-mixed-tf32	case3012wp	256	4	15668.6	4887.67	2091.4	774.6	529.067	337.667	208.733	0	440.867	2436	3885.67
cudss-fp64	case6468rte	1	4	2870.27	1583.47	841.533	55.6667	60.6667	29.5333	66.1333	0	35.4667	139.667	43
cudss-fp64	case6468rte	16	4	15718.7	9765.73	4088.67	170.4	359.8	55.8	84.7333	0	289	502	389
cudss-fp64	case6468rte	64	4	55479.8	35792.5	14694.1	549.933	1202.93	158.4	109.267	0	236.4	1479.33	1210.27
cudss-fp64	case6468rte	256	4	214306	139501	56107.3	2029.07	4647.4	519.867	255.267	0	828	5454.87	4824
custom-fp64	case6468rte	1	4	4072	1850.87	1546.87	276.6	60.7333	30	70	0	42	134.933	44.3333
custom-fp64	case6468rte	16	4	6517.4	2822	1855.33	170.2	330.8	56.6667	103.867	0	75.4667	701.933	385.533
custom-fp64	case6468rte	64	4	15169.7	6821.67	3272.73	548.533	1198	161.667	108.467	0	237.2	1546.4	1229.87
custom-fp64	case6468rte	256	4	51925.3	23968.6	9431	2030.73	4621.2	518.133	245.267	0	931.667	5321.87	4723.07
cudss-mixed	case6468rte	1	4	2647.6	1023.07	701.267	54.8667	42.7333	29.8667	520.867	18.8667	37.4667	154.733	46.3333
cudss-mixed	case6468rte	16	4	10342.4	6147.8	2743.73	170.667	118.067	74.0667	86.4	27.1333	73.0667	496.267	388.867
cudss-mixed	case6468rte	64	4	36385.5	22372	9901.53	529.467	363.8	160	109.2	51.8	224.6	1430.53	1195.07
cudss-mixed	case6468rte	256	4	142136	87458.2	38635.2	2081.87	1360.4	526.4	256.067	157.2	801.867	5677.8	5040.87
custom-mixed-fp32	case6468rte	1	4	1791.47	847.4	531	53.5333	38.6667	29.7333	65.2667	0	35.2667	133.133	42.1333
custom-mixed-fp32	case6468rte	16	4	3775.8	1406.4	988.4	164.067	118.133	56	82.8667	0	72.2	495.2	378.533
custom-mixed-fp32	case6468rte	64	4	8810.87	3238.67	1576.27	520	364.2	159.533	106	0	222.133	1343.13	1237.6
custom-mixed-fp32	case6468rte	256	4	30019.5	10913	4191.13	1912.8	1353.53	519.533	244.533	0	789.267	5219.8	4732.8
custom-mixed-tf32	case6468rte	1	4	1785.27	839.533	528.067	53.6	38.3333	28.8667	65.2667	0	35	139.267	42.1333
custom-mixed-tf32	case6468rte	16	4	3761.07	1388.47	990.267	163.467	117.667	56.0667	83.3333	0	72.4	498	376.733
custom-mixed-tf32	case6468rte	64	4	8752	3295.8	1573.4	521.933	363.133	158.933	104.067	0	221.533	1275.27	1193.27
custom-mixed-tf32	case6468rte	256	4	37938.9	13411.1	4429	2189.93	1503.07	523.2	798.467	0	1571.47	6956.67	6411.07
cudss-fp64	case8387pegase	1	4	4266.07	2620.87	1103	84.2667	65.0667	31.7333	77.3333	0	42.4667	175.667	50.5333
cudss-fp64	case8387pegase	16	4	21213.7	13960.5	4806.53	552.467	473.867	66.7333	90.7333	0	93.4667	666.333	487.267
cudss-fp64	case8387pegase	64	4	72742.4	48781.7	16841.1	1028.53	1832.6	189.467	117.267	0	295.2	1978.13	1623.4
cudss-fp64	case8387pegase	256	4	295936	188652	64986.3	3835.8	6902.13	654.8	252.067	0	1062.53	6403.4	20710.2
custom-fp64	case8387pegase	1	4	3164.53	1657.13	990.133	83.8	65.3333	30.5333	66.6667	0	37.6	171.4	46.9333
custom-fp64	case8387pegase	16	4	7616.73	3395.33	2051.87	326.667	473.667	65.8667	85.6667	0	90.8667	621	479.533
custom-fp64	case8387pegase	64	4	20420.3	9459.73	4042.73	1025.73	1750.87	189.2	113.867	0	292.067	1867.2	1624.67
custom-fp64	case8387pegase	256	4	89305.9	34957.9	12714.4	3832.93	6901.33	717.667	238.333	0	1054.53	6363.13	19783.4
cudss-mixed	case8387pegase	1	4	2885.13	1649	726.133	80.2667	41.2667	30.2	66.3333	18.1333	36.2	174.933	46.9333
cudss-mixed	case8387pegase	16	4	13747.1	8522.8	3379.93	318.467	165.267	67.4667	85.8667	29.6667	89.9333	626.667	445.4
cudss-mixed	case8387pegase	64	4	48362	30327.6	12068.5	989.533	555.667	189.6	117.4	59.0667	284.667	2074.73	1636.73
cudss-mixed	case8387pegase	256	4	202601	117587	46271.3	3718.67	2225.2	657.4	260.6	195.733	1037.67	6589.93	21615.9
custom-mixed-fp32	case8387pegase	1	4	2046.73	969.467	591.533	79.0667	41	30.5333	66.4667	0	36.5333	171.733	46.1333
custom-mixed-fp32	case8387pegase	16	4	4817.53	1816.07	1144.8	320.267	166.867	67.3333	86.4	0	89.7333	612.067	489.4
custom-mixed-fp32	case8387pegase	64	4	12170.7	4563	1966.47	988.933	555.933	190	114.8	0	282.8	1831.53	1621.07
custom-mixed-fp32	case8387pegase	256	4	58426.7	15916.9	5622.33	3686	2126.8	650.733	239.867	0	1024.53	6203.33	20666.1
custom-mixed-tf32	case8387pegase	1	4	2046.67	964.8	591.667	79.1333	41.2	30.2667	68	0	36.8	172.467	47.4
custom-mixed-tf32	case8387pegase	16	4	4957.93	1932.4	1146.8	320.933	166.667	67.2667	85.8	0	89.4667	615.667	507.667
custom-mixed-tf32	case8387pegase	64	4	12459.3	4824.47	1969.2	989.667	555.867	189.8	116.067	0	283.933	1867.93	1605.87
custom-mixed-tf32	case8387pegase	256	4	61720.8	16650.7	5802	3682.93	2124.4	652	242.867	0	1030.13	6772.73	22202.3
cudss-fp64	case13659pegase	1	6	12312.1	7609.53	3118.93	406	145.667	76.5333	147.067	0	463.133	253.533	66.5333
cudss-fp64	case13659pegase	16	6	48045.4	32463.3	11652.3	658.667	1134.73	142.133	138	0	219.333	922.933	690.067
cudss-fp64	case13659pegase	64	6	174927	118668	41998.5	2454.6	4403	425.667	231.333	0	760.8	3325	2575.4
cudss-fp64	case13659pegase	256	6	702998	462133	162608	8671.13	17220.1	1548.27	513.933	0	2832.2	10592.8	33147
custom-fp64	case13659pegase	1	6	6865.67	3686.47	2389.8	125.067	133.6	49.7333	104.667	0	65.9333	227.933	59.6667
custom-fp64	case13659pegase	16	6	16482.6	8137.93	4260	661.667	1130.73	143.133	282.933	0	250.667	828.733	748.533
custom-fp64	case13659pegase	64	6	46617.5	23796.3	9268.87	2260.87	4343.87	425.467	213.933	0	753.8	2890.33	2578.8
custom-fp64	case13659pegase	256	6	204957	91006.5	31948.7	9062	18055.7	1761.73	503.267	0	2814.27	10691.9	34892.3
cudss-mixed	case13659pegase	1	7	6692.8	4128.53	1714	146.6	90.5333	57.4667	123.8	37.8	74.4	228.867	61
cudss-mixed	case13659pegase	16	7	36950.2	23736.9	9826	747.733	462.4	166.8	160.267	67.1333	258.933	855.333	638.4
cudss-mixed	case13659pegase	64	7	134619	86865.3	35915.6	2648.27	1633.4	495.267	347.2	161.533	882.467	3002.53	2573.6
cudss-mixed	case13659pegase	256	7	552256	339245	140445	9787.6	7272.07	1861.53	790.2	549.4	3798.47	10316.6	34342.5
custom-mixed-fp32	case13659pegase	1	7	4543.6	2347.47	1393.67	146.467	91.9333	58.3333	120.867	0	77.1333	223	59.5333
custom-mixed-fp32	case13659pegase	16	7	10644.6	4837.4	2450.93	746.8	464.467	167.467	156.267	0	255.6	814.6	708.4
custom-mixed-fp32	case13659pegase	64	7	30179.3	13173.9	5324.6	2597	1722.27	509.733	289.333	0	900	2952.2	2612.67
custom-mixed-fp32	case13659pegase	256	7	138142	49708.9	18263.9	9924.53	6415.8	1969.93	565.2	0	3378.67	10429	33658.5
custom-mixed-tf32	case13659pegase	1	7	4370.2	2263.2	1296.73	146.267	92	58.7333	124.133	0	77.8667	224.2	59.9333
custom-mixed-tf32	case13659pegase	16	7	10752.3	4945.67	2449.8	752.133	464.533	169.2	155.733	0	256.133	808.6	705.6
custom-mixed-tf32	case13659pegase	64	7	33064.2	14273.6	5603.8	2557.6	1793	497.4	251.6	0	882.2	4156.87	2957.8
