q,p,fsz,nc,uc,level
0,0,6,2,4,0
1,1,6,2,4,0
2,2,6,2,4,0
3,3,5,2,3,0
4,4,6,2,4,0
5,5,5,2,3,0
6,6,5,2,3,0
7,7,5,2,3,0
8,8,5,2,3,0
9,9,3,1,2,0
10,10,4,1,3,0
11,11,4,2,2,0
12,12,10,2,8,0
13,13,6,2,4,0
14,14,6,2,4,0
15,15,6,2,4,0
16,16,6,2,4,0
17,17,6,2,4,0
18,18,6,2,4,0
19,19,6,2,4,0
20,20,6,2,4,0
21,21,6,2,4,0
22,22,6,2,4,0
23,23,6,2,4,0
24,24,6,2,4,0
25,25,5,2,3,0
26,26,5,2,3,0
27,27,5,2,3,0
28,46,8,2,6,0
29,51,6,2,4,0
30,52,6,2,4,0
31,53,5,2,3,0
32,54,5,1,4,0
33,55,5,2,3,0
34,56,5,2,3,0
35,57,5,2,3,0
36,58,3,1,2,0
37,59,4,2,2,0
38,60,3,1,2,0
39,61,3,1,2,0
40,62,6,2,4,0
41,63,6,2,4,0
42,64,6,2,4,0
43,65,6,2,4,0
44,66,6,2,4,0
45,67,6,2,4,0
46,68,6,2,4,0
47,69,6,2,4,0
48,70,6,2,4,0
49,71,6,2,4,0
50,72,6,2,4,0
51,73,6,2,4,0
52,74,6,2,4,0
53,75,6,2,4,0
54,76,6,2,4,0
55,77,6,2,4,0
56,78,5,2,3,0
57,79,6,2,4,0
58,80,5,1,4,0
59,81,5,2,3,0
60,82,5,2,3,0
61,83,4,1,3,0
62,84,4,1,3,0
63,120,3,1,2,0
64,121,6,2,4,0
65,122,6,2,4,0
66,123,6,2,4,0
67,124,6,2,4,0
68,125,6,2,4,0
69,126,5,2,3,0
70,127,6,2,4,0
71,128,6,2,4,0
72,129,5,1,4,0
73,130,5,2,3,0
74,131,5,2,3,0
75,132,3,1,2,0
76,133,3,1,2,0
77,134,8,2,6,0
78,135,6,2,4,0
79,136,6,2,4,0
80,137,6,2,4,0
81,138,6,2,4,0
82,139,6,2,4,0
83,140,6,2,4,0
84,141,6,2,4,0
85,142,6,2,4,0
86,143,6,2,4,0
87,144,6,2,4,0
88,145,6,2,4,0
89,146,6,2,4,0
90,147,6,2,4,0
91,148,6,2,4,0
92,149,6,2,4,0
93,150,6,2,4,0
94,151,6,2,4,0
95,152,6,2,4,0
96,153,6,2,4,0
97,154,6,2,4,0
98,155,6,2,4,0
99,156,6,2,4,0
100,157,6,2,4,0
101,158,6,2,4,0
102,159,6,2,4,0
103,160,6,2,4,0
104,161,6,2,4,0
105,162,6,2,4,0
106,163,6,2,4,0
107,164,6,2,4,0
108,165,6,2,4,0
109,166,6,2,4,0
110,167,5,2,3,0
111,168,5,2,3,0
112,169,5,2,3,0
113,170,5,1,4,0
114,171,5,2,3,0
115,172,4,2,2,0
116,210,8,2,6,0
117,211,8,2,6,0
118,231,4,2,2,0
119,233,6,2,4,0
120,234,5,2,3,0
121,235,7,2,5,0
122,236,7,3,4,0
123,237,6,2,4,0
124,238,6,2,4,0
125,239,6,2,4,0
126,240,3,1,2,0
127,241,5,2,3,0
128,242,3,1,2,0
129,243,3,1,2,0
130,244,3,1,2,0
131,245,6,2,4,0
132,246,6,2,4,0
133,247,6,2,4,0
134,248,6,2,4,0
135,249,6,2,4,0
136,250,6,2,4,0
137,251,7,1,6,0
138,252,6,2,4,0
139,253,6,2,4,0
140,254,6,2,4,0
141,255,6,2,4,0
142,256,6,2,4,0
143,257,6,2,4,0
144,258,6,2,4,0
145,259,6,2,4,0
146,260,6,2,4,0
147,261,6,2,4,0
148,262,6,2,4,0
149,263,6,2,4,0
150,264,5,2,3,0
151,265,6,2,4,0
152,266,5,1,4,0
153,267,5,2,3,0
154,268,6,2,4,0
155,269,6,2,4,0
156,296,7,2,5,0
157,309,6,2,4,0
