tier	bin	lo	hi	count	pct
small	1-4	1	4	2208	29.7134
small	5-8	5	8	4269	57.4485
small	9-12	9	12	485	6.5267
small	13-16	13	16	176	2.3685
small	17-20	17	20	108	1.4534
small	21-24	21	24	60	0.8074
small	25-28	25	28	49	0.6594
small	29-32	29	32	26	0.3499
mid	33-40	33	40	20	0.2691
mid	41-48	41	48	13	0.1749
mid	49-56	49	56	8	0.1077
mid	57-64	57	64	6	0.0807
mid	65-72	65	72	2	0.0269
mid	73-80	73	80	1	0.0135
mid	81-96	81	96	0	0.0000
mid	97-112	97	112	0	0.0000
mid	113-128	113	128	0	0.0000
big	129-160	129	160	0	0.0000
big	161-256	161	256	0	0.0000
big	257-512	257	512	0	0.0000
big	513+	513	1000000000	0	0.0000
