level	bin	lo	hi	count
0	1-4	1	4	1750
0	5-8	5	8	2316
0	9-12	9	12	33
0	13-16	13	16	4
0	17-20	17	20	1
0	21-24	21	24	0
0	25-28	25	28	0
0	29-32	29	32	0
0	33-40	33	40	0
0	41-48	41	48	0
0	49-56	49	56	0
0	57-64	57	64	0
0	65-72	65	72	0
0	73-80	73	80	0
0	81-96	81	96	0
0	97-112	97	112	0
0	113-128	113	128	0
1	1-4	1	4	332
1	5-8	5	8	1086
1	9-12	9	12	75
1	13-16	13	16	15
1	17-20	17	20	5
1	21-24	21	24	0
1	25-28	25	28	0
1	29-32	29	32	0
1	33-40	33	40	0
1	41-48	41	48	0
1	49-56	49	56	0
1	57-64	57	64	0
1	65-72	65	72	0
1	73-80	73	80	0
1	81-96	81	96	0
1	97-112	97	112	0
1	113-128	113	128	0
2	1-4	1	4	94
2	5-8	5	8	484
2	9-12	9	12	100
2	13-16	13	16	23
2	17-20	17	20	5
2	21-24	21	24	1
2	25-28	25	28	0
2	29-32	29	32	0
2	33-40	33	40	1
2	41-48	41	48	0
2	49-56	49	56	0
2	57-64	57	64	0
2	65-72	65	72	0
2	73-80	73	80	0
2	81-96	81	96	0
2	97-112	97	112	0
2	113-128	113	128	0
3	1-4	1	4	20
3	5-8	5	8	234
3	9-12	9	12	94
3	13-16	13	16	31
3	17-20	17	20	19
3	21-24	21	24	1
3	25-28	25	28	2
3	29-32	29	32	1
3	33-40	33	40	0
3	41-48	41	48	1
3	49-56	49	56	0
3	57-64	57	64	0
3	65-72	65	72	0
3	73-80	73	80	0
3	81-96	81	96	0
3	97-112	97	112	0
3	113-128	113	128	0
4	1-4	1	4	10
4	5-8	5	8	93
4	9-12	9	12	86
4	13-16	13	16	29
4	17-20	17	20	16
4	21-24	21	24	5
4	25-28	25	28	1
4	29-32	29	32	0
4	33-40	33	40	0
4	41-48	41	48	0
4	49-56	49	56	1
4	57-64	57	64	0
4	65-72	65	72	0
4	73-80	73	80	0
4	81-96	81	96	0
4	97-112	97	112	0
4	113-128	113	128	0
5	1-4	1	4	1
5	5-8	5	8	34
5	9-12	9	12	49
5	13-16	13	16	30
5	17-20	17	20	16
5	21-24	21	24	7
5	25-28	25	28	8
5	29-32	29	32	2
5	33-40	33	40	0
5	41-48	41	48	0
5	49-56	49	56	1
5	57-64	57	64	0
5	65-72	65	72	0
5	73-80	73	80	0
5	81-96	81	96	0
5	97-112	97	112	0
5	113-128	113	128	0
