q,p,fsz,nc,uc,level,parent,asm_len,extend_elems
0,28182,3,1,2,0,28576,2,4
1,28183,3,1,2,0,28992,2,4
2,28184,3,1,2,0,28992,2,4
3,28185,3,1,2,0,28992,2,4
4,28186,10,2,8,0,28259,8,64
5,28187,8,2,6,0,28276,6,36
6,28188,8,2,6,0,28247,6,36
7,28189,6,2,4,0,28240,4,16
8,28190,6,2,4,0,28276,4,16
9,28191,6,2,4,0,28244,4,16
10,28192,6,2,4,0,28246,4,16
11,28193,6,2,4,0,28239,4,16
12,28194,4,2,2,0,28576,2,4
13,28195,4,2,2,0,28253,2,4
14,28196,4,2,2,0,28241,2,4
15,28197,4,2,2,0,28248,2,4
16,28198,4,2,2,0,28241,2,4
17,28199,4,2,2,0,28263,2,4
18,28200,4,2,2,0,28271,2,4
19,28201,4,2,2,0,28268,2,4
20,28202,4,2,2,0,28257,2,4
21,28203,4,2,2,0,28275,2,4
22,28204,4,2,2,0,28266,2,4
23,28205,4,2,2,0,28267,2,4
24,28206,4,2,2,0,28259,2,4
25,28207,4,2,2,0,28255,2,4
26,28208,4,2,2,0,28276,2,4
27,28209,4,2,2,0,28270,2,4
28,28210,4,2,2,0,28245,2,4
29,28211,4,2,2,0,28242,2,4
30,28212,4,2,2,0,28239,2,4
31,28213,3,1,2,0,28256,2,4
32,28214,3,1,2,0,28256,2,4
33,28215,3,1,2,0,28265,2,4
34,28216,3,1,2,0,28243,2,4
35,28217,3,1,2,0,28243,2,4
36,28218,8,2,6,0,28256,6,36
37,28219,8,2,6,0,28259,6,36
38,28220,8,2,6,0,28244,6,36
39,28221,8,2,6,0,28257,6,36
40,28222,8,2,6,0,28245,6,36
41,28223,6,2,4,0,28249,4,16
42,28224,6,2,4,0,28258,4,16
43,28225,6,2,4,0,28259,4,16
44,28226,6,2,4,0,28267,4,16
45,28227,6,2,4,0,28263,4,16
46,28228,6,2,4,0,28270,4,16
47,28229,6,2,4,0,28260,4,16
48,28230,6,2,4,0,28260,4,16
49,28231,6,2,4,0,28261,4,16
50,28232,6,2,4,0,28264,4,16
51,28233,6,2,4,0,28262,4,16
