q,p,fsz,nc,uc,level,parent,asm_len,extend_elems
0,0,4,2,2,0,1434,2,4
1,1,6,4,2,0,88,2,4
2,2,4,2,2,0,57,2,4
3,3,4,2,2,0,53,2,4
4,4,4,2,2,0,83,2,4
5,5,4,2,2,0,73,2,4
6,6,4,2,2,0,94,2,4
7,7,4,2,2,0,95,2,4
8,8,4,2,2,0,94,2,4
9,9,4,2,2,0,52,2,4
10,10,4,2,2,0,58,2,4
11,11,4,2,2,0,79,2,4
12,12,4,2,2,0,59,2,4
13,13,4,2,2,0,94,2,4
14,14,4,2,2,0,81,2,4
15,15,4,2,2,0,70,2,4
16,16,4,2,2,0,53,2,4
17,17,4,2,2,0,60,2,4
18,18,4,2,2,0,63,2,4
19,19,4,2,2,0,61,2,4
20,20,5,2,3,0,55,3,9
21,21,4,2,2,0,75,2,4
22,22,4,2,2,0,93,2,4
23,23,4,2,2,0,93,2,4
24,24,5,2,3,0,54,3,9
25,25,6,2,4,0,76,4,16
26,26,3,2,1,0,98,1,1
27,27,3,2,1,0,85,1,1
28,28,6,2,4,0,62,4,16
29,29,6,2,4,0,67,4,16
30,30,6,2,4,0,66,4,16
31,31,6,2,4,0,63,4,16
32,32,6,2,4,0,64,4,16
33,33,6,2,4,0,74,4,16
34,34,6,2,4,0,69,4,16
35,35,6,2,4,0,65,4,16
36,36,6,2,4,0,66,4,16
37,37,6,2,4,0,67,4,16
38,38,6,2,4,0,68,4,16
39,39,6,2,4,0,69,4,16
40,40,6,2,4,0,70,4,16
41,41,6,2,4,0,71,4,16
42,42,6,2,4,0,55,4,16
43,43,6,2,4,0,72,4,16
44,44,6,2,4,0,84,4,16
45,45,6,2,4,0,73,4,16
46,46,6,2,4,0,74,4,16
47,47,6,2,4,0,75,4,16
48,48,6,2,4,0,77,4,16
49,49,4,2,2,0,56,2,4
50,50,5,2,3,0,85,3,9
51,51,7,2,5,0,76,5,25
52,101,3,2,1,0,1433,1,1
53,102,3,2,1,0,415,1,1
54,104,6,2,4,0,163,4,16
55,105,4,2,2,0,173,2,4
56,106,5,2,3,0,154,3,9
57,107,4,2,2,0,185,2,4
58,108,4,2,2,0,166,2,4
59,109,5,2,3,0,155,3,9
60,110,4,2,2,0,176,2,4
61,111,4,2,2,0,167,2,4
62,112,5,2,3,0,156,3,9
63,113,4,2,2,0,193,2,4
64,114,5,2,3,0,164,3,9
65,115,5,2,3,0,157,3,9
66,116,7,2,5,0,193,5,25
67,117,4,2,2,0,161,2,4
68,118,5,2,3,0,158,3,9
69,119,5,2,3,0,159,3,9
70,120,4,2,2,0,168,2,4
71,121,4,2,2,0,180,2,4
72,122,4,2,2,0,193,2,4
73,123,4,2,2,0,160,2,4
74,124,4,2,2,0,174,2,4
75,125,4,2,2,0,189,2,4
76,126,4,2,2,0,193,2,4
77,127,4,2,2,0,199,2,4
78,128,4,2,2,0,177,2,4
79,129,4,2,2,0,193,2,4
80,130,4,2,2,0,161,2,4
81,131,4,2,2,0,182,2,4
82,132,4,2,2,0,188,2,4
83,133,4,2,2,0,162,2,4
84,134,4,2,2,0,189,2,4
85,135,4,2,2,0,169,2,4
86,136,4,2,2,0,175,2,4
87,137,3,1,2,0,194,2,4
88,138,3,2,1,0,184,1,1
89,139,3,2,1,0,184,1,1
90,140,6,2,4,0,163,4,16
91,141,6,2,4,0,165,4,16
92,142,6,2,4,0,172,4,16
93,143,6,2,4,0,185,4,16
94,144,6,2,4,0,173,4,16
95,145,6,2,4,0,170,4,16
96,146,4,2,2,0,171,2,4
97,147,6,2,4,0,172,4,16
98,148,6,2,4,0,164,4,16
99,149,4,2,2,0,188,2,4
100,150,5,2,3,0,186,3,9
101,151,4,2,2,0,165,2,4
102,152,4,1,3,0,173,3,9
103,153,3,1,2,0,207,2,4
104,200,7,2,5,0,204,5,25
105,201,6,2,4,0,207,4,16
106,202,5,2,3,0,205,3,9
107,203,5,2,3,0,207,3,9
108,208,3,2,1,0,414,1,1
109,209,6,2,4,0,260,4,16
110,210,6,2,4,0,261,4,16
111,211,4,2,2,0,265,2,4
112,212,4,2,2,0,262,2,4
113,213,4,2,2,0,273,2,4
114,214,4,2,2,0,271,2,4
115,215,5,2,3,0,263,3,9
116,216,5,2,3,0,269,3,9
117,217,5,2,3,0,264,3,9
118,218,5,2,3,0,265,3,9
