q,p,fsz,nc,uc,level,parent,asm_len,extend_elems
0,11062,8,4,4,0,11199,4,16
1,11063,6,2,4,0,11103,4,16
2,11064,4,2,2,0,11119,2,4
3,11065,4,2,2,0,11104,2,4
4,11066,4,2,2,0,11102,2,4
5,11067,4,2,2,0,11099,2,4
6,11068,4,2,2,0,11114,2,4
7,11069,4,2,2,0,11100,2,4
8,11070,4,2,2,0,11108,2,4
9,11071,4,2,2,0,11105,2,4
10,11072,4,2,2,0,11120,2,4
11,11073,4,2,2,0,11116,2,4
12,11074,4,2,2,0,11101,2,4
13,11075,4,2,2,0,11117,2,4
14,11076,4,2,2,0,11117,2,4
15,11077,4,2,2,0,11106,2,4
16,11078,4,2,2,0,11117,2,4
17,11079,4,2,2,0,11128,2,4
18,11080,4,2,2,0,11103,2,4
19,11081,4,2,2,0,11107,2,4
20,11082,4,2,2,0,11118,2,4
21,11083,4,2,2,0,11118,2,4
22,11084,3,1,2,0,11119,2,4
23,11085,3,1,2,0,11102,2,4
24,11086,3,1,2,0,11117,2,4
25,11087,3,1,2,0,11103,2,4
26,11088,10,2,8,0,11108,8,64
27,11089,8,2,6,0,11115,6,36
28,11090,8,2,6,0,11109,6,36
29,11091,7,2,5,0,11110,5,25
30,11092,6,2,4,0,11116,4,16
31,11093,6,2,4,0,11111,4,16
32,11094,6,2,4,0,11112,4,16
33,11095,6,2,4,0,11126,4,16
34,11096,6,2,4,0,11118,4,16
35,11097,6,2,4,0,11113,4,16
36,11098,4,2,2,0,11113,2,4
37,11129,8,2,6,0,11180,6,36
38,11130,6,2,4,0,11176,4,16
39,11131,4,2,2,0,11172,2,4
40,11132,4,2,2,0,11177,2,4
41,11133,4,2,2,0,11187,2,4
42,11134,4,2,2,0,11183,2,4
43,11135,4,2,2,0,11195,2,4
44,11136,4,2,2,0,11184,2,4
45,11137,4,2,2,0,11181,2,4
46,11138,4,2,2,0,11193,2,4
47,11139,4,2,2,0,11173,2,4
48,11140,4,2,2,0,11174,2,4
49,11141,4,2,2,0,11196,2,4
50,11142,4,2,2,0,11189,2,4
51,11143,4,2,2,0,11179,2,4
52,11144,4,2,2,0,11175,2,4
53,11145,4,2,2,0,11182,2,4
54,11146,4,2,2,0,11176,2,4
55,11147,3,1,2,0,11186,2,4
56,11148,3,1,2,0,11177,2,4
57,11149,3,1,2,0,11178,2,4
58,11150,3,1,2,0,11178,2,4
59,11151,3,1,2,0,11178,2,4
60,11152,3,1,2,0,11178,2,4
61,11153,3,1,2,0,11178,2,4
62,11154,3,1,2,0,11178,2,4
63,11155,3,1,2,0,11178,2,4
64,11156,3,1,2,0,11178,2,4
65,11157,3,1,2,0,11178,2,4
66,11158,3,1,2,0,11178,2,4
67,11159,3,1,2,0,11178,2,4
68,11160,3,1,2,0,11178,2,4
69,11161,3,1,2,0,11179,2,4
70,11162,8,2,6,0,11190,6,36
71,11163,8,2,6,0,11183,6,36
72,11164,8,2,6,0,11183,6,36
73,11165,8,2,6,0,11184,6,36
74,11166,8,2,6,0,11191,6,36
75,11167,8,2,6,0,11196,6,36
76,11168,6,2,4,0,11187,4,16
77,11169,6,2,4,0,11198,4,16
78,11170,6,2,4,0,11188,4,16
79,11171,4,2,2,0,11185,2,4
80,11200,3,1,2,0,11375,2,4
81,11201,6,2,4,0,11263,4,16
82,11202,4,2,2,0,11247,2,4
83,11203,4,2,2,0,11247,2,4
84,11204,4,2,2,0,11247,2,4
85,11205,4,2,2,0,11256,2,4
86,11206,4,2,2,0,11273,2,4
87,11207,4,2,2,0,11264,2,4
88,11208,4,2,2,0,11264,2,4
89,11209,4,2,2,0,11249,2,4
90,11210,4,2,2,0,11266,2,4
91,11211,4,2,2,0,11250,2,4
92,11212,4,2,2,0,11251,2,4
93,11213,4,2,2,0,11251,2,4
94,11214,4,2,2,0,11269,2,4
95,11215,4,2,2,0,11278,2,4
96,11216,4,2,2,0,11257,2,4
97,11217,4,2,2,0,11252,2,4
98,11218,4,2,2,0,11252,2,4
99,11219,4,2,2,0,11253,2,4
100,11220,4,2,2,0,11267,2,4
101,11221,4,2,2,0,11274,2,4
102,11222,4,2,2,0,11275,2,4
