EXP_260611 case=/home/claude/datasets/nr_linear_systems/case_ACTIVSg70k/J.mtx levels=44 total_ms=2.00641
level,factor_ms,pct
0,0.039176,1.953
1,0.027982,1.395
2,0.022391,1.116
3,0.045329,2.259
4,0.032864,1.638
5,0.035706,1.780
6,0.033608,1.675
7,0.029486,1.470
8,0.027910,1.391
9,0.025720,1.282
10,0.031928,1.591
11,0.031270,1.559
12,0.026574,1.324
13,0.042153,2.101
14,0.030354,1.513
15,0.063195,3.150
16,0.056418,2.812
17,0.064414,3.210
18,0.058469,2.914
19,0.063241,3.152
20,0.056978,2.840
21,0.061708,3.076
22,0.066571,3.318
23,0.059503,2.966
24,0.046651,2.325
25,0.201230,10.029
26,0.078470,3.911
27,0.075861,3.781
28,0.068323,3.405
29,0.060123,2.997
30,0.066124,3.296
31,0.059550,2.968
32,0.055912,2.787
33,0.051893,2.586
34,0.036410,1.815
35,0.029501,1.470
36,0.026043,1.298
37,0.023499,1.171
38,0.021603,1.077
39,0.018190,0.907
40,0.016478,0.821
41,0.013688,0.682
42,0.018056,0.900
43,0.005851,0.292
