EXP_260611 case=/home/claude/datasets/nr_linear_systems/case_ACTIVSg70k/J.mtx levels=44 total_ms=2.36512
level,factor_ms,pct
0,0.038781,1.640
1,0.028081,1.187
2,0.022473,0.950
3,0.027304,1.154
4,0.028354,1.199
5,0.031429,1.329
6,0.034437,1.456
7,0.029405,1.243
8,0.030786,1.302
9,0.035083,1.483
10,0.046191,1.953
11,0.037781,1.597
12,0.037637,1.591
13,0.048664,2.058
14,0.042962,1.816
15,0.068166,2.882
16,0.066328,2.804
17,0.065091,2.752
18,0.084942,3.591
19,0.077771,3.288
20,0.074362,3.144
21,0.084706,3.581
22,0.088802,3.755
23,0.079141,3.346
24,0.050609,2.140
25,0.133076,5.627
26,0.120145,5.080
27,0.110309,4.664
28,0.096977,4.100
29,0.080366,3.398
30,0.089272,3.775
31,0.077580,3.280
32,0.068958,2.916
33,0.061824,2.614
34,0.051753,2.188
35,0.043872,1.855
36,0.037150,1.571
37,0.031061,1.313
38,0.026194,1.108
39,0.021495,0.909
40,0.018056,0.763
41,0.014030,0.593
42,0.017609,0.745
43,0.006110,0.258
