EXP_260611 case=/datasets/power_system/nr_linear_systems/case8387pegase/J.mtx levels=29 total_ms=0.36893
level,factor_ms,pct
0,0.019989,5.418
1,0.018516,5.019
2,0.009129,2.474
3,0.015901,4.310
4,0.011054,2.996
5,0.017851,4.839
6,0.014142,3.833
7,0.015377,4.168
8,0.013879,3.762
9,0.012928,3.504
10,0.011611,3.147
11,0.011447,3.103
12,0.013705,3.715
13,0.012538,3.398
14,0.009836,2.666
15,0.012535,3.398
16,0.012090,3.277
17,0.011611,3.147
18,0.011648,3.157
19,0.011220,3.041
20,0.012602,3.416
21,0.011925,3.232
22,0.010235,2.774
23,0.019944,5.406
24,0.014287,3.873
25,0.006924,1.877
26,0.012239,3.317
27,0.008875,2.406
28,0.004891,1.326
