case_group,case,fronts,levels,fsz_min,fsz_p50,fsz_p90,fsz_p95,fsz_p99,fsz_max,fsz_avg,nc_max,uc_max,small_cnt,mid_cnt,big_cnt,small_pct,mid_pct,big_pct,sum_fsz2,sum_uc2,sum_trailing_work
1xxx,case1197,1166,11,4,4,6,6,10,16,4.57,8,12,1166,0,0,100.00,0.00,0.00,26192,8840,19216
2xxx,case_ACTIVSg2000,1767,24,1,6,16,26,55,83,9.05,8,75,1701,66,0,96.26,3.74,0.00,305222,214893,1114743
3xxx,case3012wp,2773,21,2,6,8,12,26,43,6.25,8,35,2759,14,0,99.50,0.50,0.00,149572,78667,283022
6xxx,case6468rte,5895,24,2,6,10,12,30,59,6.33,8,51,5847,48,0,99.19,0.81,0.00,370795,205600,869159
8xxx,case8387pegase,7408,28,2,6,10,14,30,74,6.56,8,66,7353,55,0,99.26,0.74,0.00,519635,305665,1283555
10K,case_ACTIVSg10k,9079,25,2,6,10,14,37,79,6.72,12,67,8947,132,0,98.55,1.45,0.00,740324,431636,2429378
13K,case13659pegase,12392,25,2,6,10,12,32,84,5.98,12,72,12277,115,0,99.07,0.93,0.00,795182,442137,2394161
25K,case_ACTIVSg25k,22717,36,2,6,10,14,46,135,6.92,12,123,22344,371,2,98.36,1.63,0.01,2483889,1597799,11654326
70K,case_ACTIVSg70k,63546,42,1,6,10,14,39,279,7.03,20,259,62736,748,62,98.73,1.18,0.10,7870248,4983620,58262272
usa,case_SyntheticUSA,74129,41,2,6,10,14,40,239,7.03,20,219,73171,901,57,98.71,1.22,0.08,8791781,5482204,59760073
