case_name,n_bus,B,solve_total_ms,factorize_ms,triangular_solve_ms,upload_ms,download_ms,ibus_ms,mismatch_ms,mnorm_ms,jacobian_ms,prepare_rhs_ms,voltage_update_ms,iterations,source
case_ACTIVSg25k,25000,1,6.8356,3.8136,2.2024,0.3806,0.0848,0.092,0.0424,0.0846,0.061,0.0,0.0566,5,custom_fp32_native_b1
case_ACTIVSg25k,25000,16,16.012,7.862,4.055,1.482,0.969,0.511,0.185,0.112,0.531,0.0,0.284,5,custom_fp32_batch_scale0
case_ACTIVSg25k,25000,64,50.175,25.199,10.344,5.101,3.824,1.841,0.622,0.236,1.974,0.0,1.016,5,custom_fp32_batch_scale0
case_ACTIVSg25k,25000,256,255.423,115.831,45.39,18.153,44.155,8.434,2.851,0.806,9.781,0.0,4.927,5,custom_fp32_batch_scale0
case_ACTIVSg25k,25000,1,6.8584,3.8046,2.2258,0.3834,0.0844,0.092,0.0416,0.0874,0.0626,0.0,0.0576,5,custom_tf32_native_b1
case_ACTIVSg25k,25000,16,22.659,11.594,6.228,1.526,0.935,0.704,0.261,0.16,0.797,0.0,0.428,7,custom_tf32_batch_scale0
case_ACTIVSg25k,25000,64,70.901,37.855,16.064,5.232,3.525,2.509,0.868,0.328,2.967,0.0,1.527,7,custom_tf32_batch_scale0
case_ACTIVSg25k,25000,256,220.128,94.35,36.409,17.826,44.499,7.133,2.385,0.691,7.819,0.0,3.949,5,custom_tf32_batch_scale0
case_ACTIVSg25k,25000,1,7.0516,3.926,2.2894,0.385,0.0788,0.0946,0.0432,0.0898,0.064,0.0,0.061,5,custom_fp16_native_b1
case_ACTIVSg25k,25000,16,16.236,7.772,4.126,1.616,1.07,0.511,0.185,0.117,0.533,0.0,0.286,5,custom_fp16_batch_scale0
case_ACTIVSg25k,25000,64,52.581,26.013,12.031,5.318,3.497,1.842,0.622,0.233,1.989,0.0,1.018,5,custom_fp16_batch_scale0
case_ACTIVSg25k,25000,256,266.033,123.745,45.364,19.098,45.647,8.434,2.859,0.828,9.836,0.0,4.932,6,custom_fp16_batch_scale0
