case_name,n_bus,ybus_nnz,B,init_ms,solve_ms,solve_ms_per_system,iterations,max_final_mismatch,source
case3012wp,3012,10144,1,154.349,1.44874,1.44874,4,5.51085e-11,custom_fp32_scale0_maxiter10
case3012wp,3012,10144,16,9.59474,2.24015,0.140009,4,6.3364e-11,custom_fp32_scale0_maxiter10
case3012wp,3012,10144,64,8.88076,5.41179,0.0845592,4,1.07646e-10,custom_fp32_scale0_maxiter10
case3012wp,3012,10144,256,9.07929,16.9428,0.0661826,4,9.12411e-11,custom_fp32_scale0_maxiter10
case3012wp,3012,10144,1,148.634,1.28468,1.28468,4,3.71068e-11,custom_tf32_scale0_maxiter10
case3012wp,3012,10144,16,9.43807,2.15968,0.13498,4,1.45487e-10,custom_tf32_scale0_maxiter10
case3012wp,3012,10144,64,8.70451,5.2781,0.0824702,4,6.93552e-11,custom_tf32_scale0_maxiter10
case3012wp,3012,10144,256,9.20226,17.0347,0.0665417,4,1.58022e-10,custom_tf32_scale0_maxiter10
case3012wp,3012,10144,1,153.557,1.49064,1.49064,4,2.24541e-11,custom_fp16_scale0_maxiter10
case3012wp,3012,10144,16,9.349,2.31868,0.144917,4,5.81972e-11,custom_fp16_scale0_maxiter10
case3012wp,3012,10144,64,8.6332,5.53717,0.0865183,4,1.16889e-10,custom_fp16_scale0_maxiter10
case3012wp,3012,10144,256,9.13955,16.9483,0.0662043,4,1.08192e-10,custom_fp16_scale0_maxiter10
case6468rte,6468,22598,1,165.803,1.95508,1.95508,4,1.28951e-11,custom_fp32_scale0_maxiter10
case6468rte,6468,22598,16,22.4023,3.71854,0.232409,4,1.70828e-11,custom_fp32_scale0_maxiter10
case6468rte,6468,22598,64,21.7945,10.0795,0.157493,4,1.94276e-11,custom_fp32_scale0_maxiter10
case6468rte,6468,22598,256,21.9961,37.4088,0.146128,4,2.87012e-11,custom_fp32_scale0_maxiter10
case6468rte,6468,22598,1,164.306,1.86327,1.86327,4,1.50742e-11,custom_tf32_scale0_maxiter10
case6468rte,6468,22598,16,21.1095,3.65165,0.228228,4,4.92012e-11,custom_tf32_scale0_maxiter10
case6468rte,6468,22598,64,20.6412,10.0684,0.157318,4,2.92472e-11,custom_tf32_scale0_maxiter10
case6468rte,6468,22598,256,21.0157,37.8409,0.147816,4,3.94536e-11,custom_tf32_scale0_maxiter10
case6468rte,6468,22598,1,166.476,1.86416,1.86416,4,8.54586e-12,custom_fp16_scale0_maxiter10
case6468rte,6468,22598,16,21.6908,3.63019,0.226887,4,2.56381e-11,custom_fp16_scale0_maxiter10
case6468rte,6468,22598,64,20.2461,10.8043,0.168817,4,1.69597e-11,custom_fp16_scale0_maxiter10
case6468rte,6468,22598,256,21.7144,37.0312,0.144653,4,2.28124e-11,custom_fp16_scale0_maxiter10
case8387pegase,8387,34377,1,170.521,2.38942,2.38942,4,8.48392e-10,custom_fp32_scale0_maxiter10
case8387pegase,8387,34377,16,28.7252,5.39085,0.336928,4,7.93948e-10,custom_fp32_scale0_maxiter10
case8387pegase,8387,34377,64,26.4597,15.1463,0.236661,4,1.02387e-09,custom_fp32_scale0_maxiter10
case8387pegase,8387,34377,256,28.5804,55.454,0.216617,4,1.27437e-09,custom_fp32_scale0_maxiter10
case8387pegase,8387,34377,1,171.102,2.47504,2.47504,4,6.92884e-10,custom_tf32_scale0_maxiter10
case8387pegase,8387,34377,16,29.2751,5.32576,0.33286,4,1.12734e-09,custom_tf32_scale0_maxiter10
case8387pegase,8387,34377,64,28.6097,15.6379,0.244342,4,1.03375e-09,custom_tf32_scale0_maxiter10
case8387pegase,8387,34377,256,29.1601,55.9345,0.218494,4,1.46014e-09,custom_tf32_scale0_maxiter10
