case_name,n_bus,B,solve_total_ms,factorize_ms,triangular_solve_ms,upload_ms,download_ms,ibus_ms,mismatch_ms,mnorm_ms,jacobian_ms,prepare_rhs_ms,voltage_update_ms,iterations,source
case3012wp,3012,1,1.8118,0.9902,0.5188,0.0736,0.0304,0.0438,0.0246,0.0582,0.029,0.0,0.0304,4,custom_fp32_native_b1
case3012wp,3012,16,2.401,0.953,0.802,0.209,0.123,0.086,0.04,0.065,0.057,0.0,0.049,4,custom_fp32_batch_scale0
case3012wp,3012,64,4.666,1.697,1.142,0.671,0.508,0.218,0.072,0.076,0.156,0.0,0.111,4,custom_fp32_batch_scale0
case3012wp,3012,256,14.052,4.835,3.014,2.332,1.818,0.75,0.264,0.124,0.519,0.0,0.383,4,custom_fp32_batch_scale0
case3012wp,3012,1,1.8356,1.0044,0.523,0.0754,0.031,0.0432,0.0256,0.0592,0.0298,0.0,0.0308,4,custom_tf32_native_b1
case3012wp,3012,16,2.197,0.82,0.737,0.208,0.119,0.086,0.04,0.065,0.057,0.0,0.051,4,custom_tf32_batch_scale0
case3012wp,3012,64,4.793,1.718,1.248,0.673,0.502,0.218,0.073,0.078,0.157,0.0,0.113,4,custom_tf32_batch_scale0
case3012wp,3012,256,14.476,4.844,3.159,2.54,1.884,0.748,0.259,0.126,0.517,0.0,0.383,4,custom_tf32_batch_scale0
case3012wp,3012,1,1.7364,0.923,0.5056,0.0736,0.0312,0.044,0.0246,0.0614,0.0296,0.0,0.0308,4,custom_fp16_native_b1
case3012wp,3012,16,2.086,0.743,0.702,0.209,0.12,0.085,0.041,0.065,0.057,0.0,0.049,4,custom_fp16_batch_scale0
case3012wp,3012,64,4.798,1.677,1.222,0.675,0.562,0.217,0.074,0.084,0.156,0.0,0.114,4,custom_fp16_batch_scale0
case3012wp,3012,256,13.927,4.618,2.956,2.463,1.842,0.745,0.259,0.127,0.518,0.0,0.384,4,custom_fp16_batch_scale0
case6468rte,6468,1,2.3962,1.3154,0.7092,0.1198,0.0382,0.0498,0.0258,0.0588,0.0324,0.0,0.0318,4,custom_fp32_native_b1
case6468rte,6468,16,3.764,1.366,1.117,0.455,0.342,0.163,0.052,0.071,0.116,0.0,0.067,4,custom_fp32_batch_scale0
case6468rte,6468,64,9.44,3.279,2.241,1.339,1.196,0.527,0.157,0.103,0.362,0.0,0.219,4,custom_fp32_batch_scale0
