case_name,n_bus,ybus_nnz,B,init_ms,solve_ms,solve_ms_per_system,iterations,max_final_mismatch,source
case3012wp,3012,10144,1,30.019475,1.672349,1.672349,4.0,3.187519901878635e-11,native_b1_median
case3012wp,3012,10144,16,200.427,6.50277,0.406423,4,4.52441e-11,batch_scale1_maxiter10_mean
case3012wp,3012,10144,64,30.578,21.7277,0.339495,4,6.5022e-11,batch_scale1_maxiter10_mean
case3012wp,3012,10144,256,30.3207,83.3647,0.325643,4,1.12059e-10,batch_scale1_maxiter10_mean
case6468rte,6468,22598,1,43.639073,2.077787,2.077787,4.0,1.7318702028035204e-11,native_b1_median
case6468rte,6468,22598,16,215.252,10.2812,0.642577,4,1.78814e-11,batch_scale1_maxiter10_mean
case6468rte,6468,22598,64,42.8015,36.1119,0.564248,4,1.71365e-11,batch_scale1_maxiter10_mean
case6468rte,6468,22598,256,44.3695,141.331,0.552076,4,2.1545e-11,batch_scale1_maxiter10_mean
case8387pegase,8387,34377,1,57.579137,2.99789,2.99789,4.0,8.117102302807044e-10,native_b1_median
case8387pegase,8387,34377,16,212.103,13.7581,0.859883,4,9.98351e-10,batch_scale1_maxiter10_mean
case8387pegase,8387,34377,64,55.1179,47.9134,0.748647,4,1.01399e-09,batch_scale1_maxiter10_mean
case8387pegase,8387,34377,256,53.087,194.378,0.759289,4,1.17786e-09,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,85220,1,107.061068,6.599535,6.599535,5.0,8.401323849038197e-09,native_b1_median
case_ACTIVSg25k,25000,85220,16,292.724,52.2257,3.2641,5,8.46674e-09,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,85220,64,105.195,215.921,3.37376,6,2.90591e-11,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,85220,256,105.989,913.425,3.56807,6,3.29667e-11,batch_scale1_maxiter10_mean
case_ACTIVSg70k,70000,236636,1,683.121,21.3233,21.3233,7,1.56049e-09,cudss_scale0_maxiter10
case_ACTIVSg70k,70000,236636,16,502.865,208.726,13.0454,7,6.41722e-09,cudss_scale0_maxiter10
case_ACTIVSg70k,70000,236636,64,495.35,833.53,13.0239,7,9.99395e-09,cudss_scale0_maxiter10
case_ACTIVSg70k,70000,236636,256,485.417,3310.4,12.9313,7,9.97148e-09,cudss_scale0_maxiter10
case_SyntheticUSA,82000,278406,1,320.041473,28.490254,28.490254,8.0,1.1576872946999957e-09,native_b1_median
case_SyntheticUSA,82000,278406,16,481.106,281.544,17.5965,8,4.68136e-11,batch_scale1_maxiter10_mean
case_SyntheticUSA,82000,278406,64,384.016,1116.64,17.4476,8,1.31465e-10,batch_scale1_maxiter10_mean
case_SyntheticUSA,82000,278406,256,308.906,4434.06,17.3205,8,1.27741e-10,batch_scale1_maxiter10_mean
