case_name,n_bus,B,solve_total_ms,factorize_ms,triangular_solve_ms,upload_ms,download_ms,ibus_ms,mismatch_ms,mnorm_ms,jacobian_ms,prepare_rhs_ms,voltage_update_ms,iterations,source
case3012wp,3012,1,1.676,0.8708,0.4834,0.076,0.0298,0.0426,0.0246,0.0562,0.0294,0.0152,0.031,4.0,native_b1_mean
case3012wp,3012,16,6.5678,3.845,1.7354,0.3496,0.303,0.0858,0.04,0.0686,0.0572,0.018,0.0494,4,batch_scale1_maxiter10_mean
case3012wp,3012,64,21.8598,13.7198,5.9958,0.7552000000000001,0.67,0.21680000000000002,0.07379999999999999,0.07759999999999999,0.1566,0.0308,0.1152,4,batch_scale1_maxiter10_mean
case3012wp,3012,256,83.256,53.0946,23.0932,2.5218000000000003,2.3011999999999997,0.7456,0.2596,0.12459999999999999,0.5167999999999999,0.07959999999999999,0.38339999999999996,4,batch_scale1_maxiter10_mean
case6468rte,6468,1,2.091,1.0864,0.548,0.182,0.039,0.0502,0.0256,0.0582,0.033,0.0186,0.032,4.0,native_b1_mean
case6468rte,6468,16,10.2856,6.1158,2.724,0.4874,0.448,0.16340000000000002,0.0518,0.071,0.1144,0.024,0.0696,4,batch_scale1_maxiter10_mean
case6468rte,6468,64,36.2776,22.299599999999998,9.8932,1.3908,1.211,0.5206000000000001,0.1566,0.09620000000000001,0.36060000000000003,0.0498,0.2196,4,batch_scale1_maxiter10_mean
case6468rte,6468,256,141.121,87.2166,38.4528,5.0926,5.1322,1.915,0.517,0.2324,1.3514000000000002,0.15259999999999999,0.786,4,batch_scale1_maxiter10_mean
case8387pegase,8387,1,3.0216,1.7358,0.7228,0.2424,0.047,0.077,0.0278,0.0618,0.038,0.0172,0.035,4.0,native_b1_mean
case8387pegase,8387,16,13.7606,8.4794,3.3664,0.6196,0.549,0.31880000000000003,0.0626,0.07440000000000001,0.16219999999999998,0.026199999999999998,0.0866,4,batch_scale1_maxiter10_mean
case8387pegase,8387,64,47.7776,30.3072,11.9664,1.7478,1.494,0.9937999999999999,0.18480000000000002,0.099,0.5528,0.054799999999999995,0.2782,4,batch_scale1_maxiter10_mean
case8387pegase,8387,256,194.855,117.517,46.2874,6.23,15.2672,3.686,0.6464,0.2286,2.12,0.18159999999999998,1.0212,4,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,1,6.6038,4.134,1.5976,0.4128,0.0854,0.0906,0.0412,0.0804,0.0616,0.0242,0.0558,5.0,native_b1_mean
case_ACTIVSg25k,25000,16,52.3478,35.173199999999994,12.505799999999999,1.5,1.3885999999999998,0.5316000000000001,0.1926,0.1158,0.5552,0.0634,0.3008,5,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,64,206.945,140.711,49.542,5.216600000000001,4.804399999999999,1.975,0.6716,0.2552,2.1772,0.21259999999999998,1.1228,5,batch_scale1_maxiter10_mean
case_ACTIVSg25k,25000,256,949.798,632.127,221.72,17.692400000000003,45.525400000000005,8.436,2.8564000000000003,0.8428,9.822799999999999,0.8802000000000001,4.9738,6,batch_scale1_maxiter10_mean
case_SyntheticUSA,82000,1,27.7774,18.520400000000002,6.537,1.4,0.365,0.2418,0.0904,0.1366,0.2586,0.0534,0.1396,8.0,native_b1_mean
case_SyntheticUSA,82000,16,282.698,196.029,67.3192,4.9464,5.6272,2.3354,0.8836,0.3418,3.2006,0.2846,1.489,8,batch_scale1_maxiter10_mean
case_SyntheticUSA,82000,64,1118.95,765.181,262.42,15.489799999999999,38.562400000000004,8.8224,3.443,0.9318,12.564,1.0216,5.7136000000000005,8,batch_scale1_maxiter10_mean
case_SyntheticUSA,82000,256,4433.93,3038.59,1042.8,58.852199999999996,149.4,34.7636,13.77,3.244,50.0496,3.954,22.5958,8,batch_scale1_maxiter10_mean
