case_group,case,bucket,count,pct
1xxx,case1197,<=8,1151,98.71
1xxx,case1197,9-16,15,1.29
1xxx,case1197,17-32,0,0.00
1xxx,case1197,33-48,0,0.00
1xxx,case1197,49-64,0,0.00
1xxx,case1197,65-80,0,0.00
1xxx,case1197,81-96,0,0.00
1xxx,case1197,97-128,0,0.00
1xxx,case1197,129-192,0,0.00
1xxx,case1197,193-256,0,0.00
1xxx,case1197,>256,0,0.00
2xxx,case_ACTIVSg2000,<=8,1339,75.78
2xxx,case_ACTIVSg2000,9-16,265,15.00
2xxx,case_ACTIVSg2000,17-32,97,5.49
2xxx,case_ACTIVSg2000,33-48,37,2.09
2xxx,case_ACTIVSg2000,49-64,20,1.13
2xxx,case_ACTIVSg2000,65-80,8,0.45
2xxx,case_ACTIVSg2000,81-96,1,0.06
2xxx,case_ACTIVSg2000,97-128,0,0.00
2xxx,case_ACTIVSg2000,129-192,0,0.00
2xxx,case_ACTIVSg2000,193-256,0,0.00
2xxx,case_ACTIVSg2000,>256,0,0.00
3xxx,case3012wp,<=8,2511,90.55
3xxx,case3012wp,9-16,187,6.74
3xxx,case3012wp,17-32,61,2.20
3xxx,case3012wp,33-48,14,0.50
3xxx,case3012wp,49-64,0,0.00
3xxx,case3012wp,65-80,0,0.00
3xxx,case3012wp,81-96,0,0.00
3xxx,case3012wp,97-128,0,0.00
3xxx,case3012wp,129-192,0,0.00
3xxx,case3012wp,193-256,0,0.00
3xxx,case3012wp,>256,0,0.00
6xxx,case6468rte,<=8,5284,89.64
6xxx,case6468rte,9-16,424,7.19
6xxx,case6468rte,17-32,139,2.36
6xxx,case6468rte,33-48,39,0.66
6xxx,case6468rte,49-64,9,0.15
6xxx,case6468rte,65-80,0,0.00
6xxx,case6468rte,81-96,0,0.00
6xxx,case6468rte,97-128,0,0.00
6xxx,case6468rte,129-192,0,0.00
6xxx,case6468rte,193-256,0,0.00
6xxx,case6468rte,>256,0,0.00
8xxx,case8387pegase,<=8,6487,87.57
8xxx,case8387pegase,9-16,631,8.52
8xxx,case8387pegase,17-32,235,3.17
8xxx,case8387pegase,33-48,36,0.49
8xxx,case8387pegase,49-64,10,0.13
8xxx,case8387pegase,65-80,9,0.12
8xxx,case8387pegase,81-96,0,0.00
8xxx,case8387pegase,97-128,0,0.00
8xxx,case8387pegase,129-192,0,0.00
8xxx,case8387pegase,193-256,0,0.00
8xxx,case8387pegase,>256,0,0.00
10K,case_ACTIVSg10k,<=8,7823,86.17
10K,case_ACTIVSg10k,9-16,896,9.87
10K,case_ACTIVSg10k,17-32,228,2.51
10K,case_ACTIVSg10k,33-48,92,1.01
10K,case_ACTIVSg10k,49-64,31,0.34
10K,case_ACTIVSg10k,65-80,9,0.10
10K,case_ACTIVSg10k,81-96,0,0.00
10K,case_ACTIVSg10k,97-128,0,0.00
10K,case_ACTIVSg10k,129-192,0,0.00
10K,case_ACTIVSg10k,193-256,0,0.00
10K,case_ACTIVSg10k,>256,0,0.00
13K,case13659pegase,<=8,11125,89.78
13K,case13659pegase,9-16,884,7.13
13K,case13659pegase,17-32,268,2.16
13K,case13659pegase,33-48,81,0.65
13K,case13659pegase,49-64,26,0.21
13K,case13659pegase,65-80,6,0.05
13K,case13659pegase,81-96,2,0.02
13K,case13659pegase,97-128,0,0.00
13K,case13659pegase,129-192,0,0.00
13K,case13659pegase,193-256,0,0.00
13K,case13659pegase,>256,0,0.00
25K,case_ACTIVSg25k,<=8,19629,86.41
25K,case_ACTIVSg25k,9-16,2205,9.71
25K,case_ACTIVSg25k,17-32,510,2.25
25K,case_ACTIVSg25k,33-48,173,0.76
25K,case_ACTIVSg25k,49-64,92,0.40
25K,case_ACTIVSg25k,65-80,52,0.23
25K,case_ACTIVSg25k,81-96,36,0.16
25K,case_ACTIVSg25k,97-128,18,0.08
25K,case_ACTIVSg25k,129-192,2,0.01
25K,case_ACTIVSg25k,193-256,0,0.00
25K,case_ACTIVSg25k,>256,0,0.00
70K,case_ACTIVSg70k,<=8,55182,86.84
70K,case_ACTIVSg70k,9-16,6261,9.85
70K,case_ACTIVSg70k,17-32,1293,2.03
70K,case_ACTIVSg70k,33-48,342,0.54
70K,case_ACTIVSg70k,49-64,167,0.26
70K,case_ACTIVSg70k,65-80,113,0.18
70K,case_ACTIVSg70k,81-96,68,0.11
70K,case_ACTIVSg70k,97-128,58,0.09
70K,case_ACTIVSg70k,129-192,50,0.08
70K,case_ACTIVSg70k,193-256,10,0.02
70K,case_ACTIVSg70k,>256,2,0.00
usa,case_SyntheticUSA,<=8,64123,86.50
usa,case_SyntheticUSA,9-16,7385,9.96
usa,case_SyntheticUSA,17-32,1663,2.24
usa,case_SyntheticUSA,33-48,416,0.56
usa,case_SyntheticUSA,49-64,213,0.29
usa,case_SyntheticUSA,65-80,123,0.17
usa,case_SyntheticUSA,81-96,76,0.10
usa,case_SyntheticUSA,97-128,73,0.10
usa,case_SyntheticUSA,129-192,48,0.06
usa,case_SyntheticUSA,193-256,9,0.01
usa,case_SyntheticUSA,>256,0,0.00
