case_group,case,bucket,count,pct
1xxx,case1197,<=4,893,76.59
1xxx,case1197,5-8,258,22.13
1xxx,case1197,9-16,15,1.29
1xxx,case1197,17-32,0,0.00
1xxx,case1197,33-64,0,0.00
1xxx,case1197,65-128,0,0.00
1xxx,case1197,129-256,0,0.00
1xxx,case1197,>256,0,0.00
2xxx,case_ACTIVSg2000,<=4,459,25.98
2xxx,case_ACTIVSg2000,5-8,880,49.80
2xxx,case_ACTIVSg2000,9-16,265,15.00
2xxx,case_ACTIVSg2000,17-32,97,5.49
2xxx,case_ACTIVSg2000,33-64,57,3.23
2xxx,case_ACTIVSg2000,65-128,9,0.51
2xxx,case_ACTIVSg2000,129-256,0,0.00
2xxx,case_ACTIVSg2000,>256,0,0.00
3xxx,case3012wp,<=4,737,26.58
3xxx,case3012wp,5-8,1774,63.97
3xxx,case3012wp,9-16,187,6.74
3xxx,case3012wp,17-32,61,2.20
3xxx,case3012wp,33-64,14,0.50
3xxx,case3012wp,65-128,0,0.00
3xxx,case3012wp,129-256,0,0.00
3xxx,case3012wp,>256,0,0.00
6xxx,case6468rte,<=4,2550,43.26
6xxx,case6468rte,5-8,2734,46.38
6xxx,case6468rte,9-16,424,7.19
6xxx,case6468rte,17-32,139,2.36
6xxx,case6468rte,33-64,48,0.81
6xxx,case6468rte,65-128,0,0.00
6xxx,case6468rte,129-256,0,0.00
6xxx,case6468rte,>256,0,0.00
8xxx,case8387pegase,<=4,2205,29.77
8xxx,case8387pegase,5-8,4282,57.80
8xxx,case8387pegase,9-16,631,8.52
8xxx,case8387pegase,17-32,235,3.17
8xxx,case8387pegase,33-64,46,0.62
8xxx,case8387pegase,65-128,9,0.12
8xxx,case8387pegase,129-256,0,0.00
8xxx,case8387pegase,>256,0,0.00
10K,case_ACTIVSg10k,<=4,3873,42.66
10K,case_ACTIVSg10k,5-8,3950,43.51
10K,case_ACTIVSg10k,9-16,896,9.87
10K,case_ACTIVSg10k,17-32,228,2.51
10K,case_ACTIVSg10k,33-64,123,1.35
10K,case_ACTIVSg10k,65-128,9,0.10
10K,case_ACTIVSg10k,129-256,0,0.00
10K,case_ACTIVSg10k,>256,0,0.00
13K,case13659pegase,<=4,6127,49.44
13K,case13659pegase,5-8,4998,40.33
13K,case13659pegase,9-16,884,7.13
13K,case13659pegase,17-32,268,2.16
13K,case13659pegase,33-64,107,0.86
13K,case13659pegase,65-128,8,0.06
13K,case13659pegase,129-256,0,0.00
13K,case13659pegase,>256,0,0.00
25K,case_ACTIVSg25k,<=4,10543,46.41
25K,case_ACTIVSg25k,5-8,9086,40.00
25K,case_ACTIVSg25k,9-16,2205,9.71
25K,case_ACTIVSg25k,17-32,510,2.25
25K,case_ACTIVSg25k,33-64,265,1.17
25K,case_ACTIVSg25k,65-128,106,0.47
25K,case_ACTIVSg25k,129-256,2,0.01
25K,case_ACTIVSg25k,>256,0,0.00
70K,case_ACTIVSg70k,<=4,24573,38.67
70K,case_ACTIVSg70k,5-8,30609,48.17
70K,case_ACTIVSg70k,9-16,6261,9.85
70K,case_ACTIVSg70k,17-32,1293,2.03
70K,case_ACTIVSg70k,33-64,509,0.80
70K,case_ACTIVSg70k,65-128,239,0.38
70K,case_ACTIVSg70k,129-256,60,0.09
70K,case_ACTIVSg70k,>256,2,0.00
usa,case_SyntheticUSA,<=4,28906,38.99
usa,case_SyntheticUSA,5-8,35217,47.51
usa,case_SyntheticUSA,9-16,7385,9.96
usa,case_SyntheticUSA,17-32,1663,2.24
usa,case_SyntheticUSA,33-64,629,0.85
usa,case_SyntheticUSA,65-128,272,0.37
usa,case_SyntheticUSA,129-256,57,0.08
usa,case_SyntheticUSA,>256,0,0.00
