q,p,fsz,nc,uc,level
0,0,4,2,2,0
1,1,4,2,2,0
2,2,4,2,2,0
3,3,4,2,2,0
4,4,4,2,2,0
5,5,4,2,2,0
6,6,4,2,2,0
7,7,4,2,2,0
8,8,4,2,2,0
9,9,4,2,2,0
10,10,4,2,2,0
11,11,4,2,2,0
12,12,4,2,2,0
13,13,4,2,2,0
14,14,4,2,2,0
15,15,4,2,2,0
16,16,4,2,2,0
17,17,4,2,2,0
18,18,4,2,2,0
19,19,4,2,2,0
20,20,4,2,2,0
21,21,4,2,2,0
22,22,4,2,2,0
23,23,4,2,2,0
24,24,4,2,2,0
25,25,4,2,2,0
26,26,6,2,4,0
27,27,6,2,4,0
28,28,6,2,4,0
29,29,6,2,4,0
30,30,6,2,4,0
31,31,6,2,4,0
32,32,8,2,6,0
33,33,4,2,2,0
34,34,4,2,2,0
35,35,6,2,4,0
36,63,4,2,2,0
37,64,4,2,2,0
38,65,4,2,2,0
39,66,4,2,2,0
40,67,4,2,2,0
41,68,4,2,2,0
42,69,4,2,2,0
43,70,4,2,2,0
44,71,4,2,2,0
45,72,4,2,2,0
46,73,4,2,2,0
47,74,4,2,2,0
48,75,4,2,2,0
49,76,4,2,2,0
50,77,4,2,2,0
51,78,4,2,2,0
52,79,4,2,2,0
53,80,4,2,2,0
54,81,4,2,2,0
55,82,4,2,2,0
56,83,4,2,2,0
57,84,4,2,2,0
58,85,4,2,2,0
59,86,4,2,2,0
60,87,4,2,2,0
61,88,4,2,2,0
62,89,4,2,2,0
63,90,4,2,2,0
64,91,4,2,2,0
65,92,4,2,2,0
66,93,4,2,2,0
67,94,4,2,2,0
68,95,4,2,2,0
69,96,4,2,2,0
70,97,4,2,2,0
71,98,4,2,2,0
72,99,4,2,2,0
73,100,6,2,4,0
74,101,6,2,4,0
75,102,6,2,4,0
76,103,6,2,4,0
77,104,6,2,4,0
78,105,6,2,4,0
79,106,4,2,2,0
80,133,4,2,2,0
81,134,4,2,2,0
82,135,4,2,2,0
83,136,4,2,2,0
84,137,4,2,2,0
85,138,4,2,2,0
86,139,4,2,2,0
87,168,6,2,4,0
88,169,4,2,2,0
89,199,4,2,2,0
90,200,4,2,2,0
91,201,4,2,2,0
92,202,4,2,2,0
93,203,4,2,2,0
94,204,4,2,2,0
95,205,4,2,2,0
96,206,4,2,2,0
97,207,4,2,2,0
98,208,4,2,2,0
99,209,4,2,2,0
100,210,4,2,2,0
101,211,4,2,2,0
102,212,4,2,2,0
103,213,4,2,2,0
104,214,4,2,2,0
105,215,4,2,2,0
106,216,4,2,2,0
107,217,4,2,2,0
108,218,4,2,2,0
109,219,4,2,2,0
110,220,4,2,2,0
111,221,4,2,2,0
112,222,4,2,2,0
113,223,4,2,2,0
114,224,4,2,2,0
115,225,4,2,2,0
116,226,4,2,2,0
117,227,4,2,2,0
118,228,4,2,2,0
119,229,4,2,2,0
120,230,4,2,2,0
121,231,4,2,2,0
122,232,4,2,2,0
123,233,4,2,2,0
124,234,4,2,2,0
125,235,6,2,4,0
126,236,6,2,4,0
127,237,6,2,4,0
128,238,6,2,4,0
129,239,6,2,4,0
130,240,6,2,4,0
131,241,6,2,4,0
132,242,4,2,2,0
133,243,4,2,2,0
134,427,8,2,6,0
135,428,4,2,2,0
136,429,4,2,2,0
137,430,4,2,2,0
138,431,4,2,2,0
139,432,4,2,2,0
140,433,4,2,2,0
141,434,4,2,2,0
142,435,4,2,2,0
143,436,4,2,2,0
144,437,4,2,2,0
145,438,4,2,2,0
146,439,4,2,2,0
147,440,4,2,2,0
148,441,4,2,2,0
149,442,4,2,2,0
150,443,4,2,2,0
151,444,4,2,2,0
152,445,4,2,2,0
153,446,4,2,2,0
154,447,4,2,2,0
155,448,4,2,2,0
156,449,4,2,2,0
157,450,4,2,2,0
158,451,4,2,2,0
159,452,4,2,2,0
160,453,4,2,2,0
161,454,4,2,2,0
162,455,4,2,2,0
163,456,4,2,2,0
164,457,4,2,2,0
165,458,4,2,2,0
166,459,4,2,2,0
167,460,4,2,2,0
168,461,4,2,2,0
169,462,4,2,2,0
170,463,4,2,2,0
171,464,4,2,2,0
172,465,4,2,2,0
173,466,4,2,2,0
174,467,4,2,2,0
175,468,4,2,2,0
176,469,4,2,2,0
177,470,4,2,2,0
