q,p,fsz,nc,uc,level
0,2835,4,2,2,0
1,2836,10,4,6,0
2,2837,8,2,6,0
3,2838,8,2,6,0
4,2839,6,2,4,0
5,2840,8,2,6,0
6,2841,8,2,6,0
7,2842,6,2,4,0
8,2843,4,2,2,0
9,2844,4,2,2,0
10,2845,4,2,2,0
11,2846,4,2,2,0
12,2847,4,2,2,0
13,2848,4,2,2,0
14,2849,4,2,2,0
15,2850,4,2,2,0
16,2851,4,2,2,0
17,2852,4,2,2,0
18,2853,4,2,2,0
19,2854,3,1,2,0
20,2855,3,1,2,0
21,2856,3,1,2,0
22,2857,10,2,8,0
23,2858,6,2,4,0
24,2859,6,2,4,0
25,2860,6,2,4,0
26,2861,6,2,4,0
27,2862,6,2,4,0
28,2863,6,2,4,0
29,2864,6,2,4,0
30,2865,6,2,4,0
31,2892,4,2,2,0
32,2893,8,2,6,0
33,2894,8,4,4,0
34,2895,6,2,4,0
35,2896,6,2,4,0
36,2897,6,2,4,0
37,2898,6,2,4,0
38,2899,6,2,4,0
39,2900,6,4,2,0
40,2901,6,2,4,0
41,2902,4,2,2,0
42,2903,4,2,2,0
43,2904,4,2,2,0
44,2905,4,2,2,0
45,2906,4,2,2,0
46,2907,4,2,2,0
47,2908,4,2,2,0
48,2909,4,2,2,0
49,2910,4,2,2,0
50,2911,4,2,2,0
51,2912,10,2,8,0
52,2913,6,2,4,0
53,2914,6,2,4,0
54,2915,6,2,4,0
55,2916,6,2,4,0
56,2917,6,2,4,0
57,2918,6,2,4,0
58,2919,6,2,4,0
59,2920,6,2,4,0
60,2921,6,2,4,0
61,2922,6,2,4,0
62,2923,5,1,4,0
63,2950,4,2,2,0
64,2951,4,2,2,0
65,2952,4,2,2,0
66,2953,6,2,4,0
67,2954,6,2,4,0
68,2955,6,2,4,0
69,2956,6,2,4,0
70,2957,6,2,4,0
71,2958,6,2,4,0
72,2959,6,2,4,0
73,2960,6,2,4,0
74,2961,4,2,2,0
75,2962,6,2,4,0
76,2963,4,2,2,0
77,2964,4,2,2,0
78,2965,4,2,2,0
79,2966,4,2,2,0
80,2967,4,2,2,0
81,2968,6,2,4,0
82,2969,4,2,2,0
83,2970,4,2,2,0
84,2971,4,2,2,0
85,2972,4,2,2,0
86,2973,4,2,2,0
87,2974,4,2,2,0
88,2975,4,2,2,0
89,2976,4,2,2,0
90,2977,4,2,2,0
91,2978,4,2,2,0
92,2979,4,2,2,0
93,2980,4,2,2,0
94,2981,4,2,2,0
95,2982,4,2,2,0
96,2983,4,2,2,0
97,2984,4,2,2,0
98,2985,3,1,2,0
99,2986,3,1,2,0
100,2987,4,2,2,0
101,2988,6,2,4,0
102,2989,6,2,4,0
103,2990,6,2,4,0
104,2991,6,2,4,0
105,2992,6,2,4,0
106,2993,6,2,4,0
107,2994,8,2,6,0
108,2995,6,2,4,0
