q,p,fsz,nc,uc,level
0,0,4,2,2,0
1,1,6,2,4,0
2,2,6,2,4,0
3,3,6,2,4,0
4,4,6,2,4,0
5,5,6,2,4,0
6,6,6,2,4,0
7,7,6,2,4,0
8,8,6,2,4,0
9,9,6,2,4,0
10,10,5,2,3,0
11,11,5,3,2,0
12,12,5,2,3,0
13,13,5,2,3,0
14,14,4,2,2,0
15,15,5,2,3,0
16,16,5,1,4,0
17,17,5,2,3,0
18,18,5,2,3,0
19,19,3,1,2,0
20,20,3,1,2,0
21,21,6,2,4,0
22,22,8,2,6,0
23,23,6,2,4,0
24,24,6,2,4,0
25,25,6,2,4,0
26,26,6,2,4,0
27,27,6,2,4,0
28,28,6,2,4,0
29,29,6,2,4,0
30,30,6,2,4,0
31,31,6,2,4,0
32,32,6,2,4,0
33,33,6,2,4,0
34,34,6,2,4,0
35,35,6,2,4,0
36,36,6,2,4,0
37,37,6,2,4,0
38,38,6,2,4,0
39,39,6,2,4,0
40,40,6,2,4,0
41,41,6,2,4,0
42,42,6,2,4,0
43,43,5,1,4,0
44,44,7,1,6,0
45,45,6,2,4,0
46,46,5,1,4,0
47,47,6,2,4,0
48,48,6,2,4,0
49,49,5,1,4,0
50,50,5,2,3,0
51,51,6,2,4,0
52,52,5,1,4,0
53,53,5,1,4,0
54,106,5,2,3,0
55,107,7,2,5,0
56,108,6,2,4,0
57,109,7,2,5,0
58,110,6,2,4,0
59,111,7,4,3,0
60,112,5,2,3,0
61,113,4,2,2,0
62,114,5,2,3,0
63,115,5,2,3,0
64,116,5,2,3,0
65,117,5,1,4,0
66,118,5,1,4,0
67,119,5,2,3,0
68,120,3,1,2,0
69,121,8,2,6,0
70,122,6,2,4,0
71,123,6,2,4,0
72,124,6,2,4,0
73,125,6,2,4,0
74,126,8,2,6,0
75,127,6,2,4,0
76,128,6,2,4,0
77,129,6,2,4,0
78,130,6,2,4,0
79,131,6,2,4,0
80,132,6,2,4,0
81,133,6,2,4,0
82,134,7,2,5,0
83,135,6,2,4,0
84,136,6,2,4,0
85,137,6,2,4,0
86,138,6,2,4,0
87,139,5,2,3,0
88,140,6,2,4,0
89,141,5,1,4,0
90,142,5,2,3,0
91,143,5,1,4,0
92,144,5,2,3,0
93,145,5,2,3,0
94,146,5,2,3,0
95,182,6,2,4,0
96,183,6,2,4,0
97,184,6,2,4,0
98,185,5,4,1,0
99,186,6,4,2,0
100,187,5,2,3,0
101,188,5,2,3,0
102,189,5,2,3,0
103,190,10,2,8,0
104,191,6,2,4,0
105,192,8,2,6,0
106,193,6,2,4,0
107,194,6,2,4,0
108,195,6,2,4,0
109,196,6,2,4,0
110,197,6,2,4,0
111,198,8,2,6,0
112,199,8,2,6,0
113,200,6,2,4,0
114,201,6,2,4,0
115,202,6,2,4,0
116,203,7,2,5,0
117,204,6,2,4,0
118,205,6,2,4,0
119,206,5,1,4,0
120,207,5,2,3,0
121,208,6,2,4,0
122,209,5,2,3,0
123,210,6,2,4,0
124,211,5,2,3,0
