q,p,fsz,nc,uc,level
0,0,4,2,2,0
1,1,4,2,2,0
2,2,4,2,2,0
3,3,6,2,4,0
4,4,4,2,2,0
5,5,4,2,2,0
6,6,4,2,2,0
7,7,4,2,2,0
8,8,4,2,2,0
9,9,4,2,2,0
10,10,4,2,2,0
11,11,4,2,2,0
12,12,4,2,2,0
13,13,4,2,2,0
14,14,4,2,2,0
15,15,4,2,2,0
16,16,4,2,2,0
17,17,4,2,2,0
18,18,3,1,2,0
19,19,3,1,2,0
20,20,3,1,2,0
21,21,3,1,2,0
22,22,3,2,1,0
23,23,3,1,2,0
24,24,3,1,2,0
25,25,3,1,2,0
26,26,3,1,2,0
27,27,3,1,2,0
28,28,3,1,2,0
29,29,11,2,9,0
30,30,8,2,6,0
31,31,8,2,6,0
32,32,8,2,6,0
33,33,7,2,5,0
34,34,6,2,4,0
35,35,6,2,4,0
36,36,6,2,4,0
37,37,6,2,4,0
38,38,6,2,4,0
39,39,6,2,4,0
40,40,6,2,4,0
41,41,6,2,4,0
42,42,6,2,4,0
43,43,6,2,4,0
44,44,6,2,4,0
45,45,6,2,4,0
46,46,6,2,4,0
47,47,6,2,4,0
48,48,5,1,4,0
49,49,4,2,2,0
50,50,5,2,3,0
51,51,4,2,2,0
52,88,6,2,4,0
53,102,5,2,3,0
54,103,4,2,2,0
55,109,6,4,2,0
56,110,6,2,4,0
57,111,6,2,4,0
58,112,6,2,4,0
59,113,6,2,4,0
60,114,4,2,2,0
61,115,4,2,2,0
62,116,4,2,2,0
63,117,4,2,2,0
64,118,4,2,2,0
65,119,4,2,2,0
66,120,4,2,2,0
67,121,4,2,2,0
68,122,4,2,2,0
69,123,4,2,2,0
70,124,4,2,2,0
71,125,4,2,2,0
72,126,4,2,2,0
73,127,4,2,2,0
74,128,4,2,2,0
75,129,4,1,3,0
76,130,3,1,2,0
77,131,3,1,2,0
78,132,3,1,2,0
79,133,3,1,2,0
80,134,3,1,2,0
81,135,3,1,2,0
82,136,3,1,2,0
83,137,3,1,2,0
84,138,3,1,2,0
85,139,3,1,2,0
86,140,3,1,2,0
87,141,8,2,6,0
88,142,7,2,5,0
89,143,6,2,4,0
90,144,6,2,4,0
91,145,6,2,4,0
92,146,6,2,4,0
93,147,6,2,4,0
94,148,6,2,4,0
95,149,4,2,2,0
96,150,6,1,5,0
97,151,4,2,2,0
98,152,5,1,4,0
99,153,3,1,2,0
100,195,4,2,2,0
101,196,8,4,4,0
102,197,6,2,4,0
103,198,6,2,4,0
104,199,6,2,4,0
105,200,6,2,4,0
106,201,4,2,2,0
107,202,4,2,2,0
108,203,4,2,2,0
109,204,4,2,2,0
110,205,4,2,2,0
111,206,4,2,2,0
112,207,4,2,2,0
113,208,4,2,2,0
114,209,4,2,2,0
115,210,4,2,2,0
116,211,4,2,2,0
117,212,4,2,2,0
118,213,4,2,2,0
119,214,4,2,2,0
120,215,3,1,2,0
121,216,3,1,2,0
122,217,3,1,2,0
123,218,3,1,2,0
124,219,3,1,2,0
125,220,3,1,2,0
126,221,3,1,2,0
127,222,8,2,6,0
128,223,6,2,4,0
129,224,6,2,4,0
130,225,6,2,4,0
131,226,6,2,4,0
132,227,4,2,2,0
133,228,4,2,2,0
134,229,4,2,2,0
135,230,4,2,2,0
136,257,6,2,4,0
137,258,6,2,4,0
138,263,4,2,2,0
139,264,3,1,2,0
140,265,6,2,4,0
141,266,8,2,6,0
142,267,6,2,4,0
143,268,6,2,4,0
144,269,6,2,4,0
145,270,6,2,4,0
146,271,4,2,2,0
147,272,4,2,2,0
148,273,4,2,2,0
149,274,4,2,2,0
150,275,4,2,2,0
151,276,4,2,2,0
152,277,4,2,2,0
153,278,4,2,2,0
154,279,4,2,2,0
155,280,4,2,2,0
156,281,3,1,2,0
157,282,3,1,2,0
158,283,3,1,2,0
159,284,3,1,2,0
160,285,3,1,2,0
161,286,6,2,4,0
162,287,6,2,4,0
163,288,6,2,4,0
164,289,5,3,2,0
165,290,4,2,2,0
166,291,4,2,2,0
167,292,4,2,2,0
168,313,3,1,2,0
169,314,4,2,2,0
170,315,6,2,4,0
171,316,6,2,4,0
172,317,4,2,2,0
173,318,4,2,2,0
174,319,6,2,4,0
175,320,4,2,2,0
176,321,4,2,2,0
177,322,4,2,2,0
