q,p,fsz,nc,uc,level
0,876,4,2,2,0
1,877,8,2,6,0
2,878,8,2,6,0
3,879,7,2,5,0
4,880,6,2,4,0
5,881,6,2,4,0
6,882,6,2,4,0
7,883,6,2,4,0
8,884,6,2,4,0
9,885,6,2,4,0
10,886,6,2,4,0
11,887,6,2,4,0
12,888,6,2,4,0
13,889,4,2,2,0
14,890,4,2,2,0
15,891,4,2,2,0
16,892,4,2,2,0
17,893,3,1,2,0
18,894,3,1,2,0
19,895,3,1,2,0
20,896,3,1,2,0
21,897,3,1,2,0
22,898,3,1,2,0
23,899,3,1,2,0
24,900,3,1,2,0
25,901,3,1,2,0
26,902,8,2,6,0
27,903,8,2,6,0
28,904,8,2,6,0
29,905,8,2,6,0
30,906,8,2,6,0
31,907,8,2,6,0
32,908,6,2,4,0
33,909,6,2,4,0
34,910,6,2,4,0
35,911,6,2,4,0
36,912,6,2,4,0
37,913,6,2,4,0
38,914,6,2,4,0
39,915,6,2,4,0
40,916,6,2,4,0
41,917,7,2,5,0
42,918,6,2,4,0
43,919,6,2,4,0
44,920,7,2,5,0
45,921,6,2,4,0
46,922,6,2,4,0
47,923,6,2,4,0
48,963,3,1,2,0
49,964,10,2,8,0
50,965,10,2,8,0
51,966,9,2,7,0
52,967,8,2,6,0
53,968,6,2,4,0
54,969,6,2,4,0
55,970,6,2,4,0
56,971,6,2,4,0
57,972,3,1,2,0
58,973,8,2,6,0
59,974,8,2,6,0
60,975,8,2,6,0
61,976,8,2,6,0
62,977,8,2,6,0
63,978,6,2,4,0
64,979,6,2,4,0
65,980,6,2,4,0
66,981,6,2,4,0
67,998,10,2,8,0
68,999,9,2,7,0
69,1000,8,2,6,0
70,1012,3,1,2,0
71,1013,12,2,10,0
72,1014,10,2,8,0
73,1015,8,2,6,0
74,1016,8,2,6,0
75,1017,6,2,4,0
76,1018,6,2,4,0
77,1019,6,2,4,0
78,1020,6,2,4,0
79,1021,4,2,2,0
80,1022,4,2,2,0
81,1023,4,2,2,0
82,1024,12,2,10,0
83,1025,10,2,8,0
84,1026,10,2,8,0
85,1027,8,2,6,0
86,1028,8,2,6,0
87,1029,8,2,6,0
88,1030,8,2,6,0
89,1031,8,2,6,0
90,1032,8,2,6,0
91,1033,8,2,6,0
92,1034,6,2,4,0
93,1035,6,2,4,0
94,1050,8,2,6,0
95,1051,6,2,4,0
96,1068,6,2,4,0
97,1069,12,2,10,0
98,1070,8,2,6,0
99,1071,6,2,4,0
100,1072,6,2,4,0
101,1073,6,2,4,0
102,1074,6,2,4,0
103,1075,6,2,4,0
104,1076,6,2,4,0
105,1077,4,2,2,0
106,1078,4,2,2,0
107,1079,3,1,2,0
108,1080,3,1,2,0
109,1081,3,1,2,0
110,1082,3,1,2,0
111,1083,3,1,2,0
112,1084,3,1,2,0
113,1085,3,1,2,0
114,1086,3,1,2,0
115,1087,3,1,2,0
116,1088,3,1,2,0
117,1089,3,1,2,0
118,1090,3,1,2,0
119,1091,3,1,2,0
120,1092,3,1,2,0
121,1093,3,1,2,0
122,1094,3,1,2,0
123,1095,3,1,2,0
124,1096,3,1,2,0
125,1097,3,1,2,0
126,1098,3,1,2,0
127,1099,3,1,2,0
128,1100,3,1,2,0
129,1101,3,1,2,0
130,1102,3,1,2,0
131,1103,3,1,2,0
132,1104,3,1,2,0
133,1105,3,1,2,0
134,1106,8,2,6,0
