q,p,fsz,nc,uc,level
0,39225,4,2,2,0
1,39226,3,1,2,0
2,39227,3,1,2,0
3,39228,6,2,4,0
4,39229,6,2,4,0
5,39230,6,2,4,0
6,39231,6,2,4,0
7,39232,6,2,4,0
8,39233,6,2,4,0
9,39234,4,2,2,0
10,39235,4,2,2,0
11,39236,4,2,2,0
12,39237,4,2,2,0
13,39238,4,2,2,0
14,39239,4,2,2,0
15,39240,4,2,2,0
16,39241,4,2,2,0
17,39242,4,2,2,0
18,39243,4,2,2,0
19,39244,4,2,2,0
20,39245,4,2,2,0
21,39246,4,2,2,0
22,39247,4,2,2,0
23,39248,4,2,2,0
24,39249,4,2,2,0
25,39250,4,2,2,0
26,39251,4,2,2,0
27,39252,4,2,2,0
28,39253,4,2,2,0
29,39254,4,2,2,0
30,39255,4,2,2,0
31,39256,4,2,2,0
32,39257,3,1,2,0
33,39258,3,1,2,0
34,39259,3,1,2,0
35,39260,8,2,6,0
36,39261,8,2,6,0
37,39262,8,2,6,0
38,39263,8,2,6,0
39,39264,6,2,4,0
40,39265,6,2,4,0
41,39266,6,2,4,0
42,39267,6,2,4,0
43,39268,6,2,4,0
44,39269,6,2,4,0
45,39270,6,2,4,0
46,39271,6,2,4,0
47,39272,6,2,4,0
48,39273,6,2,4,0
49,39274,6,2,4,0
50,39275,6,2,4,0
51,39276,6,2,4,0
52,39277,4,2,2,0
53,39314,6,2,4,0
54,39322,4,2,2,0
55,39323,10,2,8,0
56,39324,6,2,4,0
57,39325,6,2,4,0
58,39326,6,2,4,0
59,39327,4,2,2,0
60,39328,4,2,2,0
61,39329,4,2,2,0
62,39330,4,2,2,0
63,39331,4,2,2,0
64,39332,4,2,2,0
65,39333,4,2,2,0
66,39334,4,2,2,0
67,39335,4,2,2,0
68,39336,4,2,2,0
69,39337,4,2,2,0
70,39338,4,2,2,0
71,39339,4,2,2,0
72,39340,4,2,2,0
73,39341,4,2,2,0
74,39342,4,2,2,0
75,39343,4,2,2,0
76,39344,4,2,2,0
77,39345,4,2,2,0
78,39346,3,1,2,0
79,39347,3,1,2,0
80,39348,3,1,2,0
81,39349,3,1,2,0
82,39350,3,1,2,0
83,39351,3,1,2,0
84,39352,3,1,2,0
85,39353,3,1,2,0
86,39354,3,1,2,0
87,39355,3,1,2,0
88,39356,3,1,2,0
89,39357,3,2,1,0
90,39358,8,2,6,0
91,39359,6,2,4,0
92,39360,6,2,4,0
93,39361,6,2,4,0
94,39362,6,2,4,0
95,39363,6,2,4,0
96,39364,6,2,4,0
97,39365,6,2,4,0
98,39366,6,2,4,0
99,39367,6,2,4,0
100,39368,6,2,4,0
101,39369,6,2,4,0
102,39370,6,2,4,0
103,39371,6,2,4,0
104,39372,4,2,2,0
105,39373,4,2,2,0
106,39374,4,2,2,0
107,39375,4,2,2,0
108,39417,4,2,2,0
109,39418,4,2,2,0
110,39419,6,2,4,0
111,39420,6,2,4,0
112,39421,4,2,2,0
113,39422,4,2,2,0
114,39423,4,2,2,0
115,39424,4,2,2,0
116,39425,4,2,2,0
117,39426,4,2,2,0
118,39427,4,2,2,0
119,39428,4,2,2,0
120,39429,4,2,2,0
121,39430,4,2,2,0
122,39431,4,2,2,0
123,39432,4,2,2,0
124,39433,3,1,2,0
125,39434,3,1,2,0
126,39435,3,1,2,0
127,39436,3,1,2,0
128,39437,3,1,2,0
129,39438,3,1,2,0
130,39439,3,1,2,0
131,39440,3,1,2,0
132,39441,3,1,2,0
133,39442,3,2,1,0
134,39443,3,1,2,0
135,39444,3,1,2,0
136,39445,3,1,2,0
137,39446,3,1,2,0
138,39447,8,2,6,0
139,39448,8,2,6,0
140,39449,6,2,4,0
141,39450,6,2,4,0
142,39451,6,2,4,0
