case_group,case,level,bucket,count,pct
1xxx,case1197,0,<=8,716,100.00
1xxx,case1197,1,<=8,182,97.85
1xxx,case1197,1,9-16,4,2.15
1xxx,case1197,2,<=8,126,98.44
1xxx,case1197,2,9-16,2,1.56
1xxx,case1197,3,<=8,67,98.53
1xxx,case1197,3,9-16,1,1.47
1xxx,case1197,4,<=8,40,97.56
1xxx,case1197,4,9-16,1,2.44
1xxx,case1197,5,<=8,10,83.33
1xxx,case1197,5,9-16,2,16.67
1xxx,case1197,6,<=8,4,66.67
1xxx,case1197,6,9-16,2,33.33
1xxx,case1197,7,<=8,2,50.00
1xxx,case1197,7,9-16,2,50.00
1xxx,case1197,8,<=8,1,50.00
1xxx,case1197,8,9-16,1,50.00
1xxx,case1197,9,<=8,2,100.00
1xxx,case1197,10,<=8,1,100.00
2xxx,case_ACTIVSg2000,0,<=8,983,97.13
2xxx,case_ACTIVSg2000,0,9-16,29,2.87
2xxx,case_ACTIVSg2000,1,<=8,258,81.13
2xxx,case_ACTIVSg2000,1,9-16,59,18.55
2xxx,case_ACTIVSg2000,1,17-32,1,0.31
2xxx,case_ACTIVSg2000,2,<=8,79,46.20
2xxx,case_ACTIVSg2000,2,9-16,84,49.12
2xxx,case_ACTIVSg2000,2,17-32,8,4.68
2xxx,case_ACTIVSg2000,3,<=8,15,16.48
2xxx,case_ACTIVSg2000,3,9-16,52,57.14
2xxx,case_ACTIVSg2000,3,17-32,24,26.37
2xxx,case_ACTIVSg2000,4,<=8,2,3.85
2xxx,case_ACTIVSg2000,4,9-16,26,50.00
2xxx,case_ACTIVSg2000,4,17-32,22,42.31
2xxx,case_ACTIVSg2000,4,33-48,2,3.85
2xxx,case_ACTIVSg2000,5,<=8,1,2.86
2xxx,case_ACTIVSg2000,5,9-16,10,28.57
2xxx,case_ACTIVSg2000,5,17-32,15,42.86
2xxx,case_ACTIVSg2000,5,33-48,9,25.71
2xxx,case_ACTIVSg2000,6,9-16,3,13.04
2xxx,case_ACTIVSg2000,6,17-32,10,43.48
2xxx,case_ACTIVSg2000,6,33-48,5,21.74
2xxx,case_ACTIVSg2000,6,49-64,5,21.74
2xxx,case_ACTIVSg2000,7,9-16,1,7.69
2xxx,case_ACTIVSg2000,7,17-32,6,46.15
2xxx,case_ACTIVSg2000,7,33-48,2,15.38
2xxx,case_ACTIVSg2000,7,49-64,3,23.08
2xxx,case_ACTIVSg2000,7,65-80,1,7.69
2xxx,case_ACTIVSg2000,8,17-32,2,22.22
2xxx,case_ACTIVSg2000,8,33-48,3,33.33
2xxx,case_ACTIVSg2000,8,49-64,2,22.22
2xxx,case_ACTIVSg2000,8,65-80,2,22.22
2xxx,case_ACTIVSg2000,9,17-32,2,28.57
2xxx,case_ACTIVSg2000,9,33-48,3,42.86
2xxx,case_ACTIVSg2000,9,65-80,1,14.29
2xxx,case_ACTIVSg2000,9,81-96,1,14.29
2xxx,case_ACTIVSg2000,10,17-32,2,33.33
2xxx,case_ACTIVSg2000,10,33-48,1,16.67
2xxx,case_ACTIVSg2000,10,49-64,1,16.67
2xxx,case_ACTIVSg2000,10,65-80,2,33.33
2xxx,case_ACTIVSg2000,11,33-48,2,40.00
