case_group,case,level,fronts,fsz_min,fsz_p50,fsz_p90,fsz_p99,fsz_max,fsz_avg,nc_max,uc_max,small_cnt,mid_cnt,big_cnt,dominant_bucket,sum_fsz2,sum_trailing_work
1xxx,case1197,0,716,4,4,6,8,8,4.30,2,6,716,0,0,<=8,13700,8472
1xxx,case1197,1,186,4,4,6,10,12,4.96,2,10,186,0,0,<=8,4900,3912
1xxx,case1197,2,128,4,4,6,10,10,4.97,4,8,128,0,0,<=8,3336,2576
1xxx,case1197,3,68,4,4,6,6,10,4.38,2,8,68,0,0,<=8,1372,904
1xxx,case1197,4,41,4,4,6,12,12,4.49,4,10,41,0,0,<=8,912,640
1xxx,case1197,5,12,4,6,10,14,14,6.50,6,8,12,0,0,<=8,604,728
1xxx,case1197,6,6,4,8,12,16,16,8.67,8,12,6,0,0,<=8,560,816
1xxx,case1197,7,4,8,10,16,16,16,10.50,6,10,4,0,0,9-16,484,832
1xxx,case1197,8,2,6,6,12,12,12,9.00,6,6,2,0,0,9-16,180,248
1xxx,case1197,9,2,8,8,8,8,8,8.00,6,4,2,0,0,<=8,128,88
1xxx,case1197,10,1,4,4,4,4,4,4.00,4,0,1,0,0,<=8,16,0
2xxx,case_ACTIVSg2000,0,1012,3,6,8,10,12,5.12,4,10,1012,0,0,<=8,30438,28209
2xxx,case_ACTIVSg2000,1,318,4,8,10,16,18,7.72,2,16,318,0,0,<=8,20517,23938
2xxx,case_ACTIVSg2000,2,171,5,10,14,20,22,9.96,4,20,171,0,0,9-16,18757,25200
2xxx,case_ACTIVSg2000,3,91,6,13,21,26,26,13.95,4,24,91,0,0,9-16,19963,31060
2xxx,case_ACTIVSg2000,4,52,8,16,31,36,41,18.73,6,39,50,2,0,9-16,21178,37687
2xxx,case_ACTIVSg2000,5,35,8,23,46,48,48,24.97,8,46,26,9,0,17-32,26836,81918
2xxx,case_ACTIVSg2000,6,23,12,30,57,62,62,32.35,8,54,13,10,0,17-32,29430,133525
2xxx,case_ACTIVSg2000,7,13,15,32,59,68,68,38.38,8,60,7,6,0,17-32,21925,115892
2xxx,case_ACTIVSg2000,8,9,24,46,65,69,69,47.78,8,61,2,7,0,33-48,22596,112912
2xxx,case_ACTIVSg2000,9,7,26,36,67,83,83,45.57,8,75,2,5,0,33-48,17227,97490
2xxx,case_ACTIVSg2000,10,6,20,34,71,75,75,46.33,8,67,2,4,0,65-80,15714,93224
2xxx,case_ACTIVSg2000,11,5,37,53,67,67,67,53.60,8,59,0,5,0,33-48,14940,87776
2xxx,case_ACTIVSg2000,12,5,29,52,71,71,71,50.40,8,63,1,4,0,49-64,13636,74940
2xxx,case_ACTIVSg2000,13,3,48,50,63,63,63,53.67,8,55,0,3,0,49-64,8773,51112
2xxx,case_ACTIVSg2000,14,3,42,49,55,55,55,48.67,8,47,0,3,0,49-64,7190,40368
2xxx,case_ACTIVSg2000,15,2,43,43,47,47,47,45.00,8,39,0,2,0,33-48,4058,21968
2xxx,case_ACTIVSg2000,16,2,39,39,49,49,49,44.00,8,41,0,2,0,33-48,3922,21136
2xxx,case_ACTIVSg2000,17,2,31,31,41,41,41,36.00,8,33,1,1,0,17-32,2642,12944
2xxx,case_ACTIVSg2000,18,2,33,33,41,41,41,37.00,8,33,0,2,0,33-48,2770,13712
2xxx,case_ACTIVSg2000,19,2,25,25,33,33,33,29.00,8,25,1,1,0,33-48,1714,6764
2xxx,case_ACTIVSg2000,20,1,25,25,25,25,25,25.00,8,17,1,0,0,17-32,625,2312
2xxx,case_ACTIVSg2000,21,1,17,17,17,17,17,17.00,8,9,1,0,0,17-32,289,648
2xxx,case_ACTIVSg2000,22,1,9,9,9,9,9,9.00,8,1,1,0,0,9-16,81,8
2xxx,case_ACTIVSg2000,23,1,1,1,1,1,1,1.00,1,0,1,0,0,<=8,1,0
3xxx,case3012wp,0,1414,2,5,6,8,11,5.08,4,9,1414,0,0,<=8,38535,30807
3xxx,case3012wp,1,645,3,6,7,11,16,5.63,4,14,645,0,0,<=8,21635,19241
3xxx,case3012wp,2,332,3,6,8,14,18,6.18,4,16,332,0,0,<=8,13939,13749
3xxx,case3012wp,3,157,3,7,11,17,17,7.39,4,15,157,0,0,<=8,9796,11492
3xxx,case3012wp,4,93,4,9,14,22,24,9.68,8,22,93,0,0,9-16,10184,14446
3xxx,case3012wp,5,48,4,11,17,27,27,11.69,8,25,48,0,0,9-16,7875,14723
3xxx,case3012wp,6,29,6,15,27,34,34,16.90,8,26,28,1,0,9-16,9974,31230
3xxx,case3012wp,7,15,11,17,34,36,36,20.73,8,28,13,2,0,17-32,7503,27617
3xxx,case3012wp,8,11,18,23,27,34,34,23.55,8,26,10,1,0,17-32,6313,20783
3xxx,case3012wp,9,7,17,26,29,37,37,24.29,8,29,6,1,0,17-32,4464,15045
3xxx,case3012wp,10,6,20,32,36,43,43,31.83,8,35,3,3,0,17-32,6401,29547
3xxx,case3012wp,11,5,18,27,35,35,35,27.80,8,29,3,2,0,17-32,4043,15277
3xxx,case3012wp,12,2,30,30,39,39,39,34.50,8,31,1,1,0,17-32,2421,11560
3xxx,case3012wp,13,2,28,28,35,35,35,31.50,8,28,1,1,0,17-32,2009,8688
3xxx,case3012wp,14,1,42,42,42,42,42,42.00,8,34,0,1,0,33-48,1764,9248
3xxx,case3012wp,15,1,34,34,34,34,34,34.00,8,26,0,1,0,33-48,1156,5408
3xxx,case3012wp,16,1,26,26,26,26,26,26.00,8,18,1,0,0,17-32,676,2592
3xxx,case3012wp,17,1,18,18,18,18,18,18.00,1,17,1,0,0,17-32,324,289
3xxx,case3012wp,18,1,20,20,20,20,20,20.00,8,12,1,0,0,17-32,400,1152
3xxx,case3012wp,19,1,12,12,12,12,12,12.00,8,4,1,0,0,9-16,144,128
3xxx,case3012wp,20,1,4,4,4,4,4,4.00,4,0,1,0,0,<=8,16,0
6xxx,case6468rte,0,3494,3,4,6,8,12,4.88,4,10,3494,0,0,<=8,89377,69326
6xxx,case6468rte,1,1263,3,6,8,12,14,5.74,4,12,1263,0,0,<=8,45182,42333
6xxx,case6468rte,2,527,2,6,10,16,26,7.09,6,24,527,0,0,<=8,30160,34787
6xxx,case6468rte,3,255,4,8,14,20,29,9.29,6,27,255,0,0,<=8,25399,35799
6xxx,case6468rte,4,141,4,10,18,30,33,11.56,8,31,140,1,0,9-16,22652,39947
6xxx,case6468rte,5,68,6,14,23,30,42,16.00,8,36,67,1,0,9-16,20468,52396
6xxx,case6468rte,6,41,8,18,28,40,40,19.68,8,32,40,1,0,17-32,17569,53707
6xxx,case6468rte,7,31,16,26,32,42,42,25.48,8,34,29,2,0,17-32,21214,81069
6xxx,case6468rte,8,18,17,26,36,42,42,27.78,8,34,14,4,0,17-32,14830,58638
6xxx,case6468rte,9,14,18,30,38,47,47,29.86,8,39,9,5,0,17-32,13332,51152
