case	solver	precision	B	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case1197	cuDSS	fp32	1	0.103936	0.087655	7.06003e-05	2392	14344
case_ACTIVSg2000	cuDSS	fp32	1	0.344397	0.16519	1.32747e-05	3607	26345
case3012wp	cuDSS	fp32	1	0.252585	0.147447	0.000154744	5725	36263
case6468rte	cuDSS	fp32	1	0.34041	0.187061	4.14538e-05	12643	87845
case8387pegase	cuDSS	fp32	1	0.541778	0.229812	1.29877e-05	14908	110572
case_ACTIVSg25k	cuDSS	fp32	1	1.09151	0.449785	0.000149326	47246	318672
case_SyntheticUSA	cuDSS	fp32	1	2.78518	0.956418	0.000891663	156255	1052085
case1197	custom	fp32	1	0.069621	0.077436	0.000151153	2392	14344
case1197	custom	fp32	4	0.0184498	0.0203333	0.000174891	2392	14344
case1197	custom	fp32	32	0.00371759	0.0039205	0.00020035	2392	14344
case1197	custom	fp32	64	0.00283095	0.00301692	0.000206031	2392	14344
case1197	custom	fp32	256	0.00215526	0.00213879	0.000208387	2392	14344
case1197	custom	fp16	1	0.06932	0.077446	0.000179055	2392	14344
case1197	custom	fp16	4	0.0184423	0.0203133	0.000169621	2392	14344
case1197	custom	fp16	32	0.00366625	0.0039255	0.000197693	2392	14344
case1197	custom	fp16	64	0.00282358	0.00301206	0.000210025	2392	14344
case1197	custom	fp16	256	0.002151	0.00213769	0.000207644	2392	14344
case1197	custom	tf32	1	0.06916	0.077205	0.000182945	2392	14344
case1197	custom	tf32	4	0.0188255	0.0202705	0.000169022	2392	14344
case1197	custom	tf32	32	0.00366941	0.003923	0.00019936	2392	14344
case1197	custom	tf32	64	0.00283205	0.00301598	0.000202753	2392	14344
case1197	custom	tf32	256	0.00215225	0.002138	0.000213416	2392	14344
case_ACTIVSg2000	custom	fp32	1	0.273985	0.19651	1.24765e-05	3607	26345
case_ACTIVSg2000	custom	fp32	4	0.0738738	0.0519025	1.34035e-05	3607	26345
case_ACTIVSg2000	custom	fp32	32	0.0157918	0.0108288	1.39399e-05	3607	26345
case_ACTIVSg2000	custom	fp32	64	0.0118668	0.00719259	1.35323e-05	3607	26345
case_ACTIVSg2000	custom	fp32	256	0.00967768	0.00471871	1.4607e-05	3607	26345
case_ACTIVSg2000	custom	fp16	1	0.355338	0.1971	0.00279396	3607	26345
case_ACTIVSg2000	custom	fp16	4	0.0942573	0.0522282	0.00279383	3607	26345
case_ACTIVSg2000	custom	fp16	32	0.0178761	0.0108257	0.0027944	3607	26345
case_ACTIVSg2000	custom	fp16	64	0.0132383	0.00721278	0.0027949	3607	26345
case_ACTIVSg2000	custom	fp16	256	0.0106398	0.0047186	0.00279534	3607	26345
case_ACTIVSg2000	custom	tf32	1	0.348485	0.1968	0.0144736	3607	26345
case_ACTIVSg2000	custom	tf32	4	0.092659	0.0519652	0.0144742	3607	26345
case_ACTIVSg2000	custom	tf32	32	0.0172853	0.0108416	0.0144746	3607	26345
case_ACTIVSg2000	custom	tf32	64	0.0126023	0.00719322	0.0144748	3607	26345
case_ACTIVSg2000	custom	tf32	256	0.00965076	0.00472024	0.014475	3607	26345
case3012wp	custom	fp32	1	0.240882	0.174708	0.000189938	5725	36263
case3012wp	custom	fp32	4	0.0584625	0.0425625	0.000207064	5725	36263
case3012wp	custom	fp32	32	0.0135079	0.0104274	0.000230415	5725	36263
case3012wp	custom	fp32	64	0.0100345	0.00806516	0.00023249	5725	36263
case3012wp	custom	fp32	256	0.0076237	0.00608362	0.00024601	5725	36263
case3012wp	custom	fp16	1	0.309973	0.172254	0.000269093	5725	36263
case3012wp	custom	fp16	4	0.079314	0.04654	0.00244663	5725	36263
case3012wp	custom	fp16	32	0.0157383	0.0110332	0.00467498	5725	36263
case3012wp	custom	fp16	64	0.0102655	0.00788248	0.000381803	5725	36263
case3012wp	custom	fp16	256	0.00760183	0.00602218	0.000225402	5725	36263
case3012wp	custom	tf32	1	0.307919	0.180559	0.0324001	5725	36263
case3012wp	custom	tf32	4	0.0781068	0.045245	0.00115594	5725	36263
case3012wp	custom	tf32	32	0.0153532	0.0107681	0.00030399	5725	36263
case3012wp	custom	tf32	64	0.0104869	0.00800677	0.000235485	5725	36263
case3012wp	custom	tf32	256	0.00776307	0.00616503	0.000747263	5725	36263
case6468rte	custom	fp32	1	0.272171	0.206498	5.21249e-05	12643	87845
case6468rte	custom	fp32	4	0.0903397	0.070728	5.18477e-05	12643	87845
case6468rte	custom	fp32	32	0.0233041	0.0189932	5.20632e-05	12643	87845
case6468rte	custom	fp32	64	0.0191674	0.0154603	0.000128835	12643	87845
case6468rte	custom	fp32	256	0.0169246	0.01274	5.24138e-05	12643	87845
case6468rte	custom	fp16	1	0.406815	0.214513	0.000376549	12643	87845
case6468rte	custom	fp16	4	0.117919	0.0717375	0.000323173	12643	87845
case6468rte	custom	fp16	32	0.0270142	0.0189478	0.000428331	12643	87845
case6468rte	custom	fp16	64	0.0209231	0.0156552	0.00113583	12643	87845
case6468rte	custom	fp16	256	0.0177522	0.012751	0.000290986	12643	87845
case6468rte	custom	tf32	1	0.381527	0.195146	0.00278848	12643	87845
case6468rte	custom	tf32	4	0.114871	0.0709685	0.00217474	12643	87845
case6468rte	custom	tf32	32	0.0259654	0.0189822	0.00136343	12643	87845
case6468rte	custom	tf32	64	0.0201377	0.0153515	0.00209243	12643	87845
case6468rte	custom	tf32	256	0.0172111	0.0128244	0.00171193	12643	87845
case8387pegase	custom	fp32	1	0.35141	0.26578	1.16676e-05	14908	110572
case8387pegase	custom	fp32	4	0.10233	0.080068	1.12589e-05	14908	110572
case8387pegase	custom	fp32	32	0.0317322	0.0261692	3.51256e-05	14908	110572
case8387pegase	custom	fp32	64	0.0251581	0.0214794	2.4842e-05	14908	110572
case8387pegase	custom	fp32	256	0.0229676	0.0186648	1.98729e-05	14908	110572
case8387pegase	custom	fp16	1	0.466147	0.245943	0.00417789	14908	110572
case8387pegase	custom	fp16	4	0.136129	0.0940867	0.00592022	14908	110572
case8387pegase	custom	fp16	32	0.0338824	0.0258289	0.00409871	14908	110572
case8387pegase	custom	fp16	64	0.0293561	0.0244652	0.0207046	14908	110572
case8387pegase	custom	fp16	256	0.0243113	0.0186939	0.0210499	14908	110572
case8387pegase	custom	tf32	1	0.477318	0.253557	0.0334056	14908	110572
case8387pegase	custom	tf32	4	0.11297	0.083091	0.0300598	14908	110572
case8387pegase	custom	tf32	32	0.0320484	0.0263774	0.0139267	14908	110572
case8387pegase	custom	tf32	64	0.0274582	0.0239923	0.0498682	14908	110572
case8387pegase	custom	tf32	256	0.0227654	0.0186124	0.0233434	14908	110572
case_ACTIVSg25k	custom	fp32	1	0.822056	0.50512	0.000176571	47246	318672
case_ACTIVSg25k	custom	fp32	4	0.281201	0.166791	0.000167188	47246	318672
case_ACTIVSg25k	custom	fp32	32	0.118147	0.0636976	0.000156239	47246	318672
case_ACTIVSg25k	custom	fp32	64	0.113645	0.0588807	0.000265593	47246	318672
case_ACTIVSg25k	custom	fp32	256	0.107243	0.0518869	0.000213685	47246	318672
case_ACTIVSg25k	custom	fp16	1	0.758406	0.541608	0.0140861	47246	318672
case_ACTIVSg25k	custom	fp16	4	0.267175	0.173396	0.0123345	47246	318672
case_ACTIVSg25k	custom	fp16	32	0.1195	0.0641227	0.01437	47246	318672
case_ACTIVSg25k	custom	fp16	64	0.109812	0.0570394	0.0259237	47246	318672
case_ACTIVSg25k	custom	fp16	256	0.113739	0.0539366	0.0839455	47246	318672
case_ACTIVSg25k	custom	tf32	1	0.794874	0.530147	0.0467019	47246	318672
case_ACTIVSg25k	custom	tf32	4	0.235583	0.161008	0.050726	47246	318672
case_ACTIVSg25k	custom	tf32	32	0.107243	0.0640814	0.0509612	47246	318672
case_ACTIVSg25k	custom	tf32	64	0.105633	0.0567091	0.0534569	47246	318672
case_ACTIVSg25k	custom	tf32	256	0.101779	0.0517182	0.0521322	47246	318672
case_SyntheticUSA	custom	fp32	1	2.59506	0.986674	0.00557733	156255	1052085
case_SyntheticUSA	custom	fp32	4	0.854391	0.367568	0.015342	156255	1052085
case_SyntheticUSA	custom	fp32	32	0.493129	0.207456	0.0146711	156255	1052085
case_SyntheticUSA	custom	fp32	64	0.459508	0.188659	0.0238033	156255	1052085
case_SyntheticUSA	custom	fp32	256	0.458266	0.181278	0.00135671	156255	1052085
case_SyntheticUSA	custom	fp16	1	2.49373	1.04459	0.0620473	156255	1052085
case_SyntheticUSA	custom	fp16	4	0.830266	0.382501	0.0854745	156255	1052085
case_SyntheticUSA	custom	fp16	32	0.482432	0.208124	0.0782458	156255	1052085
case_SyntheticUSA	custom	fp16	64	0.490314	0.197686	0.117693	156255	1052085
case_SyntheticUSA	custom	fp16	256	0.463528	0.182039	0.0838774	156255	1052085
case_SyntheticUSA	custom	tf32	1	2.06636	0.987165	0.0544436	156255	1052085
case_SyntheticUSA	custom	tf32	4	0.813231	0.403799	0.0559203	156255	1052085
case_SyntheticUSA	custom	tf32	32	0.469059	0.211941	0.0515001	156255	1052085
case_SyntheticUSA	custom	tf32	64	0.431582	0.190316	0.0529817	156255	1052085
case_SyntheticUSA	custom	tf32	256	0.458204	0.188719	0.0490844	156255	1052085
