case	n	B	fp32_base	tf32_base	tf32_policy
8387	14908	1	0.330811	0.329869	0.30886
8387	14908	4	0.100386	0.100609	0.0963435
8387	14908	16	0.0401123	0.0401329	0.0401711
8387	14908	64	0.0249555	0.0244007	0.0243678
8387	14908	256	0.0215654	0.0212976	0.0213028
9241	17036	1	0.387918	0.388981	0.370035
9241	17036	4	0.116972	0.116601	0.112261
9241	17036	16	0.0452244	0.0451936	0.0452081
9241	17036	64	0.0272152	0.0266975	0.0267053
9241	17036	256	0.0238865	0.0235693	0.0235844
10k	18544	1	0.350618	0.350067	0.316675
10k	18544	4	0.106778	0.107164	0.098064
10k	18544	16	0.0452381	0.0451523	0.0451611
10k	18544	64	0.0318619	0.0312078	0.0312219
10k	18544	256	0.0291649	0.0285567	0.0285572
13659	23225	1	0.407195	0.402747	0.369043
13659	23225	4	0.124036	0.123547	0.117628
13659	23225	16	0.0545124	0.0545093	0.0547291
13659	23225	64	0.0383345	0.0377962	0.0376734
13659	23225	256	0.0347864	0.0343132	0.034303
25k	47246	1	0.755439	0.743386	0.634211
25k	47246	4	0.23142	0.228294	0.202982
25k	47246	16	0.118021	0.116653	0.116677
25k	47246	64	0.0978504	0.0930863	0.0930664
25k	47246	256	0.0928972	0.0886467	0.0886748
70k	134104	1	2.8583	2.71709	2.6544
70k	134104	4	0.930766	0.895971	0.871677
70k	134104	16	0.537671	0.52559	0.525563
70k	134104	64	0.474841	0.441189	0.441326
70k	134104	256	0.476969	0.432049	0.432067
USA	156255	1	2.88205	2.71315	2.65321
USA	156255	4	0.964274	0.931249	0.92748
USA	156255	16	0.573408	0.567369	0.567706
USA	156255	64	0.526462	0.504943	0.504856
USA	156255	256	0.524775	0.501999	0.502246
