case	n	B	cap	build	factor_per_sys_ms	solve_per_sys_ms	relres
case1197	2392	1	8	base	0.067658	0.090731	0.000194217
case1197	2392	1	8	fuse	0.067867	0.091872	0.000170847
case1197	2392	256	8	base	0.00162313	0.00146221	0.000207795
case1197	2392	256	8	fuse	0.0016263	0.00146342	0.000207226
case3012wp	5725	1	8	base	0.209003	0.157867	0.000197015
case3012wp	5725	1	8	fuse	0.208603	0.157767	0.00021247
case3012wp	5725	256	8	base	0.00613987	0.00383961	0.000237658
case3012wp	5725	256	8	fuse	0.00613474	0.00384097	0.000225931
case8387pegase	14908	1	8	base	0.328739	0.266191	2.4354e-05
case8387pegase	14908	1	8	fuse	0.329791	0.265961	2.44722e-05
case8387pegase	14908	256	8	base	0.0215894	0.0123453	2.51252e-05
case8387pegase	14908	256	8	fuse	0.0214968	0.01234	2.50073e-05
case_ACTIVSg25k	47246	1	16	base	0.786159	0.533052	0.000160665
case_ACTIVSg25k	47246	1	16	fuse	0.75492	0.533163	0.000145386
case_ACTIVSg25k	47246	256	16	base	0.0922154	0.0337511	0.000170597
case_ACTIVSg25k	47246	256	16	fuse	0.0904537	0.0337514	0.000169746
case_SyntheticUSA	156255	1	16	base	2.61375	1.04621	0.0112526
case_SyntheticUSA	156255	1	16	fuse	2.40923	1.04625	0.0109307
case_SyntheticUSA	156255	256	16	base	0.439258	0.128106	0.0151322
case_SyntheticUSA	156255	256	16	fuse	0.406953	0.128099	0.0246527
