EXP_260611 case=/datasets/power_system/nr_linear_systems/case8387pegase/J.mtx levels=29 total_ms=0.36283
level,factor_ms,pct
0,0.019360,5.336
1,0.023467,6.468
2,0.011317,3.119
3,0.014604,4.025
4,0.012393,3.416
5,0.014927,4.114
6,0.013950,3.845
7,0.014074,3.879
8,0.012446,3.430
9,0.012142,3.346
10,0.011081,3.054
11,0.011389,3.139
12,0.012542,3.457
13,0.011560,3.186
14,0.009736,2.683
15,0.011678,3.219
16,0.012122,3.341
17,0.011454,3.157
18,0.010939,3.015
19,0.010962,3.021
20,0.011768,3.243
21,0.011742,3.236
22,0.010248,2.824
23,0.019823,5.463
24,0.014287,3.938
25,0.007119,1.962
26,0.012093,3.333
27,0.008826,2.433
28,0.004779,1.317
