analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,case_stem,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,success_all
0.012242,0.0121628,0.012150999999999999,0.01211,4.130859474734039e-05,pglib_opf_case118_ieee,0.013182,0.013104600000000001,0.0130955,0.013052,4.2841309244440336e-05,7.577813376791e-11,cpp_cuda_edge,4.0,10,0.00095,0.0009413000000000001,0.000942,0.000925,6.700746227100373e-06,True
0.019094,0.0187099,0.0186495,0.018502,0.00020505037321486485,pglib_opf_case1354_pegase,0.021191,0.0208218,0.0207555,0.020609,0.00020573488873899018,8.898659586976e-12,cpp_cuda_edge,5.0,10,0.002128,0.0021113,0.0021075,0.002097,1.011105006086579e-05,True
0.025496,0.0244832,0.024377999999999997,0.024294,0.00035785589899349826,pglib_opf_case2746wop_k,0.027818,0.0267778,0.0266575,0.026604,0.0003666984228672563,1.071762422888e-09,cpp_cuda_edge,4.0,10,0.002321,0.0022939,0.002293,0.002274,1.4609357731718853e-05,True
0.036151,0.0345919,0.034419,0.034292,0.000555751033387354,pglib_opf_case4601_goc,0.040247,0.038674,0.038492,0.038379,0.0005606862858239982,4.28712620959e-10,cpp_cuda_edge,5.0,10,0.004106,0.0040816,0.0040825,0.004064,1.3031585560561105e-05,True
0.016052,0.015712300000000002,0.015662500000000003,0.015652,0.0001234270364763462,pglib_opf_case793_goc,0.017665,0.0173177,0.017272000000000003,0.017247,0.0001263021509449991,3.400477224449e-12,cpp_cuda_edge,5.0,10,0.00162,0.0016049999999999999,0.001604,0.001586,8.806563209081941e-06,True
0.05326,0.050722,0.050381999999999996,0.050254,0.0009106669106881083,pglib_opf_case8387_pegase,0.059098,0.0565514,0.056205500000000005,0.056106,0.0009130628796650423,4.205389037004e-09,cpp_cuda_edge,6.0,10,0.005856,0.0058286,0.005823999999999999,0.005808,1.4930952191114079e-05,True
0.057702,0.0549267,0.054649,0.054434,0.0009908204288478432,pglib_opf_case9241_pegase,0.064692,0.061930400000000004,0.0616335,0.06143,0.000985034596121149,1.214598362859e-09,cpp_cuda_edge,7.0,10,0.007039,0.0070035,0.007005000000000001,0.006967,2.087662169349563e-05,True
0.012397,0.0122021,0.012162,0.012132,8.258255129128548e-05,pglib_opf_case118_ieee,0.013307,0.0131227,0.0130885,0.013058,7.997367622467309e-05,1.064490648143e-10,cpp_cuda_vertex,4.0,10,0.000933,0.0009201,0.000918,0.000909,8.102811583367576e-06,True
0.019144,0.0186603,0.018598999999999997,0.018561,0.00017523764816195595,pglib_opf_case1354_pegase,0.021437,0.0208156,0.020736499999999998,0.020697,0.00022329114029296705,1.13084582993e-11,cpp_cuda_vertex,5.0,10,0.002292,0.0021551,0.0021405,0.002132,4.845490457918354e-05,True
0.025324,0.0244602,0.024322,0.024291,0.0003190328440075653,pglib_opf_case2746wop_k,0.027644,0.0267751,0.0266335,0.02661,0.00032100586702841794,1.021743681525e-09,cpp_cuda_vertex,4.0,10,0.00232,0.0023143,0.002315,0.002301,6.129165250396365e-06,True
0.035816,0.0342774,0.034114000000000005,0.034009,0.0005452416793394365,pglib_opf_case4601_goc,0.039808,0.038253300000000004,0.038086,0.037966,0.0005513077482979306,3.850690877272e-10,cpp_cuda_vertex,5.0,10,0.003991,0.0039754000000000005,0.003976,0.003957,1.1226951698677914e-05,True
0.016049,0.0157495,0.015713,0.015652,0.00012086746644339218,pglib_opf_case793_goc,0.017651,0.0173043,0.0173035,0.016993,0.00019230303054178685,9.168765330303e-09,cpp_cuda_vertex,4.8,10,0.001629,0.0015545,0.001607,0.001317,0.00012103374185187646,True
0.053373,0.0507185,0.050449,0.050268,0.0009353680499615578,pglib_opf_case8387_pegase,0.059296,0.0566077,0.056338,0.056154,0.0009471307606543979,2.382828823144e-09,cpp_cuda_vertex,6.0,10,0.005923,0.0058888,0.005886,0.005864,1.912996486028018e-05,True
0.058124,0.0549648,0.054640499999999995,0.054441,0.0011184079756511045,pglib_opf_case9241_pegase,0.06527,0.0620528,0.061714000000000005,0.061517,0.0011375188203571237,6.142144570731e-10,cpp_cuda_vertex,7.0,10,0.007145,0.0070873,0.0070885,0.007037,3.778021233985392e-05,True
0.000145,0.0001194,0.0001135,0.000107,1.2790621564255585e-05,pglib_opf_case118_ieee,0.000606,0.0005471,0.0005395,0.000527,2.3713334270452604e-05,6.147611450104e-11,cpp_optimized,4.0,10,0.00046,0.00042710000000000003,0.0004235,0.000417,1.2368867728652006e-05,True
0.001325,0.0013119,0.0013105,0.001303,7.38542107428175e-06,pglib_opf_case1354_pegase,0.00659,0.0064932,0.006475,0.006442,4.8848518685603864e-05,2.298161660974e-12,cpp_optimized,5.0,10,0.00527,0.0051808,0.0051685,0.005133,4.633165464584908e-05,True
0.003517,0.0030649,0.0030355,0.002912,0.00017599775882411433,pglib_opf_case2746wop_k,0.012309,0.0116554,0.011647500000000002,0.011087,0.0004005236017459589,1.497773264806e-11,cpp_optimized,4.0,10,0.009255,0.0085898,0.008602499999999999,0.008162,0.0003008767927980559,True
0.006531,0.0063207,0.006295500000000001,0.006283,7.556020410536523e-05,pglib_opf_case4601_goc,0.043119,0.0425454,0.042539,0.04223,0.00024965184646712397,2.578772085729e-11,cpp_optimized,5.0,10,0.036587,0.036224,0.036250000000000004,0.03594,0.00018960016408806833,True
0.000765,0.0007534,0.0007505000000000001,0.000749,5.561774297230436e-06,pglib_opf_case793_goc,0.003391,0.0031956,0.003177,0.00315,7.003046955909021e-05,5.425543903037e-10,cpp_optimized,4.0,10,0.00264,0.0024416999999999998,0.002423,0.0024,7.060539796801818e-05,True
0.016577,0.0124517,0.012003,0.011435,0.0014749316406004874,pglib_opf_case8387_pegase,0.066632,0.058165800000000004,0.057159,0.05651,0.0030079981456850066,1.501415658467e-11,cpp_optimized,6.0,10,0.050055,0.0457135,0.045144,0.045051,0.0015465286037517133,True
0.01406,0.0138169,0.013856,0.013257,0.00021394778698447797,pglib_opf_case9241_pegase,0.076179,0.07593710000000001,0.0759735,0.075381,0.000222632956530098,8.32134361417e-12,cpp_optimized,7.0,10,0.062256,0.0621197,0.062121499999999996,0.062025,7.087085280831456e-05,True
4e-05,3.78e-05,3.8e-05,3.7e-05,9.189365834726833e-07,pglib_opf_case118_ieee,0.001465,0.0013866,0.0013785,0.001336,4.33133287158173e-05,6.147801072601e-11,cpp_pypowerlike,4.0,10,0.001427,0.0013483,0.0013405000000000001,0.001298,4.293159934386588e-05,True
0.000123,0.0001047,9.449999999999999e-05,9.2e-05,1.493727626517707e-05,pglib_opf_case1354_pegase,0.020625,0.0199718,0.0197615,0.019564,0.00044855194174637657,2.543384616114e-12,cpp_pypowerlike,5.0,10,0.020503,0.0198664,0.019666000000000003,0.019471,0.00043455755276679633,True
0.000182,0.0001546,0.0001505,0.000149,1.0469001862641925e-05,pglib_opf_case2746wop_k,0.034795,0.0335062,0.0333125,0.033235,0.0004904018307016761,1.683007110314e-11,cpp_pypowerlike,4.0,10,0.034612,0.033351,0.0331615,0.033083,0.00047983284126407443,True
0.000303,0.0002824,0.0002785,0.000273,9.179687721631206e-06,pglib_opf_case4601_goc,0.103567,0.1032416,0.10316249999999999,0.103086,0.00017373300076714275,2.580902156517e-11,cpp_pypowerlike,5.0,10,0.10327,0.1029588,0.10288800000000001,0.102807,0.0001696092240678214,True
8.2e-05,7.56e-05,7.549999999999999e-05,7.3e-05,2.5033311140691465e-06,pglib_opf_case793_goc,0.009447,0.0093464,0.009373,0.009086,0.00011761915943700101,5.425385141145e-10,cpp_pypowerlike,4.0,10,0.009371,0.0092702,0.0092965,0.009012,0.00011697084157078566,True
0.000604,0.0005955,0.0005924999999999999,0.00059,5.700877125495713e-06,pglib_opf_case8387_pegase,0.177763,0.1766605,0.176501,0.176009,0.0006133761307532106,1.483652090073e-11,cpp_pypowerlike,6.0,10,0.17716,0.1760647,0.17590250000000002,0.175416,0.0006133873255220674,True
0.000819,0.000681,0.0006505,0.000635,6.089699864890258e-05,pglib_opf_case9241_pegase,0.267294,0.2441543,0.241843,0.239284,0.008267982516914262,1.003126748333e-11,cpp_pypowerlike,7.0,10,0.266642,0.2434729,0.241148,0.238648,0.008279335902648765,True
,,,,,pglib_opf_case118_ieee,0.011615132912993431,0.01116871926933527,0.011105736717581749,0.010932661592960358,0.00022417987486194753,6.14822223325176e-11,pypower,4.0,10,,,,,,True
,,,,,pglib_opf_case1354_pegase,0.04429277591407299,0.038989147171378136,0.038357690908014774,0.03818799927830696,0.0018736110765922762,4.120073105607632e-12,pypower,5.0,10,,,,,,True
,,,,,pglib_opf_case2746wop_k,0.05503758788108826,0.05465838685631752,0.05463433265686035,0.05442684516310692,0.00016374442661761532,1.4977732648068056e-11,pypower,4.0,10,,,,,,True
,,,,,pglib_opf_case4601_goc,0.14145729690790176,0.13844833225011827,0.137949307449162,0.13750478252768517,0.0011983545042826677,2.5815461548407613e-11,pypower,5.0,10,,,,,,True
,,,,,pglib_opf_case793_goc,0.022172294557094574,0.021944628097116947,0.021924112923443317,0.02183985337615013,0.00010297152684037254,5.425149218751812e-10,pypower,4.0,10,,,,,,True
,,,,,pglib_opf_case8387_pegase,0.2733430713415146,0.2475306924432516,0.24392765015363693,0.24155017919838428,0.009750242250951077,1.548287886787847e-11,pypower,6.0,10,,,,,,True
,,,,,pglib_opf_case9241_pegase,0.3270904626697302,0.31819773837924004,0.3167038382962346,0.31461879052221775,0.0036389547822251248,5.097700039868869e-12,pypower,7.0,10,,,,,,True
