analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,case_stem,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,success_all
0.110354,0.055272999999999996,0.042698,0.012767,0.04999403575427772,pglib_opf_case118_ieee,0.181991,0.101552,0.10878,0.013885,0.08428576271826696,7.807080511244e-11,cpp_cuda_edge,4.0,3,0.071637,0.04627866666666667,0.066082,0.001117,0.03920964942885021,True
0.176343,0.144596,0.157807,0.099638,0.040022645427307775,pglib_opf_case9241_pegase,0.266429,0.20736966666666667,0.223767,0.131913,0.06874076642963282,1.27109359583e-09,cpp_cuda_edge,7.0,3,0.108622,0.062773,0.047423,0.032274,0.040422409020245194,True
0.01286,0.012556,0.012484,0.012324,0.00027515813635071735,pglib_opf_case118_ieee,0.013967,0.013730333333333334,0.013792,0.013432,0.0002727789092531414,1.018049886973e-10,cpp_cuda_vertex,4.0,3,0.001307,0.001174,0.001108,0.001107,0.00011518246394308468,True
0.106585,0.10059066666666666,0.099588,0.095599,0.0055612097904442805,pglib_opf_case9241_pegase,0.151972,0.13333433333333333,0.14504,0.102991,0.02650568928236603,1.884595257629e-10,cpp_cuda_vertex,7.0,3,0.045452,0.032743666666666664,0.045387,0.007392,0.021955211416275027,True
0.000199,0.00019333333333333333,0.000195,0.000186,6.658328118479401e-06,pglib_opf_case118_ieee,0.00075,0.0007143333333333333,0.0007,0.000693,3.1085902485424694e-05,6.147611450104e-11,cpp_optimized,4.0,3,0.00055,0.0005203333333333334,0.000507,0.000504,2.573583752927685e-05,True
0.013216,0.013097333333333334,0.013136,0.01294,0.00014200469475807254,pglib_opf_case9241_pegase,0.075256,0.07511266666666666,0.075193,0.074889,0.00019624559443038236,8.32134361417e-12,cpp_optimized,7.0,3,0.06212,0.062015,0.061977,0.061948,9.208148565265476e-05,True
4.2e-05,3.9e-05,3.8e-05,3.7e-05,2.6457513110645895e-06,pglib_opf_case118_ieee,0.001501,0.001457,0.001457,0.001413,4.3999999999999985e-05,6.147801072601e-11,cpp_pypowerlike,4.0,3,0.001464,0.0014173333333333334,0.001414,0.001374,4.509249752822896e-05,True
0.001316,0.000944,0.000768,0.000748,0.00032231661452677236,pglib_opf_case9241_pegase,0.24539,0.24227466666666667,0.240742,0.240692,0.0026980736337863954,1.003126748333e-11,cpp_pypowerlike,7.0,3,0.244074,0.24133066666666667,0.239994,0.239924,0.0023760541520203944,True
,,,,,pglib_opf_case118_ieee,0.011383900418877602,0.011345749720931053,0.011348949745297432,0.011304398998618126,3.984719654853409e-05,6.14822223325176e-11,pypower,4.0,3,,,,,,True
,,,,,pglib_opf_case9241_pegase,0.3224740959703922,0.31972142433126766,0.31909929774701595,0.31759087927639484,0.0025003464630443156,5.097700039868869e-12,pypower,7.0,3,,,,,,True
