CPU.analyze.buildJacobianCSC.avg_sec,CPU.analyze.buildJacobianCSC.count,CPU.analyze.buildJacobianCSC.total_sec,CPU.analyze.kluSymbolic.avg_sec,CPU.analyze.kluSymbolic.count,CPU.analyze.kluSymbolic.total_sec,CPU.analyze.remapJacobianMaps.avg_sec,CPU.analyze.remapJacobianMaps.count,CPU.analyze.remapJacobianMaps.total_sec,CPU.analyze.storeYbus.avg_sec,CPU.analyze.storeYbus.count,CPU.analyze.storeYbus.total_sec,CPU.solve.factorize.avg_sec,CPU.solve.factorize.count,CPU.solve.factorize.total_sec,CPU.solve.solve.avg_sec,CPU.solve.solve.count,CPU.solve.solve.total_sec,CUDA.analyze.cudaMallocWorkBuffers.avg_sec,CUDA.analyze.cudaMallocWorkBuffers.count,CUDA.analyze.cudaMallocWorkBuffers.total_sec,CUDA.analyze.cudaMallocYbusFp32.avg_sec,CUDA.analyze.cudaMallocYbusFp32.count,CUDA.analyze.cudaMallocYbusFp32.total_sec,CUDA.analyze.cudaMallocYbusSpmv.avg_sec,CUDA.analyze.cudaMallocYbusSpmv.count,CUDA.analyze.cudaMallocYbusSpmv.total_sec,CUDA.analyze.cudaMemcpyYbusFp32.avg_sec,CUDA.analyze.cudaMemcpyYbusFp32.count,CUDA.analyze.cudaMemcpyYbusFp32.total_sec,CUDA.analyze.cudaMemcpyYbusSpmv.avg_sec,CUDA.analyze.cudaMemcpyYbusSpmv.count,CUDA.analyze.cudaMemcpyYbusSpmv.total_sec,CUDA.analyze.cudssAnalysis.avg_sec,CUDA.analyze.cudssAnalysis.count,CUDA.analyze.cudssAnalysis.total_sec,CUDA.analyze.cudssCreate.avg_sec,CUDA.analyze.cudssCreate.count,CUDA.analyze.cudssCreate.total_sec,CUDA.analyze.cudssFactorization.avg_sec,CUDA.analyze.cudssFactorization.count,CUDA.analyze.cudssFactorization.total_sec,CUDA.analyze.cusparseSetup.avg_sec,CUDA.analyze.cusparseSetup.count,CUDA.analyze.cusparseSetup.total_sec,CUDA.analyze.hostPreprocessYbusFp32.avg_sec,CUDA.analyze.hostPreprocessYbusFp32.count,CUDA.analyze.hostPreprocessYbusFp32.total_sec,CUDA.analyze.hostPreprocessYbusSpmv.avg_sec,CUDA.analyze.hostPreprocessYbusSpmv.count,CUDA.analyze.hostPreprocessYbusSpmv.total_sec,CUDA.analyze.uploadBusIndices.avg_sec,CUDA.analyze.uploadBusIndices.count,CUDA.analyze.uploadBusIndices.total_sec,CUDA.analyze.uploadJacobianMaps.avg_sec,CUDA.analyze.uploadJacobianMaps.count,CUDA.analyze.uploadJacobianMaps.total_sec,CUDA.analyze.uploadJacobianStructure.avg_sec,CUDA.analyze.uploadJacobianStructure.count,CUDA.analyze.uploadJacobianStructure.total_sec,CUDA.analyze.uploadYbusIndices.avg_sec,CUDA.analyze.uploadYbusIndices.count,CUDA.analyze.uploadYbusIndices.total_sec,CUDA.solve.refactorization.avg_sec,CUDA.solve.refactorization.count,CUDA.solve.refactorization.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve.avg_sec,CUDA.solve.solve.count,CUDA.solve.solve.total_sec,NR.analyze.backend.avg_sec,NR.analyze.backend.count,NR.analyze.backend.total_sec,NR.analyze.jacobianBuilder.avg_sec,NR.analyze.jacobianBuilder.count,NR.analyze.jacobianBuilder.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.computeMismatch.avg_sec,NR.computeMismatch.count,NR.computeMismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.solve.downloadV.avg_sec,NR.solve.downloadV.count,NR.solve.downloadV.total_sec,NR.solve.initialize.avg_sec,NR.solve.initialize.count,NR.solve.initialize.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solveLinearSystem.avg_sec,NR.solveLinearSystem.count,NR.solveLinearSystem.total_sec,NR.updateJacobian.avg_sec,NR.updateJacobian.count,NR.updateJacobian.total_sec,NR.updateVoltage.avg_sec,NR.updateVoltage.count,NR.updateVoltage.total_sec,algorithm,analyze_sec,backend,buses,case_name,case_stem,dump_case_name,elapsed_sec,final_mismatch,gpu_device_requested,implementation,iterations,jacobian,max_abs_v_delta_from_v0,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011304398998618126,6.14822223325176e-11,,pypower,4,,,1.0719522833824158e-05,1,1.0719522833824158e-05,0.0019422676414251328,4,0.007769070565700531,3.57210636138916e-05,5,0.000178605318069458,0.00025580357760190964,4,0.0010232143104076385,2.103252336382866e-05,4,8.413009345531464e-05,,,0,0.00011642090976238251,1,0.00011642090976238251,0.001061614602804184,1,0.001061614602804184,0.00045253336429595947,1,0.00045253336429595947,0.00027867965400218964,1,0.00027867965400218964,0.009126158431172371,1,0.009126158431172371,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011383900418877602,6.14822223325176e-11,,pypower,4,,,1.0808929800987244e-05,1,1.0808929800987244e-05,0.0019608372822403908,4,0.007843349128961563,3.5538524389266965e-05,5,0.00017769262194633484,0.0002593514509499073,4,0.0010374058037996292,2.0665116608142853e-05,4,8.266046643257141e-05,,,1,0.00011432170867919922,1,0.00011432170867919922,0.0010526254773139954,1,0.0010526254773139954,0.00045295245945453644,1,0.00045295245945453644,0.0002686120569705963,1,0.0002686120569705963,0.009211130440235138,1,0.009211130440235138,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011348949745297432,6.14822223325176e-11,,pypower,4,,,1.1101365089416504e-05,1,1.1101365089416504e-05,0.0019470504485070705,4,0.007788201794028282,3.6844238638877866e-05,5,0.00018422119319438934,0.000256919302046299,4,0.001027677208185196,2.1730083972215652e-05,4,8.692033588886261e-05,,,2,0.0001130513846874237,1,0.0001130513846874237,0.001071736216545105,1,0.001071736216545105,0.00045073218643665314,1,0.00045073218643665314,0.00026840344071388245,1,0.00026840344071388245,0.009157868102192879,1,0.009157868102192879,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8e-05,1,1.8e-05,1.8e-06,5,9e-06,0.0002726,5,0.001363,0.0,1,0.0,1e-06,1,1e-06,0.001444,1,0.001444,0.00024075,4,0.000963,4.475e-05,4,0.000179,1.25e-06,4,5e-06,pypower_like,3.7e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.001501,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.001464,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8e-05,1,1.8e-05,1.6e-06,5,8e-06,0.0002626,5,0.001313,0.0,1,0.0,1e-06,1,1e-06,0.001394,1,0.001394,0.00023025,4,0.000921,4.3e-05,4,0.000172,1.75e-06,4,7e-06,pypower_like,4.2e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.001457,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.001414,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-05,1,1.7e-05,1.4e-06,5,7e-06,0.0002548,5,0.001274,0.0,1,0.0,1e-06,1,1e-06,0.001355,1,0.001355,0.000223,4,0.000892,4.15e-05,4,0.000166,1.75e-06,4,7e-06,pypower_like,3.8e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.001413,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.001374,True
1.2e-05,1,1.2e-05,5.1e-05,1,5.1e-05,8e-06,1,8e-06,0.0,1,0.0,3.375e-05,4,0.000135,1.75e-06,4,7e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000113,1,0.000113,3.5e-05,1,3.5e-05,0.000178,1,0.000178,1e-06,5,5e-06,8.82e-05,5,0.000441,0.0,1,0.0,1e-05,1,1e-05,0.000531,1,0.000531,5.7e-05,4,0.000228,5.5e-06,4,2.2e-05,4.5e-06,4,1.8e-05,optimized,0.000199,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.00075,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.00055,True
1.2e-05,1,1.2e-05,4.8e-05,1,4.8e-05,7e-06,1,7e-06,0.0,1,0.0,2.4e-05,4,9.6e-05,1.5e-06,4,6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000109,1,0.000109,3.4e-05,1,3.4e-05,0.000173,1,0.000173,1e-06,5,5e-06,7.9e-05,5,0.000395,0.0,1,0.0,1e-05,1,1e-05,0.000485,1,0.000485,4.625e-05,4,0.000185,5e-06,4,2e-05,4.5e-06,4,1.8e-05,optimized,0.000195,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.0007,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.000504,True
1.2e-05,1,1.2e-05,4.4e-05,1,4.4e-05,7e-06,1,7e-06,0.0,1,0.0,2.5e-05,4,0.0001,1.75e-06,4,7e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000103,1,0.000103,3.2e-05,1,3.2e-05,0.000165,1,0.000165,1e-06,5,5e-06,7.98e-05,5,0.000399,0.0,1,0.0,1e-05,1,1e-05,0.000488,1,0.000488,4.675e-05,4,0.000187,5e-06,4,2e-05,4.25e-06,4,1.7e-05,optimized,0.000186,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.000693,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.000507,True
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000154,1,0.000154,6e-06,1,6e-06,1.4e-05,1,1.4e-05,2e-05,1,2e-05,0.008987,1,0.008987,0.001526,1,0.001526,8.5e-05,1,8.5e-05,0.001733,1,0.001733,1e-06,1,1e-06,0.0,1,0.0,1.9e-05,1,1.9e-05,5.7e-05,1,5.7e-05,1.3e-05,1,1.3e-05,1.4e-05,1,1.4e-05,7.6e-05,4,0.000304,8.25e-06,4,3.3e-05,6.875e-05,4,0.000275,0.012707,1,0.012707,4.4e-05,1,4.4e-05,0.01276,1,0.01276,3.92e-05,5,0.000196,0.000209,5,0.001045,1e-05,1,1e-05,3.9e-05,1,3.9e-05,0.001112,1,0.001112,0.00016325,4,0.000653,1.625e-05,4,6.5e-05,1.725e-05,4,6.9e-05,optimized,0.012767,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.013885,7.807080511244e-11,3,cpp_cuda_edge,4,edge_based,1.002563617478,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.001117,True
