CPU.analyze.buildJacobianCSC.avg_sec,CPU.analyze.buildJacobianCSC.count,CPU.analyze.buildJacobianCSC.total_sec,CPU.analyze.kluSymbolic.avg_sec,CPU.analyze.kluSymbolic.count,CPU.analyze.kluSymbolic.total_sec,CPU.analyze.remapJacobianMaps.avg_sec,CPU.analyze.remapJacobianMaps.count,CPU.analyze.remapJacobianMaps.total_sec,CPU.analyze.storeYbus.avg_sec,CPU.analyze.storeYbus.count,CPU.analyze.storeYbus.total_sec,CPU.solve.factorize.avg_sec,CPU.solve.factorize.count,CPU.solve.factorize.total_sec,CPU.solve.solve.avg_sec,CPU.solve.solve.count,CPU.solve.solve.total_sec,CUDA.analyze.cudaMallocWorkBuffers.avg_sec,CUDA.analyze.cudaMallocWorkBuffers.count,CUDA.analyze.cudaMallocWorkBuffers.total_sec,CUDA.analyze.cudaMallocYbusFp32.avg_sec,CUDA.analyze.cudaMallocYbusFp32.count,CUDA.analyze.cudaMallocYbusFp32.total_sec,CUDA.analyze.cudaMallocYbusSpmv.avg_sec,CUDA.analyze.cudaMallocYbusSpmv.count,CUDA.analyze.cudaMallocYbusSpmv.total_sec,CUDA.analyze.cudaMemcpyYbusFp32.avg_sec,CUDA.analyze.cudaMemcpyYbusFp32.count,CUDA.analyze.cudaMemcpyYbusFp32.total_sec,CUDA.analyze.cudaMemcpyYbusSpmv.avg_sec,CUDA.analyze.cudaMemcpyYbusSpmv.count,CUDA.analyze.cudaMemcpyYbusSpmv.total_sec,CUDA.analyze.cudssAnalysis.avg_sec,CUDA.analyze.cudssAnalysis.count,CUDA.analyze.cudssAnalysis.total_sec,CUDA.analyze.cudssCreate.avg_sec,CUDA.analyze.cudssCreate.count,CUDA.analyze.cudssCreate.total_sec,CUDA.analyze.cudssFactorization.avg_sec,CUDA.analyze.cudssFactorization.count,CUDA.analyze.cudssFactorization.total_sec,CUDA.analyze.cusparseSetup.avg_sec,CUDA.analyze.cusparseSetup.count,CUDA.analyze.cusparseSetup.total_sec,CUDA.analyze.hostPreprocessYbusFp32.avg_sec,CUDA.analyze.hostPreprocessYbusFp32.count,CUDA.analyze.hostPreprocessYbusFp32.total_sec,CUDA.analyze.hostPreprocessYbusSpmv.avg_sec,CUDA.analyze.hostPreprocessYbusSpmv.count,CUDA.analyze.hostPreprocessYbusSpmv.total_sec,CUDA.analyze.uploadBusIndices.avg_sec,CUDA.analyze.uploadBusIndices.count,CUDA.analyze.uploadBusIndices.total_sec,CUDA.analyze.uploadJacobianMaps.avg_sec,CUDA.analyze.uploadJacobianMaps.count,CUDA.analyze.uploadJacobianMaps.total_sec,CUDA.analyze.uploadJacobianStructure.avg_sec,CUDA.analyze.uploadJacobianStructure.count,CUDA.analyze.uploadJacobianStructure.total_sec,CUDA.analyze.uploadYbusIndices.avg_sec,CUDA.analyze.uploadYbusIndices.count,CUDA.analyze.uploadYbusIndices.total_sec,CUDA.solve.refactorization.avg_sec,CUDA.solve.refactorization.count,CUDA.solve.refactorization.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve.avg_sec,CUDA.solve.solve.count,CUDA.solve.solve.total_sec,NR.analyze.backend.avg_sec,NR.analyze.backend.count,NR.analyze.backend.total_sec,NR.analyze.jacobianBuilder.avg_sec,NR.analyze.jacobianBuilder.count,NR.analyze.jacobianBuilder.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.computeMismatch.avg_sec,NR.computeMismatch.count,NR.computeMismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.solve.downloadV.avg_sec,NR.solve.downloadV.count,NR.solve.downloadV.total_sec,NR.solve.initialize.avg_sec,NR.solve.initialize.count,NR.solve.initialize.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solveLinearSystem.avg_sec,NR.solveLinearSystem.count,NR.solveLinearSystem.total_sec,NR.updateJacobian.avg_sec,NR.updateJacobian.count,NR.updateJacobian.total_sec,NR.updateVoltage.avg_sec,NR.updateVoltage.count,NR.updateVoltage.total_sec,algorithm,analyze_sec,backend,buses,case_name,case_stem,dump_case_name,elapsed_sec,final_mismatch,gpu_device_requested,implementation,iterations,jacobian,max_abs_v_delta_from_v0,newtonpf.init_index.avg_sec,newtonpf.init_index.count,newtonpf.init_index.total_sec,newtonpf.jacobian.avg_sec,newtonpf.jacobian.count,newtonpf.jacobian.total_sec,newtonpf.mismatch.avg_sec,newtonpf.mismatch.count,newtonpf.mismatch.total_sec,newtonpf.solve.avg_sec,newtonpf.solve.count,newtonpf.solve.total_sec,newtonpf.update_voltage.avg_sec,newtonpf.update_voltage.count,newtonpf.update_voltage.total_sec,pq,pv,repeat_idx,runpf.build_Sbus.avg_sec,runpf.build_Sbus.count,runpf.build_Sbus.total_sec,runpf.build_Ybus.avg_sec,runpf.build_Ybus.count,runpf.build_Ybus.total_sec,runpf.bus_indexing.avg_sec,runpf.bus_indexing.count,runpf.bus_indexing.total_sec,runpf.load_case_data.avg_sec,runpf.load_case_data.count,runpf.load_case_data.total_sec,runpf.newtonpf.avg_sec,runpf.newtonpf.count,runpf.newtonpf.total_sec,solve_sec,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011301783844828606,6.14822223325176e-11,,pypower,4,,,1.0559335350990295e-05,1,1.0559335350990295e-05,0.001941620372235775,4,0.0077664814889431,3.509894013404846e-05,5,0.0001754947006702423,0.0002552405931055546,4,0.0010209623724222183,2.0897481590509415e-05,4,8.358992636203766e-05,,,0,0.00011567212641239166,1,0.00011567212641239166,0.0010948237031698227,1,0.0010948237031698227,0.000463312491774559,1,0.000463312491774559,0.0002716612070798874,1,0.0002716612070798874,0.009116237983107567,1,0.009116237983107567,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011393805965781212,6.14822223325176e-11,,pypower,4,,,1.1101365089416504e-05,1,1.1101365089416504e-05,0.001965357456356287,4,0.007861429825425148,3.508254885673523e-05,5,0.00017541274428367615,0.0002603689208626747,4,0.0010414756834506989,2.057710662484169e-05,4,8.230842649936676e-05,,,1,0.00011654011905193329,1,0.00011654011905193329,0.0010480154305696487,1,0.0010480154305696487,0.0004531126469373703,1,0.0004531126469373703,0.0002628397196531296,1,0.0002628397196531296,0.009231287986040115,1,0.009231287986040115,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118_ieee,pglib_opf_case118_ieee,,0.011092893779277802,6.14822223325176e-11,,pypower,4,,,1.0520219802856445e-05,1,1.0520219802856445e-05,0.0018915953114628792,4,0.007566381245851517,3.5340338945388795e-05,5,0.00017670169472694397,0.00025818822905421257,4,0.0010327529162168503,2.9738061130046844e-05,4,0.00011895224452018738,,,2,0.0001133698970079422,1,0.0001133698970079422,0.001045243814587593,1,0.001045243814587593,0.0004567001014947891,1,0.0004567001014947891,0.0002732332795858383,1,0.0002732332795858383,0.008965065702795982,1,0.008965065702795982,,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8e-05,1,1.8e-05,1.8e-06,5,9e-06,0.000277,5,0.001385,0.0,1,0.0,1e-06,1,1e-06,0.001468,1,0.001468,0.000244,4,0.000976,4.625e-05,4,0.000185,1.25e-06,4,5e-06,pypower_like,3.8e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.001527,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.001488,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9e-05,1,1.9e-05,1.6e-06,5,8e-06,0.0002652,5,0.001326,0.0,1,0.0,1e-06,1,1e-06,0.001409,1,0.001409,0.0002345,4,0.000938,4.225e-05,4,0.000169,1e-06,4,4e-06,pypower_like,4e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.00147,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.001429,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9e-05,1,1.9e-05,1.8e-06,5,9e-06,0.0002632,5,0.001316,0.0,1,0.0,1e-06,1,1e-06,0.0014,1,0.0014,0.00023,4,0.00092,4.225e-05,4,0.000169,1.25e-06,4,5e-06,pypower_like,4e-05,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.00146,6.147801072601e-11,,cpp_pypowerlike,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.001419,True
1.2e-05,1,1.2e-05,5.2e-05,1,5.2e-05,8e-06,1,8e-06,0.0,1,0.0,3.575e-05,4,0.000143,1.5e-06,4,6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000115,1,0.000115,3.4e-05,1,3.4e-05,0.000179,1,0.000179,1e-06,5,5e-06,9.12e-05,5,0.000456,0.0,1,0.0,1e-05,1,1e-05,0.000545,1,0.000545,5.95e-05,4,0.000238,5.5e-06,4,2.2e-05,4.5e-06,4,1.8e-05,optimized,0.0002,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.000765,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.000564,True
1.2e-05,1,1.2e-05,4.8e-05,1,4.8e-05,7e-06,1,7e-06,0.0,1,0.0,2.9e-05,4,0.000116,1.75e-06,4,7e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011,1,0.00011,3.5e-05,1,3.5e-05,0.000176,1,0.000176,1e-06,5,5e-06,8.56e-05,5,0.000428,0.0,1,0.0,1e-05,1,1e-05,0.000518,1,0.000518,5.175e-05,4,0.000207,5e-06,4,2e-05,4.5e-06,4,1.8e-05,optimized,0.000198,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.000736,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,1,,,,,,,,,,,,,,,,0.000538,True
1.2e-05,1,1.2e-05,4.5e-05,1,4.5e-05,7e-06,1,7e-06,0.0,1,0.0,2.7e-05,4,0.000108,1.5e-06,4,6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000106,1,0.000106,3.2e-05,1,3.2e-05,0.000168,1,0.000168,1e-06,5,5e-06,8.18e-05,5,0.000409,0.0,1,0.0,1e-05,1,1e-05,0.000499,1,0.000499,4.925e-05,4,0.000197,4.75e-06,4,1.9e-05,4e-06,4,1.6e-05,optimized,0.000188,cpu,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.000708,6.147611450104e-11,,cpp_optimized,4,edge_based,1.00256361749,,,,,,,,,,,,,,,,64,53,2,,,,,,,,,,,,,,,,0.000519,True
,,,,,,,,,,,,,,,,,,1.4e-05,1,1.4e-05,0.000207,1,0.000207,7e-06,1,7e-06,1.5e-05,1,1.5e-05,2.2e-05,1,2.2e-05,0.009092,1,0.009092,0.001525,1,0.001525,8.7e-05,1,8.7e-05,0.001857,1,0.001857,1e-06,1,1e-06,0.0,1,0.0,2.3e-05,1,2.3e-05,6.4e-05,1,6.4e-05,1.3e-05,1,1.3e-05,1.5e-05,1,1.5e-05,7.7e-05,4,0.000308,8e-06,4,3.2e-05,6.95e-05,4,0.000278,0.013008,1,0.013008,4.7e-05,1,4.7e-05,0.013063,1,0.013063,4.02e-05,5,0.000201,0.0002088,5,0.001044,1.1e-05,1,1.1e-05,3.8e-05,1,3.8e-05,0.001113,1,0.001113,0.00016475,4,0.000659,1.65e-05,4,6.6e-05,1.8e-05,4,7.2e-05,optimized,0.013073,cuda,118,118_ieee,pglib_opf_case118_ieee,case118_ieee,0.014191,7.05055757552e-11,2,cpp_cuda_edge,4,edge_based,1.002563617485,,,,,,,,,,,,,,,,64,53,0,,,,,,,,,,,,,,,,0.001118,True
