measurement_mode,case_name,mt_label,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_no_mt,elapsed_speedup_vs_no_mt,analyze_ratio_vs_no_mt,solve_ratio_vs_no_mt,runs,success_all
end2end,case30_ieee,no_mt,10.940999999999999,10.259300000000001,0.6813,1.0,1.0,1.0,1.0,10,True
end2end,case30_ieee,mt_auto,11.1105,10.4194,0.6906,1.0154921853578285,0.984744160928851,1.015605353191738,1.013650374284456,10,True
end2end,case30_ieee,mt_1,11.0028,10.313600000000001,0.6889,1.0056484782012614,0.9943832479005343,1.0052927587652178,1.0111551445765448,10,True
end2end,case30_ieee,mt_2,10.9396,10.2574,0.6816,0.9998720409468971,1.0001279754287176,0.9998148021794858,1.0004403346543371,10,True
end2end,case30_ieee,mt_4,10.9952,10.302900000000001,0.6919,1.0049538433415592,0.9950705762514551,1.0042498026181124,1.0155584911199178,10,True
end2end,case30_ieee,mt_8,11.0175,10.3345,0.6826,1.0069920482588428,0.9930565010211028,1.0073299347908726,1.0019081168354615,10,True
end2end,case30_ieee,mt_16,11.2518,10.510399999999999,0.7408,1.0284069097888675,0.9723777528928704,1.024475354068991,1.087333039776897,10,True
end2end,case30_ieee,mt_32,11.502099999999999,10.779,0.7226,1.0512841604972123,0.9512176037419253,1.0506564775374538,1.0606194040804344,10,True
end2end,case118_ieee,no_mt,11.504900000000001,10.7174,0.7869,1.0,1.0,1.0,1.0,10,True
end2end,case118_ieee,mt_auto,28.65,27.7445,0.9053000000000001,2.4902432876426563,0.40156719022687615,2.5887342079235633,1.1504638454695642,10,True
end2end,case118_ieee,mt_1,11.495099999999999,10.710799999999999,0.784,0.9991481890324991,1.0008525371680108,0.9993841789986376,0.9963146524336002,10,True
end2end,case118_ieee,mt_2,11.4585,10.6661,0.7919,0.9959669358273431,1.0040493956451544,0.9952133913075932,1.0063540475282755,10,True
end2end,case118_ieee,mt_4,11.4644,10.675,0.7888999999999999,0.9964797607975732,1.0035326750636755,0.9960438165973091,1.0025416190113101,10,True
end2end,case118_ieee,mt_8,11.4827,10.689300000000001,0.7927000000000001,0.9980703874001512,1.0019333432032536,0.997378095433594,1.0073706951327996,10,True
end2end,case118_ieee,mt_16,11.6979,10.8553,0.842,1.016775460890577,0.9835013122013353,1.0128669266799784,1.0700216037615962,10,True
end2end,case118_ieee,mt_32,13.8456,12.9753,0.87,1.2034524420029726,0.8309426821517305,1.2106760968145258,1.105604269919939,10,True
end2end,case793_goc,no_mt,15.4916,14.0822,1.4089,1.0,1.0,1.0,1.0,10,True
end2end,case793_goc,mt_auto,14.7049,13.2511,1.4533,0.9492176405277699,1.053499173744806,0.9409822328897474,1.0315139470508907,10,True
end2end,case793_goc,mt_1,15.464699999999999,14.0503,1.4142,0.9982635750987632,1.0017394453174002,0.9977347289486018,1.0037617999858046,10,True
end2end,case793_goc,mt_2,15.1615,13.7727,1.3883999999999999,0.9786916780706963,1.0217722520858754,0.978021899987218,0.9854496415643409,10,True
end2end,case793_goc,mt_4,15.011999999999999,13.5567,1.4546000000000001,0.9690412868909603,1.0319477751132426,0.9626833875388788,1.0324366527077862,10,True
end2end,case793_goc,mt_8,14.723500000000001,13.315499999999998,1.4079,0.9504182912029746,1.0521683023737562,0.945555381971567,0.9992902264177727,10,True
end2end,case793_goc,mt_16,14.724599999999999,13.1905,1.5337,0.9504892974257017,1.052089700229548,0.9366789280084079,1.0885797430619633,10,True
