analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.01095,cuda,30,case30_ieee,mixed,case30_ieee,0.011671,2.406190051354e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000721,cuda_mixed_edge,True
0.010468,cuda,30,case30_ieee,mixed,case30_ieee,0.011195,2.296878042598e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000727,cuda_mixed_edge,True
0.010452,cuda,30,case30_ieee,mixed,case30_ieee,0.011157,2.406190051354e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000704,cuda_mixed_edge,True
0.010423,cuda,30,case30_ieee,mixed,case30_ieee,0.011127,1.504768532001e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000703,cuda_mixed_edge,True
0.010422,cuda,30,case30_ieee,mixed,case30_ieee,0.011143,2.27022921156e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.000721,cuda_mixed_edge,True
0.010428,cuda,30,case30_ieee,mixed,case30_ieee,0.011131,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000702,cuda_mixed_edge,True
0.01047,cuda,30,case30_ieee,mixed,case30_ieee,0.011194,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000724,cuda_mixed_edge,True
0.01317,cuda,30,case30_ieee,mixed,case30_ieee,0.013904,2.329280552552e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.000733,cuda_mixed_edge,True
0.010543,cuda,30,case30_ieee,mixed,case30_ieee,0.011283,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000739,cuda_mixed_edge,True
0.010464,cuda,30,case30_ieee,mixed,case30_ieee,0.011216,2.330856106253e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000752,cuda_mixed_edge,True
0.01131,cuda,118,case118_ieee,mixed,case118_ieee,0.012107,6.332296260802e-11,cuda_edge,5,edge_based,1.002563617497,end2end,64,cuda_edge,53,0,0.000797,cuda_mixed_edge,True
0.01119,cuda,118,case118_ieee,mixed,case118_ieee,0.011976,6.888784817025e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,1,0.000786,cuda_mixed_edge,True
0.010762,cuda,118,case118_ieee,mixed,case118_ieee,0.011547,7.833925175227e-11,cuda_edge,5,edge_based,1.002563617481,end2end,64,cuda_edge,53,2,0.000785,cuda_mixed_edge,True
0.029691,cuda,118,case118_ieee,mixed,case118_ieee,0.030692,6.387965374294e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,3,0.001,cuda_mixed_edge,True
0.011673,cuda,118,case118_ieee,mixed,case118_ieee,0.012567,7.656366852785e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,4,0.000893,cuda_mixed_edge,True
0.010937,cuda,118,case118_ieee,mixed,case118_ieee,0.011833,6.767192267854e-11,cuda_edge,5,edge_based,1.002563617498,end2end,64,cuda_edge,53,5,0.000896,cuda_mixed_edge,True
0.010939,cuda,118,case118_ieee,mixed,case118_ieee,0.011828,6.296772751429e-11,cuda_edge,5,edge_based,1.002563617485,end2end,64,cuda_edge,53,6,0.000889,cuda_mixed_edge,True
0.010924,cuda,118,case118_ieee,mixed,case118_ieee,0.011807,7.065901580138e-11,cuda_edge,5,edge_based,1.002563617482,end2end,64,cuda_edge,53,7,0.000883,cuda_mixed_edge,True
0.011191,cuda,118,case118_ieee,mixed,case118_ieee,0.012091,7.382647106399e-11,cuda_edge,5,edge_based,1.002563617503,end2end,64,cuda_edge,53,8,0.000899,cuda_mixed_edge,True
0.011136,cuda,118,case118_ieee,mixed,case118_ieee,0.012008,6.858169587787e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,9,0.000872,cuda_mixed_edge,True
0.0136,cuda,793,case793_goc,mixed,case793_goc,0.014824,9.481296958419e-09,cuda_edge,5,edge_based,1.161718975866,end2end,704,cuda_edge,88,0,0.001223,cuda_mixed_edge,True
0.01323,cuda,793,case793_goc,mixed,case793_goc,0.014702,2.665064507291e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,1,0.001471,cuda_mixed_edge,True
0.013182,cuda,793,case793_goc,mixed,case793_goc,0.014647,1.857233573476e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.001465,cuda_mixed_edge,True
0.013041,cuda,793,case793_goc,mixed,case793_goc,0.014502,1.748157174575e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.001461,cuda_mixed_edge,True
