CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.008626,1,0.008626,0.001635,1,0.001635,6.6e-05,1,6.6e-05,5.8e-05,3,0.000174,9e-06,4,3.6e-05,5.025e-05,4,0.000201,1.8e-05,1,1.8e-05,0.010264,1,0.010264,0.00024,1,0.00024,0.010524,1,0.010524,9.5e-06,4,3.8e-05,0.0001205,4,0.000482,1.78e-05,5,8.9e-05,0.0001352,5,0.000676,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000738,1,0.000738,4.4e-05,1,4.4e-05,0.010525,cuda,30,case30_ieee,mixed,case30_ieee,0.011264,2.29446584649e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000739,cuda_mixed_edge,True
0.00853,1,0.00853,0.001546,1,0.001546,6.5e-05,1,6.5e-05,5.833333333333e-05,3,0.000175,9e-06,4,3.6e-05,5e-05,4,0.0002,1.4e-05,1,1.4e-05,0.010079,1,0.010079,0.000203,1,0.000203,0.010298,1,0.010298,9.5e-06,4,3.8e-05,0.0001205,4,0.000482,1.76e-05,5,8.8e-05,0.0001352,5,0.000676,1.525e-05,4,6.1e-05,1.4e-05,1,1.4e-05,0.000736,1,0.000736,4.4e-05,1,4.4e-05,0.010299,cuda,30,case30_ieee,mixed,case30_ieee,0.011036,1.504768532001e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000737,cuda_mixed_edge,True
0.008503,1,0.008503,0.001545,1,0.001545,6.5e-05,1,6.5e-05,5.766666666667e-05,3,0.000173,9e-06,4,3.6e-05,5e-05,4,0.0002,1.4e-05,1,1.4e-05,0.010051,1,0.010051,0.000202,1,0.000202,0.010268,1,0.010268,9.5e-06,4,3.8e-05,0.0001195,4,0.000478,1.76e-05,5,8.8e-05,0.0001342,5,0.000671,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000733,1,0.000733,4.4e-05,1,4.4e-05,0.010269,cuda,30,case30_ieee,mixed,case30_ieee,0.011004,1.956761275121e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000734,cuda_mixed_edge,True
0.008536,1,0.008536,0.001531,1,0.001531,6.5e-05,1,6.5e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.05e-05,4,0.000202,1.3e-05,1,1.3e-05,0.010071,1,0.010071,0.000201,1,0.000201,0.010288,1,0.010288,9.75e-06,4,3.9e-05,0.0001215,4,0.000486,1.8e-05,5,9e-05,0.0001364,5,0.000682,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000746,1,0.000746,4.5e-05,1,4.5e-05,0.010288,cuda,30,case30_ieee,mixed,case30_ieee,0.011036,2.592118365579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000747,cuda_mixed_edge,True
0.008504,1,0.008504,0.001533,1,0.001533,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9e-06,4,3.6e-05,5.075e-05,4,0.000203,1.4e-05,1,1.4e-05,0.010039,1,0.010039,0.000207,1,0.000207,0.010261,1,0.010261,9.75e-06,4,3.9e-05,0.00012175,4,0.000487,1.82e-05,5,9.1e-05,0.0001366,5,0.000683,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000746,1,0.000746,4.5e-05,1,4.5e-05,0.010262,cuda,30,case30_ieee,mixed,case30_ieee,0.011009,2.494671136333e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000747,cuda_mixed_edge,True
0.008487,1,0.008487,0.001545,1,0.001545,6.6e-05,1,6.6e-05,5.833333333333e-05,3,0.000175,9e-06,4,3.6e-05,5.075e-05,4,0.000203,1.4e-05,1,1.4e-05,0.010036,1,0.010036,0.00021,1,0.00021,0.010261,1,0.010261,9.5e-06,4,3.8e-05,0.0001215,4,0.000486,1.8e-05,5,9e-05,0.0001364,5,0.000682,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000745,1,0.000745,4.5e-05,1,4.5e-05,0.010262,cuda,30,case30_ieee,mixed,case30_ieee,0.011009,1.836832747957e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000746,cuda_mixed_edge,True
0.008506,1,0.008506,0.001546,1,0.001546,6.7e-05,1,6.7e-05,5.866666666667e-05,3,0.000176,9.25e-06,4,3.7e-05,5.075e-05,4,0.000203,1.4e-05,1,1.4e-05,0.010055,1,0.010055,0.000208,1,0.000208,0.010279,1,0.010279,9.75e-06,4,3.9e-05,0.00012225,4,0.000489,1.8e-05,5,9e-05,0.000137,5,0.000685,1.475e-05,4,5.9e-05,1.5e-05,1,1.5e-05,0.000747,1,0.000747,4.4e-05,1,4.4e-05,0.01028,cuda,30,case30_ieee,mixed,case30_ieee,0.011028,1.816665808469e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000748,cuda_mixed_edge,True
0.008513,1,0.008513,0.001542,1,0.001542,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.5e-06,4,3.8e-05,5.05e-05,4,0.000202,1.4e-05,1,1.4e-05,0.010058,1,0.010058,0.000207,1,0.000207,0.010281,1,0.010281,1e-05,4,4e-05,0.000122,4,0.000488,1.8e-05,5,9e-05,0.0001368,5,0.000684,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000748,1,0.000748,4.6e-05,1,4.6e-05,0.010282,cuda,30,case30_ieee,mixed,case30_ieee,0.011031,2.29446584649e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000749,cuda_mixed_edge,True
0.008501,1,0.008501,0.001541,1,0.001541,6.5e-05,1,6.5e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.075e-05,4,0.000203,1.4e-05,1,1.4e-05,0.010045,1,0.010045,0.000208,1,0.000208,0.010269,1,0.010269,1e-05,4,4e-05,0.00012125,4,0.000485,1.8e-05,5,9e-05,0.0001366,5,0.000683,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000745,1,0.000745,4.5e-05,1,4.5e-05,0.01027,cuda,30,case30_ieee,mixed,case30_ieee,0.011016,1.860923102341e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000746,cuda_mixed_edge,True
0.008506,1,0.008506,0.001539,1,0.001539,6.7e-05,1,6.7e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.4e-05,1,1.4e-05,0.010049,1,0.010049,0.000208,1,0.000208,0.010273,1,0.010273,9.5e-06,4,3.8e-05,0.00012175,4,0.000487,1.82e-05,5,9.1e-05,0.0001366,5,0.000683,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000746,1,0.000746,4.5e-05,1,4.5e-05,0.010274,cuda,30,case30_ieee,mixed,case30_ieee,0.011021,2.26385638202e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000747,cuda_mixed_edge,True
