analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.065825,0.0277445,0.015522999999999999,0.011026,0.021768036145024913,cuda,case118_ieee,mixed,0.066724,0.02865,0.0164195,0.011941,0.021782082999056308,8.847088667914e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000987,0.0009053,0.0008985,0.000882,3.0133222713661272e-05,cuda_mixed_edge,True
0.015039,0.0145484,0.014429500000000001,0.01423,0.0002904629255363083,cuda,case1354_pegase,mixed,0.017032,0.0165516,0.016431,0.016231,0.0002865892143430689,9.424716655887e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002035,0.0020027,0.0019979999999999998,0.001983,1.751221795712285e-05,cuda_mixed_edge,True
0.018286,0.017450900000000002,0.0174165,0.016964,0.000392938912413735,cuda,case2746wop_k,mixed,0.020489,0.0197354,0.0197285,0.019161,0.0004112839516549232,1.117990273836e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.00247,0.0022838,0.0022754999999999997,0.002197,9.041853300685157e-05,cuda_mixed_edge,True
0.010987,0.010419399999999999,0.0103325,0.010313,0.00021335374902312423,cuda,case30_ieee,mixed,0.011674,0.0111105,0.011023999999999999,0.011004,0.00021170012858863477,2.330856106253e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000704,0.0006906,0.0006895,0.000686,5.015531433014399e-06,cuda_mixed_edge,True
0.023167,0.0223089,0.02223,0.021584,0.0006059738626559912,cuda,case4601_goc,mixed,0.027761,0.0269065,0.02682,0.026202,0.0006065881359428874,6.301659194463e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004617,0.004597,0.0046,0.004577,1.4228297313608593e-05,cuda_mixed_edge,True
0.013691,0.0132511,0.013186,0.013084,0.00017826475316848873,cuda,case793_goc,mixed,0.015159,0.0147049,0.01463,0.014538,0.00018279402494489694,2.978922664099e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001467,0.0014533,0.0014535,0.001438,8.393780766469647e-06,cuda_mixed_edge,True
0.037696,0.0311445,0.0303505,0.029933,0.002365027895066873,cuda,case8387_pegase,mixed,0.043618,0.0371132,0.0363865,0.0359,0.002350936777825667,3.176742979782e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.00613,0.0059683,0.0059465,0.005922,6.173428724964935e-05,cuda_mixed_edge,True
0.035204,0.0329631,0.0325915,0.032181,0.0009373671698492065,cuda,case9241_pegase,mixed,0.042335,0.040112999999999996,0.039746000000000004,0.039346,0.000936837825405822,1.272321113049e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.007189,0.0071495,0.0071485,0.007101,2.5846770698784837e-05,cuda_mixed_edge,True
0.011161,0.010805,0.01073,0.010698,0.00017517293043034838,cuda,case118_ieee,mixed,0.012009,0.011666600000000001,0.01159,0.011565,0.00017460444184244306,7.957567937922e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000874,0.0008609,0.0008595,0.000847,7.936553968120474e-06,cuda_mixed_edge,True
0.015059,0.0146516,0.0146035,0.01442,0.0002090450243900153,cuda,case1354_pegase,mixed,0.017305,0.016772600000000002,0.016702500000000002,0.016546,0.0002407161537302112,7.289035809805e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002246,0.0021207,0.0021054999999999997,0.002085,4.567287062481529e-05,cuda_mixed_edge,True
0.061033,0.0223682,0.017819500000000002,0.016812,0.01364321961675876,cuda,case2746wop_k,mixed,0.063333,0.0247487,0.020159,0.01918,0.013619729570247227,1.118435534712e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002688,0.0023799999999999997,0.0023155,0.002299,0.00012248083750348687,cuda_mixed_edge,True
0.014991,0.010871800000000001,0.010342500000000001,0.010315,0.0014552869743723327,cuda,case30_ieee,mixed,0.015734,0.0116252,0.0110955,0.011069,0.001452365105612222,2.601446840299e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000778,0.0007529,0.0007509999999999999,0.00074,1.2215200002910769e-05,cuda_mixed_edge,True
0.022912,0.0223505,0.0224285,0.021605,0.00043294116870027017,cuda,case4601_goc,mixed,0.027117,0.0265539,0.026633999999999998,0.025812,0.00043070625463043516,4.022202571008e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004213,0.004203,0.0042045,0.004193,6.182412330330494e-06,cuda_mixed_edge,True
0.097841,0.0218963,0.013150499999999999,0.013036,0.02669834043552354,cuda,case793_goc,mixed,0.0994,0.023451200000000002,0.014694,0.014602,0.02669977899950152,2.412237076754e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.001575,0.0015546,0.001556,0.001534,1.1983321743156198e-05,cuda_mixed_edge,True
0.067751,0.0341643,0.030296,0.030046,0.011815080016186471,cuda,case8387_pegase,mixed,0.073822,0.0402522,0.0363705,0.036107,0.011808947490968212,3.157188732672e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006289,0.0060872,0.0060615,0.006045,7.204134615313327e-05,cuda_mixed_edge,True
0.034101,0.032856500000000004,0.032755,0.032174,0.0006585742597122635,cuda,case9241_pegase,mixed,0.04141,0.0401213,0.039979,0.039403,0.000659432592798115,2.718982441974e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007422,0.0072643,0.007239,0.007207,6.5089767074232e-05,cuda_mixed_edge,True
