analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.010987,cuda,30,case30_ieee,mixed,case30_ieee,0.011674,2.270185713203e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000687,cuda_mixed_edge,True
0.010353,cuda,30,case30_ieee,mixed,case30_ieee,0.011045,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000691,cuda_mixed_edge,True
0.010568,cuda,30,case30_ieee,mixed,case30_ieee,0.011257,2.329280552552e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000689,cuda_mixed_edge,True
0.010323,cuda,30,case30_ieee,mixed,case30_ieee,0.011009,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000686,cuda_mixed_edge,True
0.010334,cuda,30,case30_ieee,mixed,case30_ieee,0.011023,2.330856106253e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.000688,cuda_mixed_edge,True
0.01032,cuda,30,case30_ieee,mixed,case30_ieee,0.011025,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000704,cuda_mixed_edge,True
0.010331,cuda,30,case30_ieee,mixed,case30_ieee,0.011023,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000691,cuda_mixed_edge,True
0.010345,cuda,30,case30_ieee,mixed,case30_ieee,0.011035,1.860923102341e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.00069,cuda_mixed_edge,True
0.010313,cuda,30,case30_ieee,mixed,case30_ieee,0.011004,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000691,cuda_mixed_edge,True
0.01032,cuda,30,case30_ieee,mixed,case30_ieee,0.01101,2.296878042598e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000689,cuda_mixed_edge,True
0.054176,cuda,118,case118_ieee,mixed,case118_ieee,0.055163,6.811090120347e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,0,0.000987,cuda_mixed_edge,True
0.011321,cuda,118,case118_ieee,mixed,case118_ieee,0.012216,7.136470505762e-11,cuda_edge,5,edge_based,1.002563617483,end2end,64,cuda_edge,53,1,0.000894,cuda_mixed_edge,True
0.065825,cuda,118,case118_ieee,mixed,case118_ieee,0.066724,6.97246848497e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,2,0.000899,cuda_mixed_edge,True
0.053682,cuda,118,case118_ieee,mixed,case118_ieee,0.054581,7.396658866924e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,3,0.000899,cuda_mixed_edge,True
0.028333,cuda,118,case118_ieee,mixed,case118_ieee,0.029235,6.414155735142e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,4,0.000902,cuda_mixed_edge,True
0.011089,cuda,118,case118_ieee,mixed,case118_ieee,0.011974,6.755457822855e-11,cuda_edge,5,edge_based,1.00256361751,end2end,64,cuda_edge,53,5,0.000885,cuda_mixed_edge,True
0.01117,cuda,118,case118_ieee,mixed,case118_ieee,0.012052,7.168343696407e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,6,0.000882,cuda_mixed_edge,True
0.011098,cuda,118,case118_ieee,mixed,case118_ieee,0.011991,7.083280927748e-11,cuda_edge,5,edge_based,1.00256361749,end2end,64,cuda_edge,53,7,0.000892,cuda_mixed_edge,True
0.011026,cuda,118,case118_ieee,mixed,case118_ieee,0.011941,6.88304283651e-11,cuda_edge,5,edge_based,1.002563617496,end2end,64,cuda_edge,53,8,0.000915,cuda_mixed_edge,True
0.019725,cuda,118,case118_ieee,mixed,case118_ieee,0.020623,8.847088667914e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,9,0.000898,cuda_mixed_edge,True
0.013691,cuda,793,case793_goc,mixed,case793_goc,0.015159,2.523962363027e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,0,0.001467,cuda_mixed_edge,True
0.013183,cuda,793,case793_goc,mixed,case793_goc,0.014633,2.811806343317e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,1,0.00145,cuda_mixed_edge,True
0.013272,cuda,793,case793_goc,mixed,case793_goc,0.014719,2.342881964823e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.001447,cuda_mixed_edge,True
0.013189,cuda,793,case793_goc,mixed,case793_goc,0.014627,1.938528144146e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.001438,cuda_mixed_edge,True
0.01318,cuda,793,case793_goc,mixed,case793_goc,0.014627,2.073001479352e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,4,0.001447,cuda_mixed_edge,True
0.013328,cuda,793,case793_goc,mixed,case793_goc,0.014782,2.593726074312e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,5,0.001453,cuda_mixed_edge,True
0.013084,cuda,793,case793_goc,mixed,case793_goc,0.014538,2.696736635443e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,6,0.001454,cuda_mixed_edge,True
0.013343,cuda,793,case793_goc,mixed,case793_goc,0.014805,2.519155552022e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,7,0.001461,cuda_mixed_edge,True
