analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.010426,cuda,30,case30_ieee,mixed,case30_ieee,0.011103,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000677,cuda_mixed_edge,True
0.010242,cuda,30,case30_ieee,mixed,case30_ieee,0.010919,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000677,cuda_mixed_edge,True
0.010237,cuda,30,case30_ieee,mixed,case30_ieee,0.010909,2.330856106253e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000672,cuda_mixed_edge,True
0.010196,cuda,30,case30_ieee,mixed,case30_ieee,0.010878,1.53040088654e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000681,cuda_mixed_edge,True
0.010213,cuda,30,case30_ieee,mixed,case30_ieee,0.010884,2.406190051354e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.00067,cuda_mixed_edge,True
0.010212,cuda,30,case30_ieee,mixed,case30_ieee,0.010886,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000674,cuda_mixed_edge,True
0.010404,cuda,30,case30_ieee,mixed,case30_ieee,0.011096,2.270185713203e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000691,cuda_mixed_edge,True
0.010226,cuda,30,case30_ieee,mixed,case30_ieee,0.010916,1.860923102341e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.00069,cuda_mixed_edge,True
0.010218,cuda,30,case30_ieee,mixed,case30_ieee,0.010908,2.329280552552e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000689,cuda_mixed_edge,True
0.010219,cuda,30,case30_ieee,mixed,case30_ieee,0.010911,1.808956385807e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000692,cuda_mixed_edge,True
0.01092,cuda,118,case118_ieee,mixed,case118_ieee,0.011694,6.36369047601e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,0,0.000773,cuda_mixed_edge,True
0.010668,cuda,118,case118_ieee,mixed,case118_ieee,0.011455,9.353373631171e-11,cuda_edge,5,edge_based,1.002563617483,end2end,64,cuda_edge,53,1,0.000786,cuda_mixed_edge,True
0.010723,cuda,118,case118_ieee,mixed,case118_ieee,0.011515,6.920077692456e-11,cuda_edge,5,edge_based,1.002563617497,end2end,64,cuda_edge,53,2,0.000792,cuda_mixed_edge,True
0.010678,cuda,118,case118_ieee,mixed,case118_ieee,0.011463,6.422777147137e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,3,0.000785,cuda_mixed_edge,True
0.010658,cuda,118,case118_ieee,mixed,case118_ieee,0.011448,6.465662648921e-11,cuda_edge,5,edge_based,1.00256361748,end2end,64,cuda_edge,53,4,0.00079,cuda_mixed_edge,True
0.010656,cuda,118,case118_ieee,mixed,case118_ieee,0.011446,7.462187048433e-11,cuda_edge,5,edge_based,1.002563617499,end2end,64,cuda_edge,53,5,0.000789,cuda_mixed_edge,True
0.010675,cuda,118,case118_ieee,mixed,case118_ieee,0.011464,6.485492667224e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,6,0.000788,cuda_mixed_edge,True
0.010754,cuda,118,case118_ieee,mixed,case118_ieee,0.011543,6.889521320884e-11,cuda_edge,5,edge_based,1.002563617498,end2end,64,cuda_edge,53,7,0.000789,cuda_mixed_edge,True
0.01069,cuda,118,case118_ieee,mixed,case118_ieee,0.011483,6.821287171269e-11,cuda_edge,5,edge_based,1.002563617486,end2end,64,cuda_edge,53,8,0.000792,cuda_mixed_edge,True
0.010752,cuda,118,case118_ieee,mixed,case118_ieee,0.011538,7.427750147583e-11,cuda_edge,5,edge_based,1.002563617492,end2end,64,cuda_edge,53,9,0.000785,cuda_mixed_edge,True
0.01429,cuda,793,case793_goc,mixed,case793_goc,0.015505,7.328012668895e-09,cuda_edge,5,edge_based,1.16171897596,end2end,704,cuda_edge,88,0,0.001214,cuda_mixed_edge,True
0.013969,cuda,793,case793_goc,mixed,case793_goc,0.015422,2.527145159803e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,1,0.001453,cuda_mixed_edge,True
0.014047,cuda,793,case793_goc,mixed,case793_goc,0.015509,2.76588080913e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.001462,cuda_mixed_edge,True
0.013965,cuda,793,case793_goc,mixed,case793_goc,0.015421,2.156795923136e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.001456,cuda_mixed_edge,True
