CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.008607,1,0.008607,0.001623,1,0.001623,7.3e-05,1,7.3e-05,6.366666666667e-05,3,0.000191,1.15e-05,4,4.6e-05,5.575e-05,4,0.000223,2e-05,1,2e-05,0.010234,1,0.010234,0.000329,1,0.000329,0.010585,1,0.010585,1.15e-05,4,4.6e-05,0.0001345,4,0.000538,2.04e-05,5,0.000102,0.0001512,5,0.000756,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.000839,1,0.000839,6.2e-05,1,6.2e-05,0.010587,cuda,30,case30_ieee,mixed,case30_ieee,0.011427,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.00084,cuda_mixed_edge,True
0.008514,1,0.008514,0.001578,1,0.001578,7.1e-05,1,7.1e-05,6.466666666667e-05,3,0.000194,1.1e-05,4,4.4e-05,5.625e-05,4,0.000225,1.3e-05,1,1.3e-05,0.010095,1,0.010095,0.000251,1,0.000251,0.01036,1,0.01036,1.15e-05,4,4.6e-05,0.00013425,4,0.000537,2.04e-05,5,0.000102,0.0001512,5,0.000756,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.000832,1,0.000832,5.6e-05,1,5.6e-05,0.010361,cuda,30,case30_ieee,mixed,case30_ieee,0.011195,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000833,cuda_mixed_edge,True
0.008514,1,0.008514,0.001572,1,0.001572,8e-05,1,8e-05,6.3e-05,3,0.000189,1.1e-05,4,4.4e-05,5.6e-05,4,0.000224,1.6e-05,1,1.6e-05,0.010088,1,0.010088,0.000258,1,0.000258,0.010364,1,0.010364,1.125e-05,4,4.5e-05,0.0001355,4,0.000542,2.06e-05,5,0.000103,0.000152,5,0.00076,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000837,1,0.000837,5.6e-05,1,5.6e-05,0.010365,cuda,30,case30_ieee,mixed,case30_ieee,0.011203,2.715800733053e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000838,cuda_mixed_edge,True
0.008525,1,0.008525,0.001572,1,0.001572,7e-05,1,7e-05,6.866666666667e-05,3,0.000206,1.1e-05,4,4.4e-05,5.575e-05,4,0.000223,1.4e-05,1,1.4e-05,0.0101,1,0.0101,0.00025,1,0.00025,0.010365,1,0.010365,1.125e-05,4,4.5e-05,0.00013725,4,0.000549,2.04e-05,5,0.000102,0.0001534,5,0.000767,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.000844,1,0.000844,5.6e-05,1,5.6e-05,0.010366,cuda,30,case30_ieee,mixed,case30_ieee,0.011211,2.227889810659e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000844,cuda_mixed_edge,True
0.008514,1,0.008514,0.001566,1,0.001566,7.1e-05,1,7.1e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.010083,1,0.010083,0.000253,1,0.000253,0.010352,1,0.010352,1.15e-05,4,4.6e-05,0.00013375,4,0.000535,2.02e-05,5,0.000101,0.0001506,5,0.000753,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.00083,1,0.00083,5.6e-05,1,5.6e-05,0.010352,cuda,30,case30_ieee,mixed,case30_ieee,0.011184,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000831,cuda_mixed_edge,True
0.00851,1,0.00851,0.001568,1,0.001568,7.1e-05,1,7.1e-05,6.333333333333e-05,3,0.00019,1.125e-05,4,4.5e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.01008,1,0.01008,0.000248,1,0.000248,0.010344,1,0.010344,1.125e-05,4,4.5e-05,0.00013375,4,0.000535,2.04e-05,5,0.000102,0.0001502,5,0.000751,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000828,1,0.000828,5.6e-05,1,5.6e-05,0.010345,cuda,30,case30_ieee,mixed,case30_ieee,0.011175,2.29446584649e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000829,cuda_mixed_edge,True
0.008509,1,0.008509,0.001876,1,0.001876,7.1e-05,1,7.1e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.575e-05,4,0.000223,1.4e-05,1,1.4e-05,0.010388,1,0.010388,0.000256,1,0.000256,0.01066,1,0.01066,1.125e-05,4,4.5e-05,0.00013325,4,0.000533,2.04e-05,5,0.000102,0.0001506,5,0.000753,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.000829,1,0.000829,5.6e-05,1,5.6e-05,0.010661,cuda,30,case30_ieee,mixed,case30_ieee,0.011491,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.00083,cuda_mixed_edge,True
0.008525,1,0.008525,0.001561,1,0.001561,7.2e-05,1,7.2e-05,6.466666666667e-05,3,0.000194,1.15e-05,4,4.6e-05,5.725e-05,4,0.000229,1.3e-05,1,1.3e-05,0.010089,1,0.010089,0.000253,1,0.000253,0.010357,1,0.010357,1.15e-05,4,4.6e-05,0.0001365,4,0.000546,2.1e-05,5,0.000105,0.000154,5,0.00077,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000849,1,0.000849,5.9e-05,1,5.9e-05,0.010358,cuda,30,case30_ieee,mixed,case30_ieee,0.011209,1.672169638004e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.00085,cuda_mixed_edge,True
0.008528,1,0.008528,0.001584,1,0.001584,7.3e-05,1,7.3e-05,6.466666666667e-05,3,0.000194,1.125e-05,4,4.5e-05,5.7e-05,4,0.000228,1.4e-05,1,1.4e-05,0.010115,1,0.010115,0.000261,1,0.000261,0.010391,1,0.010391,1.15e-05,4,4.6e-05,0.00013625,4,0.000545,2.06e-05,5,0.000103,0.0001534,5,0.000767,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000846,1,0.000846,5.8e-05,1,5.8e-05,0.010392,cuda,30,case30_ieee,mixed,case30_ieee,0.01124,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000847,cuda_mixed_edge,True
0.00853,1,0.00853,0.001722,1,0.001722,7.2e-05,1,7.2e-05,6.466666666667e-05,3,0.000194,1.125e-05,4,4.5e-05,5.7e-05,4,0.000228,1.4e-05,1,1.4e-05,0.010255,1,0.010255,0.000262,1,0.000262,0.010532,1,0.010532,1.2e-05,4,4.8e-05,0.00013625,4,0.000545,2.06e-05,5,0.000103,0.0001534,5,0.000767,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000847,1,0.000847,5.8e-05,1,5.8e-05,0.010533,cuda,30,case30_ieee,mixed,case30_ieee,0.011381,1.796177962769e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000848,cuda_mixed_edge,True
