analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.01045,cuda,30,case30_ieee,mixed,case30_ieee,0.011136,1.504768532001e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000685,cuda_mixed_edge,True
0.010242,cuda,30,case30_ieee,mixed,case30_ieee,0.010931,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000689,cuda_mixed_edge,True
0.01023,cuda,30,case30_ieee,mixed,case30_ieee,0.010918,2.406190051354e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000687,cuda_mixed_edge,True
0.010218,cuda,30,case30_ieee,mixed,case30_ieee,0.010901,2.296878042598e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000683,cuda_mixed_edge,True
0.010221,cuda,30,case30_ieee,mixed,case30_ieee,0.010907,2.329280552552e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.000685,cuda_mixed_edge,True
0.010215,cuda,30,case30_ieee,mixed,case30_ieee,0.010901,2.601446840299e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000685,cuda_mixed_edge,True
0.01022,cuda,30,case30_ieee,mixed,case30_ieee,0.010907,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000687,cuda_mixed_edge,True
0.010231,cuda,30,case30_ieee,mixed,case30_ieee,0.010919,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.000687,cuda_mixed_edge,True
0.010223,cuda,30,case30_ieee,mixed,case30_ieee,0.01091,2.27022921156e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000686,cuda_mixed_edge,True
0.01021,cuda,30,case30_ieee,mixed,case30_ieee,0.010896,1.958874630315e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000686,cuda_mixed_edge,True
