CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.008556,1,0.008556,0.001623,1,0.001623,6.8e-05,1,6.8e-05,5.933333333333e-05,3,0.000178,9.5e-06,4,3.8e-05,5.125e-05,4,0.000205,1.8e-05,1,1.8e-05,0.010183,1,0.010183,0.00026,1,0.00026,0.010462,1,0.010462,1e-05,4,4e-05,0.0001235,4,0.000494,1.84e-05,5,9.2e-05,0.000139,5,0.000695,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.00076,1,0.00076,4.7e-05,1,4.7e-05,0.010463,cuda,30,case30_ieee,mixed,case30_ieee,0.011225,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000761,cuda_mixed_edge,True
0.008476,1,0.008476,0.001556,1,0.001556,6.9e-05,1,6.9e-05,6e-05,3,0.00018,9.5e-06,4,3.8e-05,5.175e-05,4,0.000207,1.4e-05,1,1.4e-05,0.010035,1,0.010035,0.000213,1,0.000213,0.010263,1,0.010263,1e-05,4,4e-05,0.0001245,4,0.000498,1.82e-05,5,9.1e-05,0.0001394,5,0.000697,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000762,1,0.000762,4.7e-05,1,4.7e-05,0.010264,cuda,30,case30_ieee,mixed,case30_ieee,0.011028,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000763,cuda_mixed_edge,True
0.00846,1,0.00846,0.001548,1,0.001548,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,9.25e-06,4,3.7e-05,5.15e-05,4,0.000206,1.4e-05,1,1.4e-05,0.01001,1,0.01001,0.000212,1,0.000212,0.010239,1,0.010239,1e-05,4,4e-05,0.00012275,4,0.000491,1.84e-05,5,9.2e-05,0.0001378,5,0.000689,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000754,1,0.000754,4.6e-05,1,4.6e-05,0.01024,cuda,30,case30_ieee,mixed,case30_ieee,0.010995,2.494671136333e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000755,cuda_mixed_edge,True
0.008479,1,0.008479,0.001615,1,0.001615,6.6e-05,1,6.6e-05,5.966666666667e-05,3,0.000179,9.25e-06,4,3.7e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010096,1,0.010096,0.000209,1,0.000209,0.010321,1,0.010321,9.75e-06,4,3.9e-05,0.000123,4,0.000492,1.82e-05,5,9.1e-05,0.0001382,5,0.000691,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000755,1,0.000755,4.6e-05,1,4.6e-05,0.010322,cuda,30,case30_ieee,mixed,case30_ieee,0.011078,1.796177962769e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000756,cuda_mixed_edge,True
0.008471,1,0.008471,0.001533,1,0.001533,6.7e-05,1,6.7e-05,5.966666666667e-05,3,0.000179,9.5e-06,4,3.8e-05,5.15e-05,4,0.000206,1.4e-05,1,1.4e-05,0.010006,1,0.010006,0.00022,1,0.00022,0.010241,1,0.010241,1e-05,4,4e-05,0.0001235,4,0.000494,1.84e-05,5,9.2e-05,0.0001386,5,0.000693,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000757,1,0.000757,4.6e-05,1,4.6e-05,0.010242,cuda,30,case30_ieee,mixed,case30_ieee,0.011001,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000758,cuda_mixed_edge,True
0.008459,1,0.008459,0.001538,1,0.001538,6.6e-05,1,6.6e-05,6.366666666667e-05,3,0.000191,9.5e-06,4,3.8e-05,5.175e-05,4,0.000207,1.4e-05,1,1.4e-05,0.01,1,0.01,0.000209,1,0.000209,0.010225,1,0.010225,1e-05,4,4e-05,0.00012675,4,0.000507,1.84e-05,5,9.2e-05,0.0001408,5,0.000704,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000769,1,0.000769,4.6e-05,1,4.6e-05,0.010226,cuda,30,case30_ieee,mixed,case30_ieee,0.010997,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.00077,cuda_mixed_edge,True
0.008454,1,0.008454,0.001536,1,0.001536,6.6e-05,1,6.6e-05,5.933333333333e-05,3,0.000178,9.25e-06,4,3.7e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.009994,1,0.009994,0.000216,1,0.000216,0.010225,1,0.010225,1e-05,4,4e-05,0.00012275,4,0.000491,1.84e-05,5,9.2e-05,0.0001378,5,0.000689,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000754,1,0.000754,4.6e-05,1,4.6e-05,0.010226,cuda,30,case30_ieee,mixed,case30_ieee,0.010981,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000755,cuda_mixed_edge,True
0.008467,1,0.008467,0.001533,1,0.001533,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,9.75e-06,4,3.9e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010002,1,0.010002,0.000217,1,0.000217,0.010235,1,0.010235,1e-05,4,4e-05,0.00012325,4,0.000493,1.84e-05,5,9.2e-05,0.0001382,5,0.000691,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000755,1,0.000755,4.6e-05,1,4.6e-05,0.010236,cuda,30,case30_ieee,mixed,case30_ieee,0.010993,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000756,cuda_mixed_edge,True
0.00847,1,0.00847,0.001552,1,0.001552,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.25e-06,4,3.7e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010025,1,0.010025,0.000218,1,0.000218,0.010259,1,0.010259,1.025e-05,4,4.1e-05,0.00012275,4,0.000491,1.84e-05,5,9.2e-05,0.000138,5,0.00069,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000755,1,0.000755,4.6e-05,1,4.6e-05,0.01026,cuda,30,case30_ieee,mixed,case30_ieee,0.011016,2.128644482902e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000756,cuda_mixed_edge,True
0.008448,1,0.008448,0.00154,1,0.00154,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,9.5e-06,4,3.8e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.009991,1,0.009991,0.000216,1,0.000216,0.010224,1,0.010224,1e-05,4,4e-05,0.000123,4,0.000492,1.84e-05,5,9.2e-05,0.000138,5,0.00069,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000755,1,0.000755,4.6e-05,1,4.6e-05,0.010224,cuda,30,case30_ieee,mixed,case30_ieee,0.010981,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000756,cuda_mixed_edge,True
