analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.010789,0.0106527,0.010624,0.010608,5.930907743901166e-05,cuda,case118_ieee,mixed,0.011566,0.0114344,0.011407,0.01139,5.7571597935864885e-05,7.502027994279e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.00079,0.0007814,0.000782,0.000775,4.5752959831396e-06,cuda_mixed_edge,True
0.016059,0.0154971,0.015414,0.015345,0.0002212471970946124,cuda,case1354_pegase,mixed,0.018019,0.0174447,0.017363,0.017288,0.0002242013232194077,6.419226809211e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001959,0.0019471,0.0019485,0.001934,7.534365710971711e-06,cuda_mixed_edge,True
0.022353,0.0214208,0.021245,0.021022,0.0005036737921402003,cuda,case2746wop_k,mixed,0.025941,0.0243518,0.02409,0.023669,0.0006965214840748116,8.872713282582e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.003587,0.0029305,0.0029345,0.002237,0.00031872637167325833,cuda_mixed_edge,True
0.0103,0.0102089,0.0101965,0.010135,6.457803204048766e-05,cuda,case30_ieee,mixed,0.010984,0.0108925,0.0108795,0.010821,6.293779998273401e-05,2.270185713203e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000688,0.000683,0.0006845,0.000673,4.216370213557836e-06,cuda_mixed_edge,True
0.030467,0.0288241,0.028651,0.028494,0.0005919242537877821,cuda,case4601_goc,mixed,0.03472,0.0330804,0.0329405,0.032704,0.0005950341166689527,5.954576831613e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004411,0.004255699999999999,0.0042395,0.004209,5.7769753716321596e-05,cuda_mixed_edge,True
0.013477,0.0132616,0.013224,0.013177,9.43965630259444e-05,cuda,case793_goc,mixed,0.015065,0.0148419,0.0148015,0.014768,9.640014983851896e-05,2.691701845701e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001591,0.0015797,0.0015805,0.001564,8.056053624449132e-06,cuda_mixed_edge,True
0.042734,0.040456400000000003,0.040199,0.040081,0.0008067603526863892,cuda,case8387_pegase,mixed,0.049118,0.0467624,0.046492,0.046344,0.0008367454411786979,3.289804539897e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006391,0.0063054,0.006278,0.006252,5.690186483958347e-05,cuda_mixed_edge,True
0.047323,0.0446035,0.04428,0.044159,0.0009663262906492807,cuda,case9241_pegase,mixed,0.055403,0.0526984,0.052365499999999995,0.052277,0.0009591605357464069,3.970421158517e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.008182,0.0080944,0.008084999999999998,0.008051,3.584286694882419e-05,cuda_mixed_edge,True
0.010797,0.010656800000000001,0.010636,0.010612,5.521030499623923e-05,cuda,case118_ieee,mixed,0.011645,0.011518,0.011497,0.011474,5.065350706296451e-05,8.25019224994e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000868,0.0008608,0.0008615000000000001,0.000848,5.181162460726782e-06,cuda_mixed_edge,True
0.015968,0.0154647,0.0153765,0.015348,0.00020588942555545576,cuda,case1354_pegase,mixed,0.018016,0.0175102,0.017419999999999998,0.017386,0.00020643955262712857,8.267608819779e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002061,0.002045,0.0020445000000000003,0.002033,9.545214042184265e-06,cuda_mixed_edge,True
0.021706,0.0206707,0.0205235,0.020491,0.00037625288481729066,cuda,case2746wop_k,mixed,0.02411,0.0230421,0.022897,0.022862,0.00038706859857136415,9.351242751843e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002404,0.0023709,0.0023685,0.002358,1.3576532039597654e-05,cuda_mixed_edge,True
0.010392,0.0102056,0.0101855,0.010164,6.828567443712739e-05,cuda,case30_ieee,mixed,0.011143,0.0109524,0.0109305,0.010912,6.97586314850477e-05,2.270185713203e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000751,0.0007466,0.000746,0.000744,2.270584848790201e-06,cuda_mixed_edge,True
0.030454,0.0288669,0.028675,0.028497,0.0005739574993944326,cuda,case4601_goc,mixed,0.034891,0.0332594,0.033088,0.03292,0.0005846119700754979,4.214113502599e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004439,0.004392,0.004393,0.004346,3.816047984790314e-05,cuda_mixed_edge,True
0.013567,0.0132848,0.0132385,0.013217,0.0001195089954773279,cuda,case793_goc,mixed,0.014937,0.0148706,0.014897,0.014632,8.910318612584976e-05,9.221477977757e-09,cuda_edge,5.7,edge_based,operators,cuda_edge,10,0.001677,0.001585,0.0016715,0.001369,0.00014135927434888893,cuda_mixed_edge,True
0.043057,0.0405111,0.040194,0.040133,0.0009001883074606598,cuda,case8387_pegase,mixed,0.04949,0.0469914,0.0467225,0.046576,0.000882897401866277,3.562360628706e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006583,0.0064799,0.006438,0.006401,7.28338291363751e-05,cuda_mixed_edge,True
0.047179,0.0446241,0.04432,0.044124,0.0009132501726130563,cuda,case9241_pegase,mixed,0.055473,0.0529267,0.052622,0.052519,0.0009047801513197683,2.275729734866e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.008439,0.008302200000000001,0.0082705,0.008226,7.844856772292132e-05,cuda_mixed_edge,True
