analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.010314,cuda,30,case30_ieee,mixed,case30_ieee,0.011005,2.444356974621e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000691,cuda_mixed_edge,True
0.010194,cuda,30,case30_ieee,mixed,case30_ieee,0.01087,1.37629378242e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000675,cuda_mixed_edge,True
0.010186,cuda,30,case30_ieee,mixed,case30_ieee,0.010861,2.601446840299e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000675,cuda_mixed_edge,True
0.010188,cuda,30,case30_ieee,mixed,case30_ieee,0.01086,1.774141679745e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000672,cuda_mixed_edge,True
0.010181,cuda,30,case30_ieee,mixed,case30_ieee,0.010851,2.601446840299e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.00067,cuda_mixed_edge,True
0.010196,cuda,30,case30_ieee,mixed,case30_ieee,0.010872,2.073087293601e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000675,cuda_mixed_edge,True
0.010172,cuda,30,case30_ieee,mixed,case30_ieee,0.010853,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.00068,cuda_mixed_edge,True
0.01019,cuda,30,case30_ieee,mixed,case30_ieee,0.010863,2.296878042598e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.000673,cuda_mixed_edge,True
0.010174,cuda,30,case30_ieee,mixed,case30_ieee,0.010866,2.251871103033e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000691,cuda_mixed_edge,True
0.010192,cuda,30,case30_ieee,mixed,case30_ieee,0.010882,2.274048615524e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.00069,cuda_mixed_edge,True
0.010922,cuda,118,case118_ieee,mixed,case118_ieee,0.011708,6.560785248411e-11,cuda_edge,5,edge_based,1.002563617489,end2end,64,cuda_edge,53,0,0.000786,cuda_mixed_edge,True
0.010815,cuda,118,case118_ieee,mixed,case118_ieee,0.01161,6.69286848165e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,1,0.000794,cuda_mixed_edge,True
0.010661,cuda,118,case118_ieee,mixed,case118_ieee,0.011455,6.435676546447e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,2,0.000793,cuda_mixed_edge,True
0.010686,cuda,118,case118_ieee,mixed,case118_ieee,0.011479,5.982540253709e-11,cuda_edge,5,edge_based,1.002563617485,end2end,64,cuda_edge,53,3,0.000792,cuda_mixed_edge,True
0.010631,cuda,118,case118_ieee,mixed,case118_ieee,0.011425,6.629152142731e-11,cuda_edge,5,edge_based,1.002563617496,end2end,64,cuda_edge,53,4,0.000794,cuda_mixed_edge,True
0.010659,cuda,118,case118_ieee,mixed,case118_ieee,0.011451,7.162293907322e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,5,0.000792,cuda_mixed_edge,True
0.010651,cuda,118,case118_ieee,mixed,case118_ieee,0.011441,7.113670763559e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,6,0.000789,cuda_mixed_edge,True
0.010783,cuda,118,case118_ieee,mixed,case118_ieee,0.011571,7.714243019823e-11,cuda_edge,5,edge_based,1.002563617503,end2end,64,cuda_edge,53,7,0.000787,cuda_mixed_edge,True
0.010651,cuda,118,case118_ieee,mixed,case118_ieee,0.011437,6.922703421282e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,8,0.000786,cuda_mixed_edge,True
0.010634,cuda,118,case118_ieee,mixed,case118_ieee,0.011421,7.286602256481e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,9,0.000786,cuda_mixed_edge,True
